municipality,party,point_estimate,lower_quartile,median,upper_quartile,sd_draws,n_distinct_draws
Høje-Taastrup,Other - Right,0.1138474204373368,0.11649743486451322,0.12728383354190093,0.1388417810334658,0.01921877295464426,250
Høje-Taastrup,M: Moderaterne,0.11115831217755878,0.07925187630106048,0.08898742367720444,0.10277192564290843,0.016100767067055707,250
Høje-Taastrup,Other - Left,0.10868842713597902,0.10871922855130758,0.11611191645094025,0.1250585875162067,0.011137370465636936,250
Høje-Taastrup,I: Liberal Alliance,0.08825012561399156,0.07174752722963897,0.07885786742962124,0.08687727293767271,0.01237541465613282,250
Høje-Taastrup,V: Venstre,0.08784024246475512,0.08733805115493397,0.09455847019535504,0.10190871571779257,0.012533202036092256,250
Høje-Taastrup,F: SF - Socialistisk Folkeparti,0.08501400198667675,0.09255435375090744,0.10129120797786,0.1093979098114829,0.011840317222037964,250
Høje-Taastrup,Æ: Danmarksdemokraterne,0.061305897266278435,0.06143608950014749,0.0679767627406377,0.0767094751126982,0.011119439503306473,250
Høje-Taastrup,Did not vote,0.05973022349103081,0.05281904494351362,0.05659652572905108,0.06202971727712663,0.007328160596069291,250
Høje-Taastrup,Other,0.04315457169083124,0.03132796911378352,0.035865769578722465,0.04173404788604692,0.007553859555182255,250
Hørsholm,V: Venstre,0.22498238157968597,0.18792223507471512,0.21010541950918732,0.2299679950849074,0.03106115753109545,250
Hørsholm,A: Socialdemokratiet,0.1652287901196325,0.16169885041495233,0.17470754660479465,0.18657502152237737,0.01745123997817076,250
Hørsholm,M: Moderaterne,0.14731179304463377,0.1157290888503203,0.13343349208035377,0.15238170630306644,0.02625336247213999,250
Hørsholm,Other - Left,0.13427631341909071,0.12054031783026542,0.12838485984073672,0.13853463426892756,0.013094284421728771,250
Hørsholm,Other - Right,0.12657819349526406,0.1222633730068515,0.1409091096900496,0.16009997460567216,0.028324957987875054,250
Hørsholm,F: SF - Socialistisk Folkeparti,0.07451362996967484,0.06838142437902492,0.07409351666851113,0.08350028154965097,0.011364844201428038,250
Hørsholm,I: Liberal Alliance,0.03574195070321462,0.04054184486828901,0.050345608026387434,0.06252908426325798,0.016493975210293194,250
Hørsholm,Æ: Danmarksdemokraterne,0.03429007113573926,0.02306557143734553,0.027816333259562363,0.0346000316660039,0.00856560864897869,250
Hørsholm,Other,0.030913213858352905,0.017495163067965735,0.02073522413677202,0.026369939128741825,0.0073060141776992585,250
Hørsholm,Did not vote,0.026163662674711933,0.027086297705908223,0.028916438938528057,0.030776210620558846,0.0028480755582352053,250
Ikast-Brande,A: Socialdemokratiet,0.24797954181506365,0.2181652423491081,0.2308523367489445,0.24141105669079668,0.01812231984016105,250
Ikast-Brande,V: Venstre,0.1564374063919085,0.16538123623062934,0.18192028783746556,0.1959944282583685,0.024258368796190588,250
Ikast-Brande,Other - Right,0.1206572989119423,0.10740503630434875,0.11880047910186523,0.1314191557085871,0.01771416590914296,250
Ikast-Brande,M: Moderaterne,0.10998304520550144,0.07479966325786903,0.08564447130527222,0.09795954505337298,0.01726394244002935,250
Ikast-Brande,Æ: Danmarksdemokraterne,0.0902294066624598,0.08639077249427721,0.09566452296274652,0.1063487479872778,0.01554228021505362,250
Ikast-Brande,I: Liberal Alliance,0.07280061914129107,0.06959034315141319,0.07765064627890958,0.08444434327500008,0.011676431791411342,250
Ikast-Brande,F: SF - Socialistisk Folkeparti,0.07255536625345066,0.05905460147715347,0.06550278501463098,0.07159582283146225,0.009651211684418213,250
Ikast-Brande,Other - Left,0.06628202984136534,0.06982117759938555,0.07488937308889865,0.08127324414933233,0.008621655836732578,250
Ikast-Brande,Did not vote,0.042817056264254756,0.04235387291387107,0.04467170436928987,0.04769809336844959,0.003826079011550246,250
Ikast-Brande,Other,0.020258229512763275,0.01752401366950324,0.01981050308806134,0.022354804897844516,0.004129092837650051,250
Ishøj,A: Socialdemokratiet,0.23674436968576737,0.21953671397226454,0.23158468113688782,0.24158883439826534,0.018023038239081243,250
Ishøj,M: Moderaterne,0.127540365861748,0.07404139738362756,0.08779624313804593,0.09901075468820394,0.017383361413854777,250
Ishøj,Other - Left,0.11639316246866424,0.11024777564681623,0.11831428778665848,0.12574812523556278,0.01186562169699853,250
Ishøj,Other - Right,0.10207398858627192,0.09697430738299094,0.10517092789089899,0.1152024203599823,0.01489871325605304,250
Ishøj,Did not vote,0.09573988421800043,0.0690054250931977,0.08193382281557551,0.0965047133405733,0.01991129707556854,250
Ishøj,I: Liberal Alliance,0.0820286517181719,0.07750765171453625,0.08650790164475564,0.09759439165460503,0.014582788573224603,250
Ishøj,F: SF - Socialistisk Folkeparti,0.079497439545024,0.07820715879615142,0.08434549608174899,0.0915686112596763,0.01073610658189463,250
Ishøj,V: Venstre,0.06713426120834226,0.07296593157034358,0.07943459862797381,0.08753120360339939,0.01108722764687148,250
Ishøj,Æ: Danmarksdemokraterne,0.058577173817037434,0.06911563900664681,0.07782948201973888,0.08589773215232496,0.012273155127295585,250
Ishøj,Other,0.03427070289097298,0.035352925974982206,0.03898581369192679,0.04479986010686046,0.008116012722547708,250
Jammerbugt,A: Socialdemokratiet,0.3252730338457439,0.28718471803686263,0.3034088204133531,0.32030922365619147,0.02523796981699671,250
