municipality,party,expected_N,total_N,point_estimate
Ikast-Brande,Other,575.6375916051679,28414.99999999997,0.020258229512763275
Ikast-Brande,Other - Left,1883.4038779423945,28414.99999999997,0.06628202984136534
Ikast-Brande,Other - Right,3428.477148582837,28414.99999999997,0.1206572989119423
Ikast-Brande,V: Venstre,4445.168902626076,28414.99999999997,0.1564374063919085
Ikast-Brande,Æ: Danmarksdemokraterne,2563.8685903137925,28414.99999999997,0.0902294066624598
Ishøj,A: Socialdemokratiet,3070.1009860850295,12967.999999999993,0.23674436968576737
Ishøj,Did not vote,1241.554818539029,12967.999999999993,0.09573988421800043
Ishøj,F: SF - Socialistisk Folkeparti,1030.9227960198707,12967.999999999993,0.079497439545024
Ishøj,I: Liberal Alliance,1063.7475554812527,12967.999999999993,0.0820286517181719
Ishøj,M: Moderaterne,1653.943464495147,12967.999999999993,0.127540365861748
Ishøj,Other,444.42247509013737,12967.999999999993,0.03427070289097298
Ishøj,Other - Left,1509.386530893637,12967.999999999993,0.11639316246866424
Ishøj,Other - Right,1323.6954839867735,12967.999999999993,0.10207398858627192
Ishøj,V: Venstre,870.597099349782,12967.999999999993,0.06713426120834226
Ishøj,Æ: Danmarksdemokraterne,759.628790059341,12967.999999999993,0.058577173817037434
Jammerbugt,A: Socialdemokratiet,9108.620766782364,28002.999999999993,0.3252730338457439
Jammerbugt,Did not vote,1196.297675036687,28002.999999999993,0.042720339786333154
Jammerbugt,F: SF - Socialistisk Folkeparti,1867.7350286245726,28002.999999999993,0.06669767627127711
Jammerbugt,I: Liberal Alliance,2149.358868397123,28002.999999999993,0.07675459302207348
Jammerbugt,M: Moderaterne,3060.401627590787,28002.999999999993,0.10928834866231432
Jammerbugt,Other,444.7174352741666,28002.999999999993,0.01588106400293421
Jammerbugt,Other - Left,1658.0105585936908,28002.999999999993,0.059208319058447
Jammerbugt,Other - Right,2930.5740773046814,28002.999999999993,0.10465214717368433
Jammerbugt,V: Venstre,3169.646575978148,28002.999999999993,0.11318953597750774
Jammerbugt,Æ: Danmarksdemokraterne,2417.6373864177817,28002.999999999993,0.08633494219968511
Kalundborg,A: Socialdemokratiet,10247.487587602342,35471,0.2888976230611582
Kalundborg,Did not vote,1859.9907343310301,35471,0.05243694100338389
Kalundborg,F: SF - Socialistisk Folkeparti,2719.420426763888,35471,0.07666602088364827
Kalundborg,I: Liberal Alliance,2456.412926125784,35471,0.06925130179937933
Kalundborg,M: Moderaterne,4076.5783731210036,35471,0.11492707770068517
Kalundborg,Other,910.5397836565211,35471,0.025669977831369883
Kalundborg,Other - Left,2155.1793119079075,35471,0.06075891043127928
Kalundborg,Other - Right,3904.124109944983,35471,0.11006523948986448
Kalundborg,V: Venstre,4048.097836601222,35471,0.11412415315613379
Kalundborg,Æ: Danmarksdemokraterne,3093.168909945305,35471,0.08720275464309732
Kerteminde,A: Socialdemokratiet,5692.503464302547,17706.999999999993,0.321483224956376
Kerteminde,Did not vote,702.5262329895997,17706.999999999993,0.039675056926051847
Kerteminde,F: SF - Socialistisk Folkeparti,1635.3473169981069,17706.999999999993,0.09235597882182796
Kerteminde,I: Liberal Alliance,981.6061718923846,17706.999999999993,0.05543605195077568
Kerteminde,M: Moderaterne,2293.74391778837,17706.999999999993,0.12953882180992662
Kerteminde,Other,384.5906555780111,17706.999999999993,0.021719695915627224
Kerteminde,Other - Left,1184.9440503611534,17706.999999999993,0.06691952619648465
Kerteminde,Other - Right,2322.2536636780364,17706.999999999993,0.13114890516056008
Kerteminde,V: Venstre,1510.6626716703581,17706.999999999993,0.08531443336930924
Kerteminde,Æ: Danmarksdemokraterne,998.8218547414327,17706.999999999993,0.05640830489306111
Kolding,A: Socialdemokratiet,15496.884287732797,65770.99999999997,0.23561880293340232
Kolding,Did not vote,3157.0591899899086,65770.99999999997,0.04800077830639507
Kolding,F: SF - Socialistisk Folkeparti,6090.793470644285,65770.99999999997,0.09260606453671508
Kolding,I: Liberal Alliance,4844.19036272528,65770.99999999997,0.07365237510035245
Kolding,M: Moderaterne,8712.523556910732,65770.99999999997,0.1324675549544744
Kolding,Other,2111.904152957268,65770.99999999997,0.03210995960160662
Kolding,Other - Left,5840.026362993582,65770.99999999997,0.08879333388565758
Kolding,Other - Right,6204.970193863319,65770.99999999997,0.09434203819104653
Kolding,V: Venstre,7417.796541015485,65770.99999999997,0.11278217665864117
Kolding,Æ: Danmarksdemokraterne,5894.851881167352,65770.99999999997,0.08962691583170934
Køge,A: Socialdemokratiet,10574.628173356214,44164.00000000002,0.239440000302423
Køge,Did not vote,1852.7133534294123,44164.00000000002,0.04195075974616003
Køge,F: SF - Socialistisk Folkeparti,7639.148029526389,44164.00000000002,0.17297228578766383
Køge,I: Liberal Alliance,1766.7805809539493,44164.00000000002,0.040004994587309765
Køge,M: Moderaterne,5835.177564109164,44164.00000000002,0.1321252052375048
Køge,Other,967.8570590763286,44164.00000000002,0.021915067907715066
Køge,Other - Left,3915.931161346709,44164.00000000002,0.08866794586873261
Køge,Other - Right,4239.357244368958,44164.00000000002,0.09599124273999085
Køge,V: Venstre,5416.076364687233,44164.00000000002,0.12263554851660244
Køge,Æ: Danmarksdemokraterne,1956.330469145631,44164.00000000002,0.044296949305896886
Langeland,A: Socialdemokratiet,3327.8492919704695,9410.999999999998,0.3536127183052247
Langeland,Did not vote,477.4744642081284,9410.999999999998,0.05073578410457215
Langeland,F: SF - Socialistisk Folkeparti,638.5478229953098,9410.999999999998,0.06785121910480395
Langeland,I: Liberal Alliance,593.4416941061669,9410.999999999998,0.06305830348593848
Langeland,M: Moderaterne,931.7092336844244,9410.999999999998,0.0990021500036579
Langeland,Other,201.51200725664592,9410.999999999998,0.02141239052774901
Langeland,Other - Left,630.7283891905533,9410.999999999998,0.06702033675385756
Langeland,Other - Right,877.0216253028958,9410.999999999998,0.09319111946688938
Langeland,V: Venstre,957.1697264029332,9410.999999999998,0.10170754716851911
Langeland,Æ: Danmarksdemokraterne,775.545744882471,9410.999999999998,0.08240843107878772
Lejre,A: Socialdemokratiet,4934.357682717721,21050.00000000002,0.23441129134050911
Lejre,Did not vote,602.9509550085082,21050.00000000002,0.028643750831758085
Lejre,F: SF - Socialistisk Folkeparti,3929.9527684965674,21050.00000000002,0.1866960935152762
Lejre,I: Liberal Alliance,1039.7953992447028,21050.00000000002,0.04939645602112598
Lejre,M: Moderaterne,2432.944717365783,21050.00000000002,0.11557932149006085
Lejre,Other,480.1401595245366,21050.00000000002,0.022809508766011222
Lejre,Other - Left,2255.933375369015,21050.00000000002,0.10717023160897923
Lejre,Other - Right,2040.3443166303744,21050.00000000002,0.09692847109883006
Lejre,V: Venstre,2247.7210610518914,21050.00000000002,0.10678009791220378
Lejre,Æ: Danmarksdemokraterne,1085.8595645909043,21050.00000000002,0.051584777415244816
Lemvig,A: Socialdemokratiet,3866.299420316662,13757.99999999999,0.2810219087306777
Lemvig,Did not vote,492.3752950727178,13757.99999999999,0.0357882900910538
Lemvig,F: SF - Socialistisk Folkeparti,905.8837873162239,13757.99999999999,0.06584414793692575
