municipality_code,municipality,party,vote_pct
1904,Skinnskatteberg,Moderate Party (M),0.08286805759623861
1907,Surahammar,Moderate Party (M),0.10700466977985323
1960,Kungsör,Moderate Party (M),0.12452077902162245
1961,Hallstahammar,Moderate Party (M),0.11645281793081047
1962,Norberg,Moderate Party (M),0.1091452205882353
1980,Västerås,Moderate Party (M),0.1769369894482398
1981,Sala,Moderate Party (M),0.1380315500685871
1982,Fagersta,Moderate Party (M),0.1124180285208702
1983,Köping,Moderate Party (M),0.11601307189542484
1984,Arboga,Moderate Party (M),0.14313134082807788
2021,Vansbro,Moderate Party (M),0.11234684260131951
2023,Malung-Sälen,Moderate Party (M),0.1501941625955155
2026,Gagnef,Moderate Party (M),0.12270014917951269
2029,Leksand,Moderate Party (M),0.15567593028732926
2031,Rättvik,Moderate Party (M),0.13515004413062665
2034,Orsa,Moderate Party (M),0.10256877391145927
2039,Älvdalen,Moderate Party (M),0.08447363619777414
2061,Smedjebacken,Moderate Party (M),0.1127297953520638
2062,Mora,Moderate Party (M),0.13175820803927585
2080,Falun,Moderate Party (M),0.1551019520890396
2081,Borlänge,Moderate Party (M),0.13509612906551208
2082,Säter,Moderate Party (M),0.1400614404369098
2083,Hedemora,Moderate Party (M),0.1254222972972973
2084,Avesta,Moderate Party (M),0.12299310264881469
2085,Ludvika,Moderate Party (M),0.1136664966853646
2101,Ockelbo,Moderate Party (M),0.09540558364475708
2104,Hofors,Moderate Party (M),0.09816949152542372
2121,Ovanåker,Moderate Party (M),0.113477537437604
2132,Nordanstig,Moderate Party (M),0.1037467875016908
2161,Ljusdal,Moderate Party (M),0.12683388547089444
2180,Gävle,Moderate Party (M),0.1552087031495664
2181,Sandviken,Moderate Party (M),0.12538835607186277
2182,Söderhamn,Moderate Party (M),0.11325460653568158
2183,Bollnäs,Moderate Party (M),0.11192615982511536
2184,Hudiksvall,Moderate Party (M),0.11789181692094312
2260,Ånge,Moderate Party (M),0.09558420186505759
2262,Timrå,Moderate Party (M),0.10299074804561428
2280,Härnösand,Moderate Party (M),0.09987960006281736
2281,Sundsvall,Moderate Party (M),0.13716819930868063
2282,Kramfors,Moderate Party (M),0.07588617074388418
2283,Sollefteå,Moderate Party (M),0.05901028366346883
2284,Örnsköldsvik,Moderate Party (M),0.11701410676520486
2303,Ragunda,Moderate Party (M),0.0705498368064273
2305,Bräcke,Moderate Party (M),0.0987551867219917
2309,Krokom,Moderate Party (M),0.12906915361604784
2313,Strömsund,Moderate Party (M),0.09183557920960253
2321,Åre,Moderate Party (M),0.12670780079330102
2326,Berg,Moderate Party (M),0.12592726614800073
2361,Härjedalen,Moderate Party (M),0.10363076923076923
2380,Östersund,Moderate Party (M),0.1250931802155737
2401,Nordmaling,Moderate Party (M),0.10773130544993663
2403,Bjurholm,Moderate Party (M),0.14792576419213974
2404,Vindeln,Moderate Party (M),0.1297971156196529
2409,Robertsfors,Moderate Party (M),0.10382830626450117
2417,Norsjö,Moderate Party (M),0.10564304461942257
2418,Malå,Moderate Party (M),0.0628596724214254
2421,Storuman,Moderate Party (M),0.09413067552602437
2422,Sorsele,Moderate Party (M),0.08138903960933261
2425,Dorotea,Moderate Party (M),0.04697986577181208
2460,Vännäs,Moderate Party (M),0.11598746081504702
2462,Vilhelmina,Moderate Party (M),0.07598664834086001
2463,Åsele,Moderate Party (M),0.08466603951081844
2480,Umeå,Moderate Party (M),0.12605567089270958
2481,Lycksele,Moderate Party (M),0.11437236001299686
2482,Skellefteå,Moderate Party (M),0.10947827309801715
2505,Arvidsjaur,Moderate Party (M),0.08445096395641241
2506,Arjeplog,Moderate Party (M),0.07102539981185324
2510,Jokkmokk,Moderate Party (M),0.07500662602703419
2513,Överkalix,Moderate Party (M),0.07964257964257965
2514,Kalix,Moderate Party (M),0.10155057443560697
2518,Kiruna,Moderate Party (M),0.06903043614684656
2521,Gällivare,Moderate Party (M),0.06592226755421945
2523,Pajala,Moderate Party (M),0.10123058892469969
2560,Älvsbyn,Moderate Party (M),0.10590894413948983
2580,Luleå,Moderate Party (M),0.1316659573771565
2581,Piteå,Moderate Party (M),0.1081275258194881
2582,Älvsbyn,Moderate Party (M),0.11860866406320951
2583,Haparanda,Moderate Party (M),0.08373668925459826
2584,Övertorneå,Moderate Party (M),0.08675340035481964
0114,Upplands Väsby,Centre Party (C),0.04439996360658721
0115,Vallentuna,Centre Party (C),0.0659072416598861
0117,Österåker,Centre Party (C),0.06247837619651713
0120,Värmdö,Centre Party (C),0.06787731803259295
0123,Järfälla,Centre Party (C),0.04474098689790055
0125,Ekerö,Centre Party (C),0.0797736220472441
0126,Huddinge,Centre Party (C),0.052762960821925005
0127,Botkyrka,Centre Party (C),0.031735137431774356
0128,Salem,Centre Party (C),0.05306258878582769
0136,Haninge,Centre Party (C),0.03994430693069306
0138,Tyresö,Centre Party (C),0.05435091105182494
0139,Upplands-Bro,Centre Party (C),0.04040453390658589
0140,Nykvarn,Centre Party (C),0.04255833635594245
0160,Täby,Centre Party (C),0.08410267750198094
0162,Danderyd,Centre Party (C),0.0846737606203085
0163,Sollentuna,Centre Party (C),0.07653655833858734
0180,Stockholm,Centre Party (C),0.0676153602100842
0181,Södertälje,Centre Party (C),0.030277732226181065
0182,Nacka,Centre Party (C),0.08716425619834711
0183,Sundbyberg,Centre Party (C),0.05559625346658992
0184,Solna,Centre Party (C),0.06652513558787919
0186,Lidingö,Centre Party (C),0.08632271371630851
0187,Vaxholm,Centre Party (C),0.08608179419525065
0188,Norrtälje,Centre Party (C),0.05130768929145591
0191,Sigtuna,Centre Party (C),0.03860127157129882
0192,Nynäshamn,Centre Party (C),0.03604942859797454
0305,Håbo,Centre Party (C),0.043496906205967044
0319,Älvkarleby,Centre Party (C),0.025574398249452956
0330,Knivsta,Centre Party (C),0.06612358725965066
0331,Heby,Centre Party (C),0.06566999908282124
0360,Tierp,Centre Party (C),0.059190608588198954
0380,Uppsala,Centre Party (C),0.06400396782413874
0381,Enköping,Centre Party (C),0.05400308589062231
0382,Östhammar,Centre Party (C),0.04343601760301766
0428,Vingåker,Centre Party (C),0.04263678696158324
0461,Gnesta,Centre Party (C),0.06035983749274522
0480,Nyköping,Centre Party (C),0.05669168445454337
0481,Oxelösund,Centre Party (C),0.029872134038800707
0482,Flen,Centre Party (C),0.04975496303679707
0483,Katrineholm,Centre Party (C),0.049033202372698564
0484,Eskilstuna,Centre Party (C),0.03995154297373119
0486,Strängnäs,Centre Party (C),0.05547284843329079
0488,Trosa,Centre Party (C),0.05524259494821007
0509,Ödeshög,Centre Party (C),0.06035531759552203
0512,Ydre,Centre Party (C),0.09782983120909404
0513,Kinda,Centre Party (C),0.06580811332904056
0560,Boxholm,Centre Party (C),0.05015091711167866
0561,Åtvidaberg,Centre Party (C),0.04914600550964188
0562,Finspång,Centre Party (C),0.03968301614936663
0563,Valdemarsvik,Centre Party (C),0.05138662316476346
0580,Linköping,Centre Party (C),0.06651979190955945
0581,Norrköping,Centre Party (C),0.04038514696397309
0582,Söderköping,Centre Party (C),0.06138891321481741
0583,Motala,Centre Party (C),0.04126308213632411
0584,Vadstena,Centre Party (C),0.05739692805173807
0586,Mjölby,Centre Party (C),0.0471187073876903
0604,Aneby,Centre Party (C),0.07705847838842167
0617,Gnosjö,Centre Party (C),0.05767823159127507
0642,Mullsjö,Centre Party (C),0.04746609564596716
0643,Habo,Centre Party (C),0.0590744995077125
0662,Gislaved,Centre Party (C),0.05588056348574906
0665,Vaggeryd,Centre Party (C),0.06223559274231456
0680,Jönköping,Centre Party (C),0.06212268018185884
0682,Nässjö,Centre Party (C),0.04925314636589296
0683,Värnamo,Centre Party (C),0.06881191920743415
0684,Sävsjö,Centre Party (C),0.05742597898758357
0685,Vetlanda,Centre Party (C),0.06320476213521754
0686,Eksjö,Centre Party (C),0.07468817686160281
0687,Tranås,Centre Party (C),0.05111236271472825
0760,Uppvidinge,Centre Party (C),0.04955831711334032
0761,Lessebo,Centre Party (C),0.037403555853740354
0763,Tingsryd,Centre Party (C),0.051371353939921635
0764,Alvesta,Centre Party (C),0.04986966662093566
0765,Älmhult,Centre Party (C),0.05258819650511045
0767,Markaryd,Centre Party (C),0.03099510603588907
