municipality,gender,age_group,education,N
's-Hertogenbosch,Mannen,65 tot 75 jaar,"Havo, vwo, mbo2-4",2975
's-Hertogenbosch,Mannen,65 tot 75 jaar,"Hbo-, wo-bachelor",1955
's-Hertogenbosch,Mannen,65 tot 75 jaar,"Hbo-, wo-master, doctor",1207
's-Hertogenbosch,Mannen,65 tot 75 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",1462
's-Hertogenbosch,Vrouwen,15 tot 25 jaar,Basisonderwijs,992
's-Hertogenbosch,Vrouwen,15 tot 25 jaar,"Havo, vwo, mbo2-4",4004
's-Hertogenbosch,Vrouwen,15 tot 25 jaar,"Hbo-, wo-bachelor",1046
's-Hertogenbosch,Vrouwen,15 tot 25 jaar,"Hbo-, wo-master, doctor",209
's-Hertogenbosch,Vrouwen,15 tot 25 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",2848
's-Hertogenbosch,Vrouwen,25 tot 35 jaar,Basisonderwijs,308
's-Hertogenbosch,Vrouwen,25 tot 35 jaar,"Havo, vwo, mbo2-4",3407
's-Hertogenbosch,Vrouwen,25 tot 35 jaar,"Hbo-, wo-bachelor",4490
's-Hertogenbosch,Vrouwen,25 tot 35 jaar,"Hbo-, wo-master, doctor",3469
's-Hertogenbosch,Vrouwen,25 tot 35 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",627
's-Hertogenbosch,Vrouwen,35 tot 45 jaar,Basisonderwijs,680
's-Hertogenbosch,Vrouwen,35 tot 45 jaar,"Havo, vwo, mbo2-4",2884
's-Hertogenbosch,Vrouwen,35 tot 45 jaar,"Hbo-, wo-bachelor",2832
's-Hertogenbosch,Vrouwen,35 tot 45 jaar,"Hbo-, wo-master, doctor",2997
's-Hertogenbosch,Vrouwen,35 tot 45 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",906
's-Hertogenbosch,Vrouwen,45 tot 55 jaar,Basisonderwijs,898
's-Hertogenbosch,Vrouwen,45 tot 55 jaar,"Havo, vwo, mbo2-4",3233
's-Hertogenbosch,Vrouwen,45 tot 55 jaar,"Hbo-, wo-bachelor",2887
's-Hertogenbosch,Vrouwen,45 tot 55 jaar,"Hbo-, wo-master, doctor",2081
's-Hertogenbosch,Vrouwen,45 tot 55 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",1102
's-Hertogenbosch,Vrouwen,55 tot 65 jaar,Basisonderwijs,1321
's-Hertogenbosch,Vrouwen,55 tot 65 jaar,"Havo, vwo, mbo2-4",4151
's-Hertogenbosch,Vrouwen,55 tot 65 jaar,"Hbo-, wo-bachelor",2231
's-Hertogenbosch,Vrouwen,55 tot 65 jaar,"Hbo-, wo-master, doctor",1254
's-Hertogenbosch,Vrouwen,55 tot 65 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",2142
's-Hertogenbosch,Vrouwen,65 tot 75 jaar,Basisonderwijs,1314
's-Hertogenbosch,Vrouwen,65 tot 75 jaar,"Havo, vwo, mbo2-4",3051
's-Hertogenbosch,Vrouwen,65 tot 75 jaar,"Hbo-, wo-bachelor",1782
's-Hertogenbosch,Vrouwen,65 tot 75 jaar,"Hbo-, wo-master, doctor",738
's-Hertogenbosch,Vrouwen,65 tot 75 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",2124
Aa en Hunze,Mannen,15 tot 25 jaar,Basisonderwijs,480
Aa en Hunze,Mannen,15 tot 25 jaar,"Havo, vwo, mbo2-4",465
Aa en Hunze,Mannen,15 tot 25 jaar,"Hbo-, wo-bachelor",52
Aa en Hunze,Mannen,15 tot 25 jaar,"Hbo-, wo-master, doctor",4
Aa en Hunze,Mannen,15 tot 25 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",399
Aa en Hunze,Mannen,25 tot 35 jaar,Basisonderwijs,69
Aa en Hunze,Mannen,25 tot 35 jaar,"Havo, vwo, mbo2-4",610
Aa en Hunze,Mannen,25 tot 35 jaar,"Hbo-, wo-bachelor",251
Aa en Hunze,Mannen,25 tot 35 jaar,"Hbo-, wo-master, doctor",86
Aa en Hunze,Mannen,25 tot 35 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",84
Aa en Hunze,Mannen,35 tot 45 jaar,Basisonderwijs,29
Aa en Hunze,Mannen,35 tot 45 jaar,"Havo, vwo, mbo2-4",628
Aa en Hunze,Mannen,35 tot 45 jaar,"Hbo-, wo-bachelor",376
Aa en Hunze,Mannen,35 tot 45 jaar,"Hbo-, wo-master, doctor",174
Aa en Hunze,Mannen,35 tot 45 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",95
Aa en Hunze,Mannen,45 tot 55 jaar,Basisonderwijs,91
Aa en Hunze,Mannen,45 tot 55 jaar,"Havo, vwo, mbo2-4",717
Aa en Hunze,Mannen,45 tot 55 jaar,"Hbo-, wo-bachelor",381
Aa en Hunze,Mannen,45 tot 55 jaar,"Hbo-, wo-master, doctor",224
Aa en Hunze,Mannen,45 tot 55 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",187
Aa en Hunze,Mannen,55 tot 65 jaar,Basisonderwijs,48
Aa en Hunze,Mannen,55 tot 65 jaar,"Havo, vwo, mbo2-4",1131
Aa en Hunze,Mannen,55 tot 65 jaar,"Hbo-, wo-bachelor",484
Aa en Hunze,Mannen,55 tot 65 jaar,"Hbo-, wo-master, doctor",240
Aa en Hunze,Mannen,55 tot 65 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",297
Aa en Hunze,Mannen,65 tot 75 jaar,Basisonderwijs,78
Aa en Hunze,Mannen,65 tot 75 jaar,"Havo, vwo, mbo2-4",762
Aa en Hunze,Mannen,65 tot 75 jaar,"Hbo-, wo-bachelor",474
Aa en Hunze,Mannen,65 tot 75 jaar,"Hbo-, wo-master, doctor",274
Aa en Hunze,Mannen,65 tot 75 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",414
Aa en Hunze,Vrouwen,15 tot 25 jaar,Basisonderwijs,130
Aa en Hunze,Vrouwen,15 tot 25 jaar,"Havo, vwo, mbo2-4",520
Aa en Hunze,Vrouwen,15 tot 25 jaar,"Hbo-, wo-bachelor",77
Aa en Hunze,Vrouwen,15 tot 25 jaar,"Hbo-, wo-master, doctor",11
Aa en Hunze,Vrouwen,15 tot 25 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",463
Aa en Hunze,Vrouwen,25 tot 35 jaar,Basisonderwijs,15
Aa en Hunze,Vrouwen,25 tot 35 jaar,"Havo, vwo, mbo2-4",461
Aa en Hunze,Vrouwen,25 tot 35 jaar,"Hbo-, wo-bachelor",328
Aa en Hunze,Vrouwen,25 tot 35 jaar,"Hbo-, wo-master, doctor",150
Aa en Hunze,Vrouwen,25 tot 35 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",45
Aa en Hunze,Vrouwen,35 tot 45 jaar,Basisonderwijs,77
Aa en Hunze,Vrouwen,35 tot 45 jaar,"Havo, vwo, mbo2-4",539
Aa en Hunze,Vrouwen,35 tot 45 jaar,"Hbo-, wo-bachelor",399
Aa en Hunze,Vrouwen,35 tot 45 jaar,"Hbo-, wo-master, doctor",319
Aa en Hunze,Vrouwen,35 tot 45 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",66
Aa en Hunze,Vrouwen,45 tot 55 jaar,Basisonderwijs,68
Aa en Hunze,Vrouwen,45 tot 55 jaar,"Havo, vwo, mbo2-4",745
Aa en Hunze,Vrouwen,45 tot 55 jaar,"Hbo-, wo-bachelor",435
Aa en Hunze,Vrouwen,45 tot 55 jaar,"Hbo-, wo-master, doctor",321
Aa en Hunze,Vrouwen,45 tot 55 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",131
Aa en Hunze,Vrouwen,55 tot 65 jaar,Basisonderwijs,90
Aa en Hunze,Vrouwen,55 tot 65 jaar,"Havo, vwo, mbo2-4",975
Aa en Hunze,Vrouwen,55 tot 65 jaar,"Hbo-, wo-bachelor",535
Aa en Hunze,Vrouwen,55 tot 65 jaar,"Hbo-, wo-master, doctor",275
Aa en Hunze,Vrouwen,55 tot 65 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",326
Aa en Hunze,Vrouwen,65 tot 75 jaar,Basisonderwijs,168
Aa en Hunze,Vrouwen,65 tot 75 jaar,"Havo, vwo, mbo2-4",862
Aa en Hunze,Vrouwen,65 tot 75 jaar,"Hbo-, wo-bachelor",336
Aa en Hunze,Vrouwen,65 tot 75 jaar,"Hbo-, wo-master, doctor",168
Aa en Hunze,Vrouwen,65 tot 75 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",466
Aalburg,Mannen,15 tot 25 jaar,Basisonderwijs,
Aalburg,Mannen,15 tot 25 jaar,"Havo, vwo, mbo2-4",
Aalburg,Mannen,15 tot 25 jaar,"Hbo-, wo-bachelor",
Aalburg,Mannen,15 tot 25 jaar,"Hbo-, wo-master, doctor",
Aalburg,Mannen,15 tot 25 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",
Aalburg,Mannen,25 tot 35 jaar,Basisonderwijs,
Aalburg,Mannen,25 tot 35 jaar,"Havo, vwo, mbo2-4",
Aalburg,Mannen,25 tot 35 jaar,"Hbo-, wo-bachelor",
Aalburg,Mannen,25 tot 35 jaar,"Hbo-, wo-master, doctor",
Aalburg,Mannen,25 tot 35 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",
Aalburg,Mannen,35 tot 45 jaar,Basisonderwijs,
Aalburg,Mannen,35 tot 45 jaar,"Havo, vwo, mbo2-4",
Aalburg,Mannen,35 tot 45 jaar,"Hbo-, wo-bachelor",
Aalburg,Mannen,35 tot 45 jaar,"Hbo-, wo-master, doctor",
Aalburg,Mannen,35 tot 45 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",
Aalburg,Mannen,45 tot 55 jaar,Basisonderwijs,
Aalburg,Mannen,45 tot 55 jaar,"Havo, vwo, mbo2-4",
Aalburg,Mannen,45 tot 55 jaar,"Hbo-, wo-bachelor",
Aalburg,Mannen,45 tot 55 jaar,"Hbo-, wo-master, doctor",
Aalburg,Mannen,45 tot 55 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",
Aalburg,Mannen,55 tot 65 jaar,Basisonderwijs,
Aalburg,Mannen,55 tot 65 jaar,"Havo, vwo, mbo2-4",
Aalburg,Mannen,55 tot 65 jaar,"Hbo-, wo-bachelor",
Aalburg,Mannen,55 tot 65 jaar,"Hbo-, wo-master, doctor",
Aalburg,Mannen,55 tot 65 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",
Aalburg,Mannen,65 tot 75 jaar,Basisonderwijs,
Aalburg,Mannen,65 tot 75 jaar,"Havo, vwo, mbo2-4",
Aalburg,Mannen,65 tot 75 jaar,"Hbo-, wo-bachelor",
Aalburg,Mannen,65 tot 75 jaar,"Hbo-, wo-master, doctor",
Aalburg,Mannen,65 tot 75 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",
Aalburg,Vrouwen,15 tot 25 jaar,Basisonderwijs,
Aalburg,Vrouwen,15 tot 25 jaar,"Havo, vwo, mbo2-4",
Aalburg,Vrouwen,15 tot 25 jaar,"Hbo-, wo-bachelor",
Aalburg,Vrouwen,15 tot 25 jaar,"Hbo-, wo-master, doctor",
Aalburg,Vrouwen,15 tot 25 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",
Aalburg,Vrouwen,25 tot 35 jaar,Basisonderwijs,
Aalburg,Vrouwen,25 tot 35 jaar,"Havo, vwo, mbo2-4",
Aalburg,Vrouwen,25 tot 35 jaar,"Hbo-, wo-bachelor",
Aalburg,Vrouwen,25 tot 35 jaar,"Hbo-, wo-master, doctor",
Aalburg,Vrouwen,25 tot 35 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",
Aalburg,Vrouwen,35 tot 45 jaar,Basisonderwijs,
Aalburg,Vrouwen,35 tot 45 jaar,"Havo, vwo, mbo2-4",
Aalburg,Vrouwen,35 tot 45 jaar,"Hbo-, wo-bachelor",
Aalburg,Vrouwen,35 tot 45 jaar,"Hbo-, wo-master, doctor",
Aalburg,Vrouwen,35 tot 45 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",
Aalburg,Vrouwen,45 tot 55 jaar,Basisonderwijs,
Aalburg,Vrouwen,45 tot 55 jaar,"Havo, vwo, mbo2-4",
Aalburg,Vrouwen,45 tot 55 jaar,"Hbo-, wo-bachelor",
Aalburg,Vrouwen,45 tot 55 jaar,"Hbo-, wo-master, doctor",
