municipality,gender,age_group,N
Aalburg,Vrouwen,70-74,0.0
Aalburg,Vrouwen,75+,0.0
Aalsmeer,Mannen,15-19,1184.0
Aalsmeer,Mannen,20-24,1052.0
Aalsmeer,Mannen,25-29,858.0
Aalsmeer,Mannen,30-34,865.0
Aalsmeer,Mannen,35-39,890.0
Aalsmeer,Mannen,40-44,1033.0
Aalsmeer,Mannen,45-49,1058.0
Aalsmeer,Mannen,50-54,1377.0
Aalsmeer,Mannen,55-59,1336.0
Aalsmeer,Mannen,60-64,1114.0
Aalsmeer,Mannen,65-69,826.0
Aalsmeer,Mannen,70-74,685.0
Aalsmeer,Mannen,75+,164.0
Aalsmeer,Vrouwen,15-19,1136.0
Aalsmeer,Vrouwen,20-24,931.0
Aalsmeer,Vrouwen,25-29,811.0
Aalsmeer,Vrouwen,30-34,883.0
Aalsmeer,Vrouwen,35-39,1033.0
Aalsmeer,Vrouwen,40-44,1142.0
Aalsmeer,Vrouwen,45-49,1193.0
Aalsmeer,Vrouwen,50-54,1412.0
Aalsmeer,Vrouwen,55-59,1328.0
Aalsmeer,Vrouwen,60-64,1040.0
Aalsmeer,Vrouwen,65-69,797.0
Aalsmeer,Vrouwen,70-74,715.0
Aalsmeer,Vrouwen,75+,171.0
Aalten,Mannen,15-19,880.0
Aalten,Mannen,20-24,797.0
Aalten,Mannen,25-29,732.0
Aalten,Mannen,30-34,704.0
Aalten,Mannen,35-39,713.0
Aalten,Mannen,40-44,719.0
Aalten,Mannen,45-49,729.0
Aalten,Mannen,50-54,1048.0
Aalten,Mannen,55-59,1082.0
Aalten,Mannen,60-64,1116.0
Aalten,Mannen,65-69,982.0
Aalten,Mannen,70-74,818.0
Aalten,Mannen,75+,161.0
Aalten,Vrouwen,15-19,777.0
Aalten,Vrouwen,20-24,673.0
Aalten,Vrouwen,25-29,626.0
Aalten,Vrouwen,30-34,711.0
Aalten,Vrouwen,35-39,643.0
Aalten,Vrouwen,40-44,732.0
Aalten,Vrouwen,45-49,760.0
Aalten,Vrouwen,50-54,1022.0
Aalten,Vrouwen,55-59,1064.0
Aalten,Vrouwen,60-64,1104.0
Aalten,Vrouwen,65-69,941.0
Aalten,Vrouwen,70-74,825.0
Aalten,Vrouwen,75+,154.0
Aardenburg,Mannen,15-19,0.0
Aardenburg,Mannen,20-24,0.0
Aardenburg,Mannen,25-29,0.0
Aardenburg,Mannen,30-34,0.0
Aardenburg,Mannen,35-39,0.0
Aardenburg,Mannen,40-44,0.0
Aardenburg,Mannen,45-49,0.0
Aardenburg,Mannen,50-54,0.0
Aardenburg,Mannen,55-59,0.0
Aardenburg,Mannen,60-64,0.0
Aardenburg,Mannen,65-69,0.0
Aardenburg,Mannen,70-74,0.0
Aardenburg,Mannen,75+,0.0
Aardenburg,Vrouwen,15-19,0.0
Aardenburg,Vrouwen,20-24,0.0
Aardenburg,Vrouwen,25-29,0.0
Aardenburg,Vrouwen,30-34,0.0
Aardenburg,Vrouwen,35-39,0.0
Aardenburg,Vrouwen,40-44,0.0
Aardenburg,Vrouwen,45-49,0.0
Aardenburg,Vrouwen,50-54,0.0
Aardenburg,Vrouwen,55-59,0.0
Aardenburg,Vrouwen,60-64,0.0
Aardenburg,Vrouwen,65-69,0.0
Aardenburg,Vrouwen,70-74,0.0
Aardenburg,Vrouwen,75+,0.0
Aarle-Rixtel,Mannen,15-19,0.0
Aarle-Rixtel,Mannen,20-24,0.0
Aarle-Rixtel,Mannen,25-29,0.0
Aarle-Rixtel,Mannen,30-34,0.0
Aarle-Rixtel,Mannen,35-39,0.0
Aarle-Rixtel,Mannen,40-44,0.0
Aarle-Rixtel,Mannen,45-49,0.0
Aarle-Rixtel,Mannen,50-54,0.0
Aarle-Rixtel,Mannen,55-59,0.0
