municipality,gender,age_group,education,N
Haaksbergen,Mannen,15 tot 75 jaar,low,1944.0
Haaren,Mannen,15 tot 75 jaar,low,
Haarlem,Mannen,15 tot 75 jaar,low,14170.0
Haarlemmerliede en Spaarnwoude,Mannen,15 tot 75 jaar,low,
Haarlemmermeer,Mannen,15 tot 75 jaar,low,15799.0
Halderberge,Mannen,15 tot 75 jaar,low,3225.0
Hardenberg,Mannen,15 tot 75 jaar,low,6710.0
Harderwijk,Mannen,15 tot 75 jaar,low,5189.0
Hardinxveld-Giessendam,Mannen,15 tot 75 jaar,low,1897.0
Haren,Mannen,15 tot 75 jaar,low,
Harlingen,Mannen,15 tot 75 jaar,low,1776.0
Hattem,Mannen,15 tot 75 jaar,low,968.0
Heemskerk,Mannen,15 tot 75 jaar,low,3758.0
Heemstede,Mannen,15 tot 75 jaar,low,1449.0
Heerde,Mannen,15 tot 75 jaar,low,1869.0
Heerenveen,Mannen,15 tot 75 jaar,low,5095.0
Heerhugowaard,Mannen,15 tot 75 jaar,low,
Heerlen,Mannen,15 tot 75 jaar,low,11022.0
Heeze-Leende,Mannen,15 tot 75 jaar,low,1285.0
Heiloo,Mannen,15 tot 75 jaar,low,1610.0
Den Helder,Mannen,15 tot 75 jaar,low,5894.0
Hellendoorn,Mannen,15 tot 75 jaar,low,3414.0
Hellevoetsluis,Mannen,15 tot 75 jaar,low,
Helmond,Mannen,15 tot 75 jaar,low,11989.0
Hendrik-Ido-Ambacht,Mannen,15 tot 75 jaar,low,2738.0
Hengelo (O.),Mannen,15 tot 75 jaar,low,8208.0
's-Hertogenbosch,Mannen,15 tot 75 jaar,low,15104.0
Heumen,Mannen,15 tot 75 jaar,low,1159.0
Heusden,Mannen,15 tot 75 jaar,low,4865.0
Hillegom,Mannen,15 tot 75 jaar,low,2338.0
Hilvarenbeek,Mannen,15 tot 75 jaar,low,1218.0
Hilversum,Mannen,15 tot 75 jaar,low,8387.0
Hoeksche Waard,Mannen,15 tot 75 jaar,low,8028.0
Hof van Twente,Mannen,15 tot 75 jaar,low,3099.0
Het Hogeland,Mannen,15 tot 75 jaar,low,4851.0
Hollands Kroon,Mannen,15 tot 75 jaar,low,5376.0
Hoogeveen,Mannen,15 tot 75 jaar,low,7116.0
Hoogezand-Sappemeer,Mannen,15 tot 75 jaar,low,
Hoorn,Mannen,15 tot 75 jaar,low,7868.0
Horst aan de Maas,Mannen,15 tot 75 jaar,low,4087.0
Houten,Mannen,15 tot 75 jaar,low,3838.0
Huizen,Mannen,15 tot 75 jaar,low,3567.0
Hulst,Mannen,15 tot 75 jaar,low,2812.0
IJsselstein,Mannen,15 tot 75 jaar,low,3309.0
Kaag en Braassem,Mannen,15 tot 75 jaar,low,2838.0
Kampen,Mannen,15 tot 75 jaar,low,5873.0
Kapelle,Mannen,15 tot 75 jaar,low,1377.0
Katwijk,Mannen,15 tot 75 jaar,low,7632.0
Kerkrade,Mannen,15 tot 75 jaar,low,6860.0
Koggenland,Mannen,15 tot 75 jaar,low,2216.0
Kollumerland en Nieuwkruisland,Mannen,15 tot 75 jaar,low,
Korendijk,Mannen,15 tot 75 jaar,low,
Krimpen aan den IJssel,Mannen,15 tot 75 jaar,low,2700.0
Krimpenerwaard,Mannen,15 tot 75 jaar,low,5607.0
Laarbeek,Mannen,15 tot 75 jaar,low,2376.0
Land van Cuijk,Mannen,15 tot 75 jaar,low,8946.0
Landerd,Mannen,15 tot 75 jaar,low,
Landgraaf,Mannen,15 tot 75 jaar,low,4274.0
Landsmeer,Mannen,15 tot 75 jaar,low,795.0
Langedijk,Mannen,15 tot 75 jaar,low,
Lansingerland,Mannen,15 tot 75 jaar,low,5100.0
Laren (NH.),Mannen,15 tot 75 jaar,low,680.0
