region,gender,age_group,education,N
Agglomeratie Haarlem (CR),Mannen,55 tot 65 jaar,"1 Basisonderwijs, vmbo, mbo1",3095
Agglomeratie Haarlem (CR),Mannen,55 tot 65 jaar,"2 Havo, vwo, mbo2-4",5236
Agglomeratie Haarlem (CR),Mannen,55 tot 65 jaar,"3 Hbo, wo",7069
Agglomeratie Haarlem (CR),Mannen,65 tot 75 jaar,"1 Basisonderwijs, vmbo, mbo1",2369
Agglomeratie Haarlem (CR),Mannen,65 tot 75 jaar,"2 Havo, vwo, mbo2-4",3864
Agglomeratie Haarlem (CR),Mannen,65 tot 75 jaar,"3 Hbo, wo",5267
Agglomeratie Haarlem (CR),Vrouwen,15 tot 25 jaar,"1 Basisonderwijs, vmbo, mbo1",5256
Agglomeratie Haarlem (CR),Vrouwen,15 tot 25 jaar,"2 Havo, vwo, mbo2-4",5508
Agglomeratie Haarlem (CR),Vrouwen,15 tot 25 jaar,"3 Hbo, wo",1236
Agglomeratie Haarlem (CR),Vrouwen,25 tot 35 jaar,"1 Basisonderwijs, vmbo, mbo1",1288
Agglomeratie Haarlem (CR),Vrouwen,25 tot 35 jaar,"2 Havo, vwo, mbo2-4",4336
Agglomeratie Haarlem (CR),Vrouwen,25 tot 35 jaar,"3 Hbo, wo",9161
Agglomeratie Haarlem (CR),Vrouwen,35 tot 45 jaar,"1 Basisonderwijs, vmbo, mbo1",1680
Agglomeratie Haarlem (CR),Vrouwen,35 tot 45 jaar,"2 Havo, vwo, mbo2-4",3696
Agglomeratie Haarlem (CR),Vrouwen,35 tot 45 jaar,"3 Hbo, wo",11424
Agglomeratie Haarlem (CR),Vrouwen,45 tot 55 jaar,"1 Basisonderwijs, vmbo, mbo1",2392
Agglomeratie Haarlem (CR),Vrouwen,45 tot 55 jaar,"2 Havo, vwo, mbo2-4",4422
Agglomeratie Haarlem (CR),Vrouwen,45 tot 55 jaar,"3 Hbo, wo",9686
