,birthyear,age,municipality,mun_code,number_of_children,Q91,gender,marital_status,living_situation,interest_in_politics,days_per_week_tv_news,days_per_week_newspaper,turnout_in_2022,vote_in_2022,vote_in_2019,party_attachment_strength,class_differences_perception,gross_annual_income,economic_security,social_class_identity,union_membership,employment_sector,school_education,higher_education
811,1965.0,61.0,Rudersdal,230.0,1.0,1.0,Men,Married,Living with spouse,Somewhat interested,5.0,0.0,Voted,Æ: Danmarksdemokraterne,O: Dansk Folkeparti,,Yes,"450,000-499,999 kr.",Neither secure nor insecure,Middle class,"Yes, member of a labor union",,H90 Not stated,H30 Vocational Education and Training (VET)
812,1966.0,60.0,Rudersdal,230.0,1.0,1.0,Men,Married,Living with spouse,Very interested,6.0,6.0,Voted,I: Liberal Alliance,I: Liberal Alliance,Not strongly convinced supporter,Yes,"1,200,000 kr. or more",Very secure,Middle class,"No, not a member",,"H2010 Upper secondary education, General (stx, hf, student courses)",H60 Bachelors programs
813,1967.0,59.0,Rudersdal,230.0,2.0,1.0,Women,Married,Living with spouse,Only slightly interested,6.0,7.0,Voted,M: Moderaterne,C: Det Konservative Folkeparti,,Yes,"800,000-999,999 kr.",Very secure,Middle class,"Yes, member of a labor union",,"H2010 Upper secondary education, General (stx, hf, student courses)",H70 Masters programs
814,1972.0,54.0,Rudersdal,230.0,1.0,1.0,Women,Married,Living with spouse,Somewhat interested,4.0,7.0,,V: Venstre,V: Venstre,,Yes,"400,000-449,999 kr.",Secure,Middle class,"No, not a member",,"H2020 Upper secondary education, General (hhx, htx)",H70 Masters programs
815,1973.0,53.0,Rudersdal,230.0,1.0,1.0,Men,Married,Living with spouse,Only slightly interested,7.0,7.0,Voted,B: Det Radikale Venstre,B: Det Radikale Venstre,,Yes,"500,000-599,999 kr.",Neither secure nor insecure,Middle class,"No, not a member",,"H2010 Upper secondary education, General (stx, hf, student courses)",H60 Bachelors programs
816,1973.0,53.0,Rudersdal,230.0,1.0,2.0,Men,In a steady relationship,Living with cohabitant,Very interested,7.0,7.0,Voted,C: Det Konservative Folkeparti,C: Det Konservative Folkeparti,,Yes,"1,000,000-1,199,999 kr.",Very insecure,,"Yes, member of a labor union",,"H2020 Upper secondary education, General (hhx, htx)",
817,1975.0,51.0,Rudersdal,230.0,1.0,1.0,Men,Married,Living with spouse,Very interested,2.0,7.0,Voted,B: Det Radikale Venstre,B: Det Radikale Venstre,,No,"1,000,000-1,199,999 kr.",Very secure,,"No, not a member",,"H2010 Upper secondary education, General (stx, hf, student courses)",H70 Masters programs
818,1975.0,51.0,Rudersdal,230.0,1.0,2.0,Men,In a steady relationship,Living with cohabitant,Only slightly interested,6.0,6.0,,V: Venstre,V: Venstre,,Yes,"700,000-799,999 kr.",Secure,Middle class,"Yes, member of a labor union",,"H2020 Upper secondary education, General (hhx, htx)",
819,1976.0,50.0,Rudersdal,230.0,1.0,1.0,Men,Married,Living with spouse,Somewhat interested,5.0,5.0,,C: Det Konservative Folkeparti,C: Det Konservative Folkeparti,Not strongly convinced supporter,Yes,"600,000-699,999 kr.",Neither secure nor insecure,,"Yes, member of a labor union",,H1030 Primary school 10th grade,H30 Vocational Education and Training (VET)
820,1978.0,48.0,Rudersdal,230.0,1.0,1.0,Men,Married,Living with spouse,Somewhat interested,4.0,7.0,,C: Det Konservative Folkeparti,C: Det Konservative Folkeparti,,Yes,"1,000,000-1,199,999 kr.",Secure,Middle class,"Yes, member of a labor union",,"H2010 Upper secondary education, General (stx, hf, student courses)",H70 Masters programs
