party,municipality,year,N,N_pct
D: Nye Borgerlige,Middelfart,2019,478,0.01922767497988737
D: Nye Borgerlige,Assens,2019,572,0.022033898305084745
D: Nye Borgerlige,Faaborg-Midtfyn,2019,639,0.019586206896551724
D: Nye Borgerlige,Kerteminde,2019,297,0.019453723717822755
D: Nye Borgerlige,Nyborg,2019,467,0.023028748952117956
D: Nye Borgerlige,Odense,2019,2121,0.016938729874776386
D: Nye Borgerlige,Svendborg,2019,718,0.019143603690076255
D: Nye Borgerlige,Nordfyns,2019,433,0.02327706698204494
D: Nye Borgerlige,Langeland,2019,144,0.01754599731936152
D: Nye Borgerlige,Ærø,2019,57,0.014179104477611941
D: Nye Borgerlige,Haderslev,2019,1786,0.05226654180445407
D: Nye Borgerlige,Billund,2019,498,0.03188424354952302
D: Nye Borgerlige,Sønderborg,2019,2151,0.047929943402112395
D: Nye Borgerlige,Tønder,2019,999,0.04519339515946619
D: Nye Borgerlige,Esbjerg,2019,2797,0.040139490829769524
D: Nye Borgerlige,Fanø,2019,35,0.015144958892254435
D: Nye Borgerlige,Varde,2019,1191,0.03912100906582578
D: Nye Borgerlige,Vejen,2019,1319,0.051831185161898774
D: Nye Borgerlige,Aabenraa,2019,1593,0.04639310364912485
D: Nye Borgerlige,Fredericia,2019,1105,0.035888275414095484
D: Nye Borgerlige,Horsens,2019,1253,0.02385984956679044
D: Nye Borgerlige,Kolding,2019,2284,0.04080028581636299
D: Nye Borgerlige,Vejle,2019,2067,0.029887650197371274
D: Nye Borgerlige,Herning,2019,1003,0.018282901932191033
D: Nye Borgerlige,Holstebro,2019,563,0.015338927637314734
D: Nye Borgerlige,Lemvig,2019,196,0.015290997035418943
D: Nye Borgerlige,Struer,2019,228,0.01701492537313433
D: Nye Borgerlige,Syddjurs,2019,573,0.021092542148273576
D: Nye Borgerlige,Norddjurs,2019,581,0.025345722636653144
D: Nye Borgerlige,Favrskov,2019,619,0.020721746116764864
D: Nye Borgerlige,Odder,2019,267,0.018206614387998636
D: Nye Borgerlige,Randers,2019,1261,0.02115026584592677
D: Nye Borgerlige,Silkeborg,2019,1052,0.017895721697712003
D: Nye Borgerlige,Samsø,2019,34,0.013928717738631708
D: Nye Borgerlige,Skanderborg,2019,783,0.01998315596049307
D: Nye Borgerlige,Aarhus,2019,3731,0.017061693730936495
D: Nye Borgerlige,Ikast-Brande,2019,502,0.020543460468161728
D: Nye Borgerlige,Ringkøbing-Skjern,2019,536,0.01560771067497525
D: Nye Borgerlige,Hedensted,2019,695,0.023966343667023
D: Nye Borgerlige,Morsø,2019,176,0.013519741895836533
D: Nye Borgerlige,Skive,2019,533,0.018113848768054375
D: Nye Borgerlige,Thisted,2019,424,0.015591674634110465
D: Nye Borgerlige,Viborg,2019,851,0.01436626375852522
D: Nye Borgerlige,Brønderslev,2019,431,0.019269459471542898
D: Nye Borgerlige,Frederikshavn,2019,1017,0.02728223837755184
D: Nye Borgerlige,Vesthimmerlands,2019,532,0.024195015462979808
D: Nye Borgerlige,Læsø,2019,19,0.015561015561015561
D: Nye Borgerlige,Rebild,2019,339,0.018207207691068265
D: Nye Borgerlige,Mariagerfjord,2019,483,0.018640012349490583
D: Nye Borgerlige,Jammerbugt,2019,686,0.02859882436319673
D: Nye Borgerlige,Aalborg,2019,2359,0.017522748375116064
D: Nye Borgerlige,Hjørring,2019,976,0.024285856474569524
Another party,Copenhagen,2019,3440,0.009736492032492711
Another party,Frederiksberg,2019,565,0.008697526208032512
Another party,Ballerup,2019,223,0.00772000276950772
Another party,Brøndby,2019,123,0.006687326700375143
Another party,Dragør,2019,94,0.010371841553569459
Another party,Gentofte,2019,378,0.008439383791024782
Another party,Gladsaxe,2019,336,0.0086328717144986
Another party,Glostrup,2019,104,0.007966296438146303
Another party,Herlev,2019,118,0.00711615004221445
Another party,Albertslund,2019,100,0.006646284726837697
Another party,Hvidovre,2019,258,0.008536262572789836
Another party,Høje-Taastrup,2019,227,0.00850250955127725
Another party,Lyngby-Taarbæk,2019,300,0.008802816901408451
Another party,Rødovre,2019,186,0.008063467290935102
Another party,Ishøj,2019,69,0.006466123137475401
Another party,Tårnby,2019,283,0.011287942244026964
Another party,Vallensbæk,2019,59,0.0064523184601924756
Another party,Furesø,2019,181,0.00729985884250857
Another party,Allerød,2019,115,0.006946122251751631
Another party,Fredensborg,2019,253,0.010319791156795563
Another party,Helsingør,2019,405,0.010529599875204743
Another party,Hillerød,2019,227,0.007192648922686945
Another party,Hørsholm,2019,123,0.007547401362213904
Another party,Rudersdal,2019,296,0.008402407176109912
Another party,Egedal,2019,278,0.010106885770377372
Another party,Frederikssund,2019,295,0.01022778490448289
Another party,Greve,2019,244,0.00803768488322298
Another party,Køge,2019,340,0.00905531733560604
Another party,Halsnæs,2019,241,0.012411164898547739
Another party,Roskilde,2019,520,0.009348818812700012
Another party,Solrød,2019,142,0.00975609756097561
Another party,Gribskov,2019,339,0.012795349890541255
Another party,Odsherred,2019,292,0.013578237619158336
Another party,Holbæk,2019,540,0.01228277681739605
Another party,Faxe,2019,291,0.012871549893842888
Another party,Kalundborg,2019,305,0.01009031660436034
Another party,Ringsted,2019,205,0.009790343378384832
Another party,Slagelse,2019,458,0.00951826759216925
Another party,Stevns,2019,180,0.012307692307692308
Another party,Sorø,2019,206,0.01104379992494505
Another party,Lejre,2019,202,0.011123348017621146
Another party,Lolland,2019,213,0.008509108341323107
Another party,Næstved,2019,507,0.009808473592571096
Another party,Guldborgsund,2019,407,0.010717577353522054
Another party,Vordingborg,2019,277,0.009456506896080841
Another party,Bornholm,2019,221,0.008760455067982717
Another party,Middelfart,2019,201,0.008085277554304103
Another party,Assens,2019,218,0.00839753466872111
Another party,Faaborg-Midtfyn,2019,280,0.008582375478927203
Another party,Kerteminde,2019,123,0.008056592650815484
Another party,Nyborg,2019,157,0.007741999112382267
Another party,Odense,2019,1024,0.008177868642984922
Another party,Svendborg,2019,326,0.008691942622513731
Another party,Nordfyns,2019,128,0.006880980539726911
Another party,Langeland,2019,61,0.007432679420007311
Another party,Ærø,2019,33,0.008208955223880597
Another party,Haderslev,2019,240,0.00702349945860525
Another party,Billund,2019,98,0.006274409373199308
Another party,Sønderborg,2019,281,0.006261419849369402
Another party,Tønder,2019,138,0.0062429314634698035
Another party,Esbjerg,2019,543,0.007792543267988864
Another party,Fanø,2019,28,0.012115967113803548
