party,municipality,year,N,N_pct
Æ: Danmarksdemokraterne,Glostrup,2022,651,0.0505591798695247
Æ: Danmarksdemokraterne,Herlev,2022,687,0.04347275833702462
Æ: Danmarksdemokraterne,Albertslund,2022,542,0.039409583363629756
Æ: Danmarksdemokraterne,Hvidovre,2022,1331,0.04604898975920288
Æ: Danmarksdemokraterne,Høje-Taastrup,2022,1488,0.056434179087495734
Æ: Danmarksdemokraterne,Lyngby-Taarbæk,2022,619,0.018009368362864042
Æ: Danmarksdemokraterne,Rødovre,2022,937,0.04135587235732886
Æ: Danmarksdemokraterne,Ishøj,2022,604,0.0609116579265833
Æ: Danmarksdemokraterne,Tårnby,2022,1401,0.05684953741275767
Æ: Danmarksdemokraterne,Vallensbæk,2022,432,0.0505795574288725
Æ: Danmarksdemokraterne,Furesø,2022,597,0.023859004076412758
Æ: Danmarksdemokraterne,Allerød,2022,587,0.03541691806443828
Æ: Danmarksdemokraterne,Fredensborg,2022,979,0.04041112853958557
Æ: Danmarksdemokraterne,Helsingør,2022,1816,0.047102764953052864
Æ: Danmarksdemokraterne,Hillerød,2022,1472,0.04493147339824791
Æ: Danmarksdemokraterne,Hørsholm,2022,476,0.029627785385285696
Æ: Danmarksdemokraterne,Rudersdal,2022,713,0.020059080039386692
Æ: Danmarksdemokraterne,Egedal,2022,1528,0.05488900064659818
Æ: Danmarksdemokraterne,Frederikssund,2022,2019,0.06933379120879121
Æ: Danmarksdemokraterne,Greve,2022,1816,0.06153846153846154
Æ: Danmarksdemokraterne,Køge,2022,2651,0.07059544098849595
Æ: Danmarksdemokraterne,Halsnæs,2022,1552,0.08003713062761075
Æ: Danmarksdemokraterne,Roskilde,2022,2590,0.04575810042047984
Æ: Danmarksdemokraterne,Solrød,2022,899,0.06090785907859079
Æ: Danmarksdemokraterne,Gribskov,2022,2120,0.07986137271151962
Æ: Danmarksdemokraterne,Odsherred,2022,2036,0.09512240702672398
Æ: Danmarksdemokraterne,Holbæk,2022,3416,0.07648046568901824
Æ: Danmarksdemokraterne,Faxe,2022,2385,0.10541436464088398
Æ: Danmarksdemokraterne,Kalundborg,2022,3347,0.11184628237259817
Æ: Danmarksdemokraterne,Ringsted,2022,1652,0.0794995187680462
Æ: Danmarksdemokraterne,Slagelse,2022,4354,0.09234162584038515
Æ: Danmarksdemokraterne,Stevns,2022,1559,0.1032381961459506
Æ: Danmarksdemokraterne,Sorø,2022,1637,0.08730666666666667
Æ: Danmarksdemokraterne,Lejre,2022,1335,0.07244017580986489
Æ: Danmarksdemokraterne,Lolland,2022,2494,0.10426857310088214
Æ: Danmarksdemokraterne,Næstved,2022,4264,0.0818976279650437
Æ: Danmarksdemokraterne,Guldborgsund,2022,3311,0.08801637513956084
Æ: Danmarksdemokraterne,Vordingborg,2022,2119,0.07380189467818334
Æ: Danmarksdemokraterne,Bornholm,2022,1585,0.06426891574081584
Æ: Danmarksdemokraterne,Middelfart,2022,2640,0.10320966417764572
Æ: Danmarksdemokraterne,Christiansø,2022,5,0.0847457627118644
Æ: Danmarksdemokraterne,Assens,2022,2706,0.10642230699649978
Æ: Danmarksdemokraterne,Faaborg-Midtfyn,2022,3413,0.10464510194695692
Æ: Danmarksdemokraterne,Kerteminde,2022,1401,0.09170048435659117
Æ: Danmarksdemokraterne,Nyborg,2022,2026,0.10019782393669634
Æ: Danmarksdemokraterne,Odense,2022,6329,0.05102057268154263
Æ: Danmarksdemokraterne,Svendborg,2022,2827,0.07459693379423174
Æ: Danmarksdemokraterne,Nordfyns,2022,2447,0.13325709306758154
Æ: Danmarksdemokraterne,Langeland,2022,983,0.12208147044212618
Æ: Danmarksdemokraterne,Ærø,2022,714,0.18140243902439024
Æ: Danmarksdemokraterne,Haderslev,2022,3737,0.11308821304282039
Æ: Danmarksdemokraterne,Billund,2022,2294,0.14894169588365147
Æ: Danmarksdemokraterne,Sønderborg,2022,4918,0.1133806713389893
Æ: Danmarksdemokraterne,Tønder,2022,3190,0.1492607149541456
Æ: Danmarksdemokraterne,Esbjerg,2022,6832,0.09953089944931674
Æ: Danmarksdemokraterne,Fanø,2022,198,0.08404074702886248
Æ: Danmarksdemokraterne,Varde,2022,4272,0.14209213371029436
Æ: Danmarksdemokraterne,Vejen,2022,3289,0.1308013521574866
Æ: Danmarksdemokraterne,Aabenraa,2022,4775,0.1420792668412283
Æ: Danmarksdemokraterne,Fredericia,2022,2877,0.093682839465972
Æ: Danmarksdemokraterne,Horsens,2022,4906,0.09042151243157565
Æ: Danmarksdemokraterne,Kolding,2022,5298,0.09519360344982482
Æ: Danmarksdemokraterne,Vejle,2022,6774,0.09602245343463839
Æ: Danmarksdemokraterne,Herning,2022,7617,0.1403124194083189
Æ: Danmarksdemokraterne,Holstebro,2022,4497,0.12359828496042216
Æ: Danmarksdemokraterne,Lemvig,2022,2092,0.1665207354931147
Æ: Danmarksdemokraterne,Struer,2022,1865,0.14103145795523292
Æ: Danmarksdemokraterne,Syddjurs,2022,2924,0.10430191909823786
Æ: Danmarksdemokraterne,Norddjurs,2022,2937,0.12932628797886395
Æ: Danmarksdemokraterne,Favrskov,2022,2975,0.0982366926429798
Æ: Danmarksdemokraterne,Odder,2022,1170,0.07744754087509102
Æ: Danmarksdemokraterne,Randers,2022,5996,0.09985511349442937
Æ: Danmarksdemokraterne,Silkeborg,2022,5212,0.08429155952323193
Æ: Danmarksdemokraterne,Samsø,2022,202,0.08028616852146264
Æ: Danmarksdemokraterne,Skanderborg,2022,2846,0.0702750753123611
Æ: Danmarksdemokraterne,Aarhus,2022,7587,0.03392703027809701
Æ: Danmarksdemokraterne,Ikast-Brande,2022,4065,0.16725641869651087
Æ: Danmarksdemokraterne,Ringkøbing-Skjern,2022,5681,0.1669262186701143
Æ: Danmarksdemokraterne,Hedensted,2022,4066,0.13884241079050708
Æ: Danmarksdemokraterne,Morsø,2022,2811,0.2214432015125256
Æ: Danmarksdemokraterne,Skive,2022,6142,0.2153727470369591
Æ: Danmarksdemokraterne,Thisted,2022,4775,0.1782647651758381
Æ: Danmarksdemokraterne,Viborg,2022,6915,0.11650632655468131
Æ: Danmarksdemokraterne,Brønderslev,2022,3911,0.17282368537339815
Æ: Danmarksdemokraterne,Frederikshavn,2022,6222,0.17047509452572743
Æ: Danmarksdemokraterne,Vesthimmerlands,2022,4598,0.20959066460023704
Æ: Danmarksdemokraterne,Læsø,2022,246,0.2
Æ: Danmarksdemokraterne,Rebild,2022,3274,0.16910283559733486
Æ: Danmarksdemokraterne,Mariagerfjord,2022,6089,0.23297367615549433
Æ: Danmarksdemokraterne,Jammerbugt,2022,4499,0.18509071460896037
Æ: Danmarksdemokraterne,Aalborg,2022,13059,0.09433171767663269
Æ: Danmarksdemokraterne,Hjørring,2022,6672,0.16710496656397927
A: Socialdemokratiet,Copenhagen,2022,63042,0.17700223211152136
A: Socialdemokratiet,Frederiksberg,2022,12047,0.18605980107493666
A: Socialdemokratiet,Ballerup,2022,9939,0.35444527655932384
A: Socialdemokratiet,Brøndby,2022,6364,0.36359481231788837
A: Socialdemokratiet,Dragør,2022,2141,0.23493909799187973
A: Socialdemokratiet,Gentofte,2022,5717,0.12730754670764025
A: Socialdemokratiet,Gladsaxe,2022,10387,0.27650002661981576
A: Socialdemokratiet,Glostrup,2022,4225,0.32812985399192296
A: Socialdemokratiet,Herlev,2022,5336,0.3376574068214896
A: Socialdemokratiet,Albertslund,2022,4627,0.3364356867592525
A: Socialdemokratiet,Hvidovre,2022,9335,0.3229656794907279
A: Socialdemokratiet,Høje-Taastrup,2022,7745,0.29373838510259037
A: Socialdemokratiet,Lyngby-Taarbæk,2022,6551,0.19059672398242705
A: Socialdemokratiet,Rødovre,2022,7494,0.3307587059187006
A: Socialdemokratiet,Ishøj,2022,3242,0.326946349334409
A: Socialdemokratiet,Tårnby,2022,8996,0.36503814315857813
A: Socialdemokratiet,Vallensbæk,2022,2302,0.26952347500292706
A: Socialdemokratiet,Furesø,2022,5960,0.2381903924546399
A: Socialdemokratiet,Allerød,2022,3402,0.20526125256425726
A: Socialdemokratiet,Fredensborg,2022,5437,0.22442830017336746
A: Socialdemokratiet,Helsingør,2022,10702,0.2775846864138611
A: Socialdemokratiet,Hillerød,2022,7771,0.23720277158816885
A: Socialdemokratiet,Hørsholm,2022,2151,0.13388522345325532
A: Socialdemokratiet,Rudersdal,2022,5059,0.14232662821775213
A: Socialdemokratiet,Egedal,2022,7604,0.27315180688267837
A: Socialdemokratiet,Frederikssund,2022,8529,0.29289148351648353
A: Socialdemokratiet,Greve,2022,7755,0.26279227380548964
A: Socialdemokratiet,Køge,2022,9492,0.2527694929697486
A: Socialdemokratiet,Halsnæs,2022,6539,0.33721829714816154
A: Socialdemokratiet,Roskilde,2022,14143,0.24986749584820325
A: Socialdemokratiet,Solrød,2022,3421,0.2317750677506775
A: Socialdemokratiet,Gribskov,2022,6499,0.24482031191139908
A: Socialdemokratiet,Odsherred,2022,7178,0.3353578770323304
A: Socialdemokratiet,Holbæk,2022,13954,0.3124146423374006
A: Socialdemokratiet,Faxe,2022,6795,0.3003314917127072
A: Socialdemokratiet,Kalundborg,2022,9281,0.3101420217209691
A: Socialdemokratiet,Ringsted,2022,5694,0.2740134744947064
A: Socialdemokratiet,Slagelse,2022,15038,0.3189327903968103
A: Socialdemokratiet,Stevns,2022,4081,0.2702470035097013
A: Socialdemokratiet,Sorø,2022,5552,0.2961066666666667
A: Socialdemokratiet,Lejre,2022,4447,0.24130446578761736
A: Socialdemokratiet,Lolland,2022,10437,0.4363476733977173
A: Socialdemokratiet,Næstved,2022,17084,0.32812830116200903
A: Socialdemokratiet,Guldborgsund,2022,13620,0.36206071561486525
A: Socialdemokratiet,Vordingborg,2022,9608,0.33463360267483977
A: Socialdemokratiet,Bornholm,2022,8702,0.35285053929121724
A: Socialdemokratiet,Middelfart,2022,8047,0.31459400289299816
A: Socialdemokratiet,Christiansø,2022,19,0.3220338983050847
A: Socialdemokratiet,Assens,2022,8762,0.3445943288630196
A: Socialdemokratiet,Faaborg-Midtfyn,2022,11045,0.33864786141346004
A: Socialdemokratiet,Kerteminde,2022,5718,0.3742636470742244
A: Socialdemokratiet,Nyborg,2022,7088,0.35054401582591493
A: Socialdemokratiet,Odense,2022,37015,0.2983925577195924
A: Socialdemokratiet,Svendborg,2022,13043,0.34416972319708683
A: Socialdemokratiet,Nordfyns,2022,6267,0.34128410390459074
A: Socialdemokratiet,Langeland,2022,2906,0.3609041231992052
A: Socialdemokratiet,Ærø,2022,1173,0.29801829268292684
A: Socialdemokratiet,Haderslev,2022,10016,0.3031018308367378
A: Socialdemokratiet,Billund,2022,3961,0.2571743929359823
A: Socialdemokratiet,Sønderborg,2022,14548,0.33539284396901514
A: Socialdemokratiet,Tønder,2022,5601,0.2620718697361033
A: Socialdemokratiet,Esbjerg,2022,21273,0.30991229859269837
A: Socialdemokratiet,Fanø,2022,697,0.2958404074702886
A: Socialdemokratiet,Varde,2022,7276,0.24200898054215866
A: Socialdemokratiet,Vejen,2022,6333,0.25185921654404453
A: Socialdemokratiet,Aabenraa,2022,9695,0.28847298262318494
A: Socialdemokratiet,Fredericia,2022,10317,0.33594920221426244
A: Socialdemokratiet,Horsens,2022,16707,0.3079234015887351
A: Socialdemokratiet,Kolding,2022,14314,0.25719162698769205
A: Socialdemokratiet,Vejle,2022,17970,0.25472741190145437
A: Socialdemokratiet,Herning,2022,12226,0.22521460413366245
A: Socialdemokratiet,Holstebro,2022,9740,0.26770008795074757
A: Socialdemokratiet,Lemvig,2022,3063,0.2438111915943644
A: Socialdemokratiet,Struer,2022,4022,0.3041439806412583
A: Socialdemokratiet,Syddjurs,2022,8013,0.28583149033316685
A: Socialdemokratiet,Norddjurs,2022,7914,0.3484808454425363
A: Socialdemokratiet,Favrskov,2022,8650,0.2856293752476555
A: Socialdemokratiet,Odder,2022,4452,0.2946978222016284
A: Socialdemokratiet,Randers,2022,20619,0.34338101820240813
A: Socialdemokratiet,Silkeborg,2022,15947,0.2579043552795433
A: Socialdemokratiet,Samsø,2022,634,0.2519872813990461
A: Socialdemokratiet,Skanderborg,2022,10839,0.26764284656032394
A: Socialdemokratiet,Aarhus,2022,50221,0.2245748500851865
A: Socialdemokratiet,Ikast-Brande,2022,5747,0.236463133640553
A: Socialdemokratiet,Ringkøbing-Skjern,2022,7095,0.20847412805218465
A: Socialdemokratiet,Hedensted,2022,7448,0.25432815434522793
A: Socialdemokratiet,Morsø,2022,4639,0.3654482432645344
A: Socialdemokratiet,Skive,2022,8868,0.3109614980012624
A: Socialdemokratiet,Thisted,2022,8893,0.33200179198088553
A: Socialdemokratiet,Viborg,2022,15479,0.2607955789934797
A: Socialdemokratiet,Brønderslev,2022,8165,0.36080424215642953
A: Socialdemokratiet,Frederikshavn,2022,14404,0.3946517617403693
A: Socialdemokratiet,Vesthimmerlands,2022,6114,0.2786945026893974
A: Socialdemokratiet,Læsø,2022,322,0.26178861788617885
A: Socialdemokratiet,Rebild,2022,5854,0.30236041526780644
A: Socialdemokratiet,Mariagerfjord,2022,8626,0.3300428527701255
A: Socialdemokratiet,Jammerbugt,2022,8638,0.35537088081622575
A: Socialdemokratiet,Aalborg,2022,46098,0.3329890130528688
A: Socialdemokratiet,Hjørring,2022,14049,0.35186715756255166
B: Det Radikale Venstre,Copenhagen,2022,27910,0.07836255668019036
B: Det Radikale Venstre,Frederiksberg,2022,5155,0.07961635880644961
B: Det Radikale Venstre,Ballerup,2022,1082,0.03858635569344888
B: Det Radikale Venstre,Brøndby,2022,540,0.030851853967891217
B: Det Radikale Venstre,Dragør,2022,323,0.03544387139251619
B: Det Radikale Venstre,Gentofte,2022,3026,0.06738370409958358
B: Det Radikale Venstre,Gladsaxe,2022,2418,0.06436671458233509
B: Det Radikale Venstre,Glostrup,2022,402,0.031220876048462257
B: Det Radikale Venstre,Herlev,2022,599,0.03790419540593558
B: Det Radikale Venstre,Albertslund,2022,533,0.03875518068784992
B: Det Radikale Venstre,Hvidovre,2022,1231,0.042589261001937447
B: Det Radikale Venstre,Høje-Taastrup,2022,1115,0.042287708119998484
B: Det Radikale Venstre,Lyngby-Taarbæk,2022,2655,0.07724535218643624
B: Det Radikale Venstre,Rødovre,2022,947,0.041797237056980185
B: Det Radikale Venstre,Ishøj,2022,379,0.038221056877773295
B: Det Radikale Venstre,Tårnby,2022,643,0.026091543580587566
B: Det Radikale Venstre,Vallensbæk,2022,339,0.039690902704601336
B: Det Radikale Venstre,Furesø,2022,1929,0.07709215890016785
B: Det Radikale Venstre,Allerød,2022,1160,0.06998913961626645
B: Det Radikale Venstre,Fredensborg,2022,1401,0.05783043011640386
B: Det Radikale Venstre,Helsingør,2022,1801,0.046713700264563986
B: Det Radikale Venstre,Hillerød,2022,1570,0.04792283507829431
B: Det Radikale Venstre,Hørsholm,2022,814,0.05066600273870285
B: Det Radikale Venstre,Rudersdal,2022,2937,0.08262765508510339
B: Det Radikale Venstre,Egedal,2022,936,0.033623105108125585
B: Det Radikale Venstre,Frederikssund,2022,775,0.026614010989010988
B: Det Radikale Venstre,Greve,2022,811,0.027482209420535413
B: Det Radikale Venstre,Køge,2022,913,0.024312952705581592
B: Det Radikale Venstre,Halsnæs,2022,343,0.017688618431230985
B: Det Radikale Venstre,Roskilde,2022,2631,0.046482456450302106
B: Det Radikale Venstre,Solrød,2022,390,0.026422764227642278
B: Det Radikale Venstre,Gribskov,2022,723,0.02723574173133429
B: Det Radikale Venstre,Odsherred,2022,366,0.017099607549990656
B: Det Radikale Venstre,Holbæk,2022,1043,0.023351617597671556
B: Det Radikale Venstre,Faxe,2022,340,0.015027624309392265
B: Det Radikale Venstre,Kalundborg,2022,501,0.016741854636591478
B: Det Radikale Venstre,Ringsted,2022,522,0.025120307988450434
B: Det Radikale Venstre,Slagelse,2022,850,0.018027189243070136
B: Det Radikale Venstre,Stevns,2022,363,0.024038143169326533
B: Det Radikale Venstre,Sorø,2022,515,0.027466666666666667
B: Det Radikale Venstre,Lejre,2022,659,0.03575885832112431
B: Det Radikale Venstre,Lolland,2022,190,0.007943475897821815
B: Det Radikale Venstre,Næstved,2022,1104,0.021204263900893115
B: Det Radikale Venstre,Guldborgsund,2022,495,0.013158594289967568
B: Det Radikale Venstre,Vordingborg,2022,566,0.019713011981053217
B: Det Radikale Venstre,Bornholm,2022,248,0.010055956532316924
B: Det Radikale Venstre,Middelfart,2022,683,0.026701591148989404
B: Det Radikale Venstre,Christiansø,2022,3,0.05084745762711865
B: Det Radikale Venstre,Assens,2022,454,0.01785503598536988
B: Det Radikale Venstre,Faaborg-Midtfyn,2022,716,0.021953089069446572
B: Det Radikale Venstre,Kerteminde,2022,271,0.01773792381201728
B: Det Radikale Venstre,Nyborg,2022,440,0.021760633036597428
B: Det Radikale Venstre,Odense,2022,5259,0.04239487940152199
B: Det Radikale Venstre,Svendborg,2022,1057,0.027891389819774653
B: Det Radikale Venstre,Nordfyns,2022,252,0.013723247835321027
B: Det Radikale Venstre,Langeland,2022,110,0.01366120218579235
B: Det Radikale Venstre,Ærø,2022,63,0.01600609756097561
B: Det Radikale Venstre,Haderslev,2022,579,0.01752156150703586
B: Det Radikale Venstre,Billund,2022,254,0.01649136475782366
B: Det Radikale Venstre,Sønderborg,2022,932,0.02148653633345629
B: Det Radikale Venstre,Tønder,2022,277,0.012960883398839603
B: Det Radikale Venstre,Esbjerg,2022,1552,0.022610063809329565
B: Det Radikale Venstre,Fanø,2022,80,0.03395585738539898
B: Det Radikale Venstre,Varde,2022,461,0.01533344420422418
B: Det Radikale Venstre,Vejen,2022,409,0.016265659176774708
B: Det Radikale Venstre,Aabenraa,2022,661,0.01966793620566532
B: Det Radikale Venstre,Fredericia,2022,652,0.021230869423640508
B: Det Radikale Venstre,Horsens,2022,1541,0.02840186519711742
B: Det Radikale Venstre,Kolding,2022,1782,0.03201868655107358
B: Det Radikale Venstre,Vejle,2022,2333,0.03307062058798514
B: Det Radikale Venstre,Herning,2022,979,0.018034115609917842
B: Det Radikale Venstre,Holstebro,2022,624,0.017150395778364115
B: Det Radikale Venstre,Lemvig,2022,255,0.02029769959404601
B: Det Radikale Venstre,Struer,2022,192,0.014519056261343012
B: Det Radikale Venstre,Syddjurs,2022,772,0.027537989584076477
B: Det Radikale Venstre,Norddjurs,2022,343,0.015103478643769265
B: Det Radikale Venstre,Favrskov,2022,1046,0.034539690925901465
B: Det Radikale Venstre,Odder,2022,499,0.03303104521082942
B: Det Radikale Venstre,Randers,2022,1230,0.020483954235848586
B: Det Radikale Venstre,Silkeborg,2022,1865,0.030161887665162614
B: Det Radikale Venstre,Samsø,2022,53,0.02106518282988871
B: Det Radikale Venstre,Skanderborg,2022,1791,0.04422440614351326
B: Det Radikale Venstre,Aarhus,2022,15688,0.07015253077669512
B: Det Radikale Venstre,Ikast-Brande,2022,371,0.015264976958525345
B: Det Radikale Venstre,Ringkøbing-Skjern,2022,385,0.011312549584227075
B: Det Radikale Venstre,Hedensted,2022,490,0.016732115417449206
B: Det Radikale Venstre,Morsø,2022,123,0.00968961714195683
B: Det Radikale Venstre,Skive,2022,378,0.013254786450662739
B: Det Radikale Venstre,Thisted,2022,335,0.012506533263645188
B: Det Radikale Venstre,Viborg,2022,1051,0.01770761376847
B: Det Radikale Venstre,Brønderslev,2022,361,0.01595227574016792
B: Det Radikale Venstre,Frederikshavn,2022,349,0.009562167790015891
B: Det Radikale Venstre,Vesthimmerlands,2022,253,0.0115325006837451
B: Det Radikale Venstre,Læsø,2022,10,0.008130081300813009
B: Det Radikale Venstre,Rebild,2022,568,0.029337327617375137
B: Det Radikale Venstre,Mariagerfjord,2022,401,0.01534282216100398
B: Det Radikale Venstre,Jammerbugt,2022,269,0.011066770889044309
B: Det Radikale Venstre,Aalborg,2022,5621,0.040603306919392936
B: Det Radikale Venstre,Hjørring,2022,615,0.015403110676985498
C: Det Konservative Folkeparti,Copenhagen,2022,15173,0.042601041652043294
C: Det Konservative Folkeparti,Frederiksberg,2022,5504,0.08500648668684747
C: Det Konservative Folkeparti,Ballerup,2022,1276,0.04550479654791199
C: Det Konservative Folkeparti,Brøndby,2022,654,0.03736502313889047
C: Det Konservative Folkeparti,Dragør,2022,1060,0.11631734884231318
C: Det Konservative Folkeparti,Gentofte,2022,6546,0.1457679203687621
C: Det Konservative Folkeparti,Gladsaxe,2022,1805,0.048048767502528886
C: Det Konservative Folkeparti,Glostrup,2022,613,0.04760795278036657
C: Det Konservative Folkeparti,Herlev,2022,923,0.05840663165221793
C: Det Konservative Folkeparti,Albertslund,2022,492,0.0357740129426307
C: Det Konservative Folkeparti,Hvidovre,2022,1328,0.045945197896484914
C: Det Konservative Folkeparti,Høje-Taastrup,2022,2292,0.08692684036864262
C: Det Konservative Folkeparti,Lyngby-Taarbæk,2022,3560,0.10357568880742486
C: Det Konservative Folkeparti,Rødovre,2022,1022,0.0451074723043651
C: Det Konservative Folkeparti,Ishøj,2022,344,0.03469140782573618
C: Det Konservative Folkeparti,Tårnby,2022,1060,0.043012497971108586
C: Det Konservative Folkeparti,Vallensbæk,2022,923,0.1080669710806697
C: Det Konservative Folkeparti,Furesø,2022,2069,0.08268723523299497
C: Det Konservative Folkeparti,Allerød,2022,1458,0.08796910824182455
C: Det Konservative Folkeparti,Fredensborg,2022,1938,0.07999669776273426
C: Det Konservative Folkeparti,Helsingør,2022,2905,0.07534886133734502
C: Det Konservative Folkeparti,Hillerød,2022,2124,0.06483318580018925
C: Det Konservative Folkeparti,Hørsholm,2022,2113,0.1315199800821611
C: Det Konservative Folkeparti,Rudersdal,2022,4435,0.12477141651427767
C: Det Konservative Folkeparti,Egedal,2022,1708,0.061354982398160784
C: Det Konservative Folkeparti,Frederikssund,2022,1455,0.049965659340659344
C: Det Konservative Folkeparti,Greve,2022,1427,0.04835648932565232
C: Det Konservative Folkeparti,Køge,2022,1960,0.0521942905837239
C: Det Konservative Folkeparti,Halsnæs,2022,779,0.040173276262183484
C: Det Konservative Folkeparti,Roskilde,2022,3036,0.05363768064732695
C: Det Konservative Folkeparti,Solrød,2022,838,0.056775067750677505
C: Det Konservative Folkeparti,Gribskov,2022,1537,0.05789949521585173
C: Det Konservative Folkeparti,Odsherred,2022,672,0.03139600074752383
C: Det Konservative Folkeparti,Holbæk,2022,1678,0.03756856599126833
C: Det Konservative Folkeparti,Faxe,2022,917,0.04053038674033149
C: Det Konservative Folkeparti,Kalundborg,2022,919,0.030710108604845448
C: Det Konservative Folkeparti,Ringsted,2022,1737,0.08358999037536093
C: Det Konservative Folkeparti,Slagelse,2022,1777,0.037687429746983095
C: Det Konservative Folkeparti,Stevns,2022,839,0.055559234487782265
C: Det Konservative Folkeparti,Sorø,2022,969,0.05168
C: Det Konservative Folkeparti,Lejre,2022,788,0.04275869553421238
C: Det Konservative Folkeparti,Lolland,2022,708,0.02959989966135708
C: Det Konservative Folkeparti,Næstved,2022,2781,0.05341400172860847
C: Det Konservative Folkeparti,Guldborgsund,2022,1460,0.03881120740071242
C: Det Konservative Folkeparti,Vordingborg,2022,1054,0.03670938980217331
C: Det Konservative Folkeparti,Bornholm,2022,921,0.03734490308977374
C: Det Konservative Folkeparti,Middelfart,2022,1285,0.05023652214707377
C: Det Konservative Folkeparti,Christiansø,2022,5,0.0847457627118644
C: Det Konservative Folkeparti,Assens,2022,1096,0.0431037873126991
C: Det Konservative Folkeparti,Faaborg-Midtfyn,2022,1470,0.04507128621799785
C: Det Konservative Folkeparti,Kerteminde,2022,1043,0.06826809791857573
C: Det Konservative Folkeparti,Nyborg,2022,817,0.040405539070227495
C: Det Konservative Folkeparti,Odense,2022,7572,0.06104088739842642
C: Det Konservative Folkeparti,Svendborg,2022,1559,0.04113782093569412
C: Det Konservative Folkeparti,Nordfyns,2022,828,0.04509067145891194
C: Det Konservative Folkeparti,Langeland,2022,255,0.03166915052160954
C: Det Konservative Folkeparti,Ærø,2022,265,0.06732723577235772
C: Det Konservative Folkeparti,Haderslev,2022,1408,0.04260856407928582
C: Det Konservative Folkeparti,Billund,2022,587,0.038111933515127906
C: Det Konservative Folkeparti,Sønderborg,2022,1636,0.037716709701217266
C: Det Konservative Folkeparti,Tønder,2022,983,0.045994759498409137
C: Det Konservative Folkeparti,Esbjerg,2022,3308,0.048192068995658636
C: Det Konservative Folkeparti,Fanø,2022,184,0.07809847198641766
C: Det Konservative Folkeparti,Varde,2022,1570,0.05222018958922335
C: Det Konservative Folkeparti,Vejen,2022,1239,0.04927420958441042
C: Det Konservative Folkeparti,Aabenraa,2022,1558,0.04635800999761962
C: Det Konservative Folkeparti,Fredericia,2022,1443,0.046987951807228916
C: Det Konservative Folkeparti,Horsens,2022,2634,0.048546731297344124
C: Det Konservative Folkeparti,Kolding,2022,3029,0.054424580001796785
C: Det Konservative Folkeparti,Vejle,2022,3781,0.05359623508065659
C: Det Konservative Folkeparti,Herning,2022,3590,0.06613123088825848
C: Det Konservative Folkeparti,Holstebro,2022,1884,0.05178100263852243
C: Det Konservative Folkeparti,Lemvig,2022,712,0.056674361219453954
C: Det Konservative Folkeparti,Struer,2022,744,0.056261343012704176
C: Det Konservative Folkeparti,Syddjurs,2022,1185,0.04227010059213812
C: Det Konservative Folkeparti,Norddjurs,2022,708,0.03117569352708058
C: Det Konservative Folkeparti,Favrskov,2022,1889,0.06237617223616431
C: Det Konservative Folkeparti,Odder,2022,754,0.049910637452836436
C: Det Konservative Folkeparti,Randers,2022,2211,0.03682115676053758
C: Det Konservative Folkeparti,Silkeborg,2022,4535,0.0733427134378083
C: Det Konservative Folkeparti,Samsø,2022,410,0.16295707472178061
C: Det Konservative Folkeparti,Skanderborg,2022,1992,0.04918761420317053
C: Det Konservative Folkeparti,Aarhus,2022,10590,0.04735564131343711
C: Det Konservative Folkeparti,Ikast-Brande,2022,1744,0.07175773535220539
C: Det Konservative Folkeparti,Ringkøbing-Skjern,2022,2140,0.06288014574089854
C: Det Konservative Folkeparti,Hedensted,2022,1264,0.043162028342154685
C: Det Konservative Folkeparti,Morsø,2022,369,0.02906885142587049
C: Det Konservative Folkeparti,Skive,2022,1604,0.05624517848376464
C: Det Konservative Folkeparti,Thisted,2022,1205,0.04498618681400732
C: Det Konservative Folkeparti,Viborg,2022,9442,0.15908210199989892
C: Det Konservative Folkeparti,Brønderslev,2022,909,0.040167918692001765
C: Det Konservative Folkeparti,Frederikshavn,2022,1354,0.03709792317387254
C: Det Konservative Folkeparti,Vesthimmerlands,2022,1190,0.054243777919591576
C: Det Konservative Folkeparti,Læsø,2022,75,0.06097560975609756
C: Det Konservative Folkeparti,Rebild,2022,1017,0.05252827849801146
C: Det Konservative Folkeparti,Mariagerfjord,2022,1317,0.05039026629935721
C: Det Konservative Folkeparti,Jammerbugt,2022,832,0.03422882297280619
C: Det Konservative Folkeparti,Aalborg,2022,5906,0.042662005099792684
C: Det Konservative Folkeparti,Hjørring,2022,2116,0.05299671901219726
F: SF - Socialistisk Folkeparti,Copenhagen,2022,42762,0.12006233066135077
F: SF - Socialistisk Folkeparti,Frederiksberg,2022,6648,0.10267498609995676
F: SF - Socialistisk Folkeparti,Ballerup,2022,2717,0.09689383402874363
F: SF - Socialistisk Folkeparti,Brøndby,2022,1518,0.08672798948751642
F: SF - Socialistisk Folkeparti,Dragør,2022,637,0.06990014265335236
F: SF - Socialistisk Folkeparti,Gentofte,2022,2747,0.06117086423052085
F: SF - Socialistisk Folkeparti,Gladsaxe,2022,4372,0.11638183463770431
F: SF - Socialistisk Folkeparti,Glostrup,2022,1046,0.08123640882261572
F: SF - Socialistisk Folkeparti,Herlev,2022,1486,0.09403277858634436
F: SF - Socialistisk Folkeparti,Albertslund,2022,1890,0.13742456191376426
F: SF - Socialistisk Folkeparti,Hvidovre,2022,3281,0.11351370052587877
