municipality,party,point_estimate,lower_quartile,median,upper_quartile,sd_draws,n_distinct_draws
Slagelse,Å: Alternativet,0.036171816126601385,1.2817597324648421e-6,2.052862199586981e-6,3.6218315056048705e-6,2.654101598995181e-6,250
Slagelse,Did not vote,0.0346646571213263,0.8153700427389312,0.8326672664993597,0.8481800926029562,0.024269156794752306,250
Slagelse,D: Nye Borgerlige,0.021853805576488326,7.743965050308418e-7,1.2402709122504676e-6,2.18818986796961e-6,1.6035197160595898e-6,250
Slagelse,O: Dansk Folkeparti,0.01582516955538811,5.607698829533679e-7,8.981272123193049e-7,1.584551283702131e-6,1.1611694495603913e-6,250
Slagelse,Voted blank,0.012810851544837989,4.5395657191463123e-7,7.270553623537227e-7,1.282731991568392e-6,9.399943163107937e-7,250
Slagelse,Q: Frie Grønne,0.005275056518462697,1.8692329431778944e-7,2.993757374397681e-7,5.281837612340437e-7,3.8705648318679737e-7,250
Slagelse,K: Kristendemokraterne,0.004521477015825175,1.6021996655810532e-7,2.5660777494837265e-7,4.527289382006088e-7,3.3176269987439767e-7,250
Slagelse,Another party,0.001130369253956294,4.005499163952633e-8,6.415194373709318e-8,1.1318223455015223e-7,8.294067496859943e-8,250
Slagelse,Independent candidate,0.001130369253956294,4.005499163952633e-8,6.415194373709318e-8,1.1318223455015223e-7,8.294067496859943e-8,250
Solrød,A: Socialdemokratiet,0.2573474001507155,0.11813151629900184,0.1346221535167328,0.14747965353115206,0.020722877192553783,250
Solrød,V: Venstre,0.12622456669178597,0.007259742775561927,0.011320107361683485,0.017575670880439806,0.008497958174147299,250
Solrød,F: SF - Socialistisk Folkeparti,0.10587792012057262,3.320134778752513e-4,5.681679230940145e-4,9.331431570731193e-4,5.82210607395294e-4,250
Solrød,M: Moderaterne,0.09645817633760354,6.930103221234284e-4,0.001295059794073591,0.0021631386421449676,0.0013407491269977576,250
Solrød,I: Liberal Alliance,0.06066314996232095,1.8618892227534035e-4,3.163657181823522e-4,5.094500120983712e-4,3.6809572895093144e-4,250
Solrød,Æ: Danmarksdemokraterne,0.057648831951770896,1.1121122012335816e-5,2.1129423723205862e-5,3.720751364477488e-5,3.906013329459581e-5,250
Solrød,Ø: Enhedslisten,0.057648831951770896,1.2406908425835011e-4,2.1034743004961498e-4,3.483113226559203e-4,2.377251634764556e-4,250
Solrød,C: Det Konservative Folkeparti,0.05689525244913331,5.059521213284143e-5,8.662137092065267e-5,1.4481455175746288e-4,1.1066161604792665e-4,250
Solrød,B: Det Radikale Venstre,0.04785229841748302,1.2402260904213183e-4,2.1107513285940427e-4,3.374039430751744e-4,2.430001756375703e-4,250
Solrød,Å: Alternativet,0.03617181612660134,9.374937376413112e-5,1.5955285633466787e-4,2.55045500277297e-4,1.8368517213548623e-4,250
Solrød,Did not vote,0.034664657121326256,0.8358051691794619,0.848498533644277,0.8629156475222602,0.02005234610484578,250
Solrød,D: Nye Borgerlige,0.021853805576488285,5.664024664916255e-5,9.639651736886179e-5,1.5408998975086695e-4,1.1097645816518953e-4,250
Solrød,O: Dansk Folkeparti,0.01582516955538809,4.101535102180733e-5,6.980437464641716e-5,1.1158240637131755e-4,8.036226280927518e-5,250
Solrød,Voted blank,0.012810851544837971,3.320290320812976e-5,5.6508303285194866e-5,9.032861468154275e-5,6.505516513131802e-5,250
Solrød,Q: Frie Grønne,0.005275056518462698,1.3671783673935785e-5,2.326812488213906e-5,3.719413545710584e-5,2.678742093642509e-5,250
