,Unnamed: 0,municipality,origin,education,age_group,gender,year,N
133,8827774,Ishøj,Persons of Danish origin,H2030 International upper secondary education,15-19,Men,2024,2
134,8827776,Ishøj,Persons of Danish origin,H2030 International upper secondary education,20-24,Men,2024,1
135,8827778,Ishøj,Persons of Danish origin,H2030 International upper secondary education,25-29,Men,2024,1
136,8827780,Ishøj,Persons of Danish origin,H2030 International upper secondary education,30-34,Men,2024,1
137,8827782,Ishøj,Persons of Danish origin,H2030 International upper secondary education,55-59,Men,2024,1
138,8827787,Ishøj,Persons of Danish origin,H30 Vocational Education and Training (VET),15-19,Women,2024,5
139,8827788,Ishøj,Persons of Danish origin,H30 Vocational Education and Training (VET),15-19,Men,2024,2
140,8827790,Ishøj,Persons of Danish origin,H30 Vocational Education and Training (VET),20-24,Women,2024,38
141,8827791,Ishøj,Persons of Danish origin,H30 Vocational Education and Training (VET),20-24,Men,2024,69
142,8827793,Ishøj,Persons of Danish origin,H30 Vocational Education and Training (VET),25-29,Women,2024,83
143,8827794,Ishøj,Persons of Danish origin,H30 Vocational Education and Training (VET),25-29,Men,2024,106
144,8827796,Ishøj,Persons of Danish origin,H30 Vocational Education and Training (VET),30-34,Women,2024,81
145,8827797,Ishøj,Persons of Danish origin,H30 Vocational Education and Training (VET),30-34,Men,2024,100
146,8827799,Ishøj,Persons of Danish origin,H30 Vocational Education and Training (VET),35-39,Women,2024,92
147,8827800,Ishøj,Persons of Danish origin,H30 Vocational Education and Training (VET),35-39,Men,2024,88
148,8827802,Ishøj,Persons of Danish origin,H30 Vocational Education and Training (VET),40-44,Women,2024,89
149,8827803,Ishøj,Persons of Danish origin,H30 Vocational Education and Training (VET),40-44,Men,2024,107
150,8827805,Ishøj,Persons of Danish origin,H30 Vocational Education and Training (VET),45-49,Women,2024,135
151,8827806,Ishøj,Persons of Danish origin,H30 Vocational Education and Training (VET),45-49,Men,2024,174
152,8827808,Ishøj,Persons of Danish origin,H30 Vocational Education and Training (VET),50-54,Women,2024,183
153,8827809,Ishøj,Persons of Danish origin,H30 Vocational Education and Training (VET),50-54,Men,2024,167
154,8827811,Ishøj,Persons of Danish origin,H30 Vocational Education and Training (VET),55-59,Women,2024,217
155,8827812,Ishøj,Persons of Danish origin,H30 Vocational Education and Training (VET),55-59,Men,2024,210
156,8827814,Ishøj,Persons of Danish origin,H30 Vocational Education and Training (VET),60-64,Women,2024,208
157,8827815,Ishøj,Persons of Danish origin,H30 Vocational Education and Training (VET),60-64,Men,2024,211
158,8827817,Ishøj,Persons of Danish origin,H30 Vocational Education and Training (VET),65-69,Women,2024,136
159,8827818,Ishøj,Persons of Danish origin,H30 Vocational Education and Training (VET),65-69,Men,2024,124
642,8833620,Helsingør,Persons of Danish origin,H90 Not stated,15-19,Women,2024,4
643,8833621,Helsingør,Persons of Danish origin,H90 Not stated,15-19,Men,2024,6
644,8833623,Helsingør,Persons of Danish origin,H90 Not stated,20-24,Women,2024,4
645,8833624,Helsingør,Persons of Danish origin,H90 Not stated,20-24,Men,2024,4
646,8833626,Helsingør,Persons of Danish origin,H90 Not stated,25-29,Women,2024,1
647,8833627,Helsingør,Persons of Danish origin,H90 Not stated,25-29,Men,2024,5
648,8833629,Helsingør,Persons of Danish origin,H90 Not stated,30-34,Women,2024,3
649,8833630,Helsingør,Persons of Danish origin,H90 Not stated,30-34,Men,2024,9
650,8833632,Helsingør,Persons of Danish origin,H90 Not stated,35-39,Women,2024,5
651,8836723,Helsingør,Persons of Danish origin,H90 Not stated,35-39,Men,2024,22
652,8836725,Helsingør,Persons of Danish origin,H90 Not stated,40-44,Women,2024,10
653,8836726,Helsingør,Persons of Danish origin,H90 Not stated,40-44,Men,2024,2
654,8836728,Helsingør,Persons of Danish origin,H90 Not stated,45-49,Women,2024,1
655,8836729,Helsingør,Persons of Danish origin,H90 Not stated,45-49,Men,2024,5
656,8836731,Helsingør,Persons of Danish origin,H90 Not stated,50-54,Women,2024,5
657,8836732,Helsingør,Persons of Danish origin,H90 Not stated,50-54,Men,2024,9
658,8836734,Helsingør,Persons of Danish origin,H90 Not stated,55-59,Women,2024,10
659,8836735,Helsingør,Persons of Danish origin,H90 Not stated,55-59,Men,2024,19
660,8836737,Helsingør,Persons of Danish origin,H90 Not stated,60-64,Women,2024,9
661,8836738,Helsingør,Persons of Danish origin,H90 Not stated,60-64,Men,2024,23
662,8836740,Helsingør,Persons of Danish origin,H90 Not stated,65-69,Women,2024,30
663,8836741,Helsingør,Persons of Danish origin,H90 Not stated,65-69,Men,2024,34
750,8837268,Herlev,Persons of Danish origin,H90 Not stated,20-24,Women,2024,3
751,8837269,Herlev,Persons of Danish origin,H90 Not stated,20-24,Men,2024,1
752,8837271,Herlev,Persons of Danish origin,H90 Not stated,25-29,Women,2024,1
753,8837273,Herlev,Persons of Danish origin,H90 Not stated,30-34,Women,2024,2
754,8837274,Herlev,Persons of Danish origin,H90 Not stated,30-34,Men,2024,2
755,8837276,Herlev,Persons of Danish origin,H90 Not stated,35-39,Women,2024,3
756,8837277,Herlev,Persons of Danish origin,H90 Not stated,35-39,Men,2024,6
757,8837279,Herlev,Persons of Danish origin,H90 Not stated,40-44,Women,2024,3
758,8837280,Herlev,Persons of Danish origin,H90 Not stated,40-44,Men,2024,3
759,8837282,Herlev,Persons of Danish origin,H90 Not stated,45-49,Women,2024,1
760,8837283,Herlev,Persons of Danish origin,H90 Not stated,45-49,Men,2024,3
761,8837285,Herlev,Persons of Danish origin,H90 Not stated,50-54,Men,2024,4
762,8837287,Herlev,Persons of Danish origin,H90 Not stated,55-59,Women,2024,1
763,8837288,Herlev,Persons of Danish origin,H90 Not stated,55-59,Men,2024,12
764,8837290,Herlev,Persons of Danish origin,H90 Not stated,60-64,Women,2024,4
765,8837291,Herlev,Persons of Danish origin,H90 Not stated,60-64,Men,2024,12
766,8837293,Herlev,Persons of Danish origin,H90 Not stated,65-69,Women,2024,13
767,8837294,Herlev,Persons of Danish origin,H90 Not stated,65-69,Men,2024,26
859,8837604,Albertslund,Persons of Danish origin,H60 Bachelors programs,20-24,Women,2024,14
860,8837605,Albertslund,Persons of Danish origin,H60 Bachelors programs,20-24,Men,2024,15
861,8837607,Albertslund,Persons of Danish origin,H60 Bachelors programs,25-29,Women,2024,30
862,8837608,Albertslund,Persons of Danish origin,H60 Bachelors programs,25-29,Men,2024,29
863,8837610,Albertslund,Persons of Danish origin,H60 Bachelors programs,30-34,Women,2024,13
864,8837611,Albertslund,Persons of Danish origin,H60 Bachelors programs,30-34,Men,2024,15
865,8837613,Albertslund,Persons of Danish origin,H60 Bachelors programs,35-39,Women,2024,11
866,8837614,Albertslund,Persons of Danish origin,H60 Bachelors programs,35-39,Men,2024,5
867,8837616,Albertslund,Persons of Danish origin,H60 Bachelors programs,40-44,Women,2024,9
868,8837617,Albertslund,Persons of Danish origin,H60 Bachelors programs,40-44,Men,2024,8
869,8837619,Albertslund,Persons of Danish origin,H60 Bachelors programs,45-49,Women,2024,9
870,8837620,Albertslund,Persons of Danish origin,H60 Bachelors programs,45-49,Men,2024,16
871,8837622,Albertslund,Persons of Danish origin,H60 Bachelors programs,50-54,Women,2024,10
872,8837623,Albertslund,Persons of Danish origin,H60 Bachelors programs,50-54,Men,2024,15
873,8837625,Albertslund,Persons of Danish origin,H60 Bachelors programs,55-59,Women,2024,3
874,8837626,Albertslund,Persons of Danish origin,H60 Bachelors programs,55-59,Men,2024,6
875,8837628,Albertslund,Persons of Danish origin,H60 Bachelors programs,60-64,Women,2024,2
876,8837629,Albertslund,Persons of Danish origin,H60 Bachelors programs,60-64,Men,2024,2
877,8837631,Albertslund,Persons of Danish origin,H60 Bachelors programs,65-69,Women,2024,3
878,8837632,Albertslund,Persons of Danish origin,H60 Bachelors programs,65-69,Men,2024,3
943,8837768,Albertslund,Persons of Danish origin,H70 Masters programs,20-24,Women,2024,3
944,8837770,Albertslund,Persons of Danish origin,H70 Masters programs,25-29,Women,2024,34
945,8837771,Albertslund,Persons of Danish origin,H70 Masters programs,25-29,Men,2024,22
946,8837773,Albertslund,Persons of Danish origin,H70 Masters programs,30-34,Women,2024,57
947,8837774,Albertslund,Persons of Danish origin,H70 Masters programs,30-34,Men,2024,38
948,8837776,Albertslund,Persons of Danish origin,H70 Masters programs,35-39,Women,2024,72
949,8837777,Albertslund,Persons of Danish origin,H70 Masters programs,35-39,Men,2024,55
950,8837779,Albertslund,Persons of Danish origin,H70 Masters programs,40-44,Women,2024,61
951,8837780,Albertslund,Persons of Danish origin,H70 Masters programs,40-44,Men,2024,39
952,8837782,Albertslund,Persons of Danish origin,H70 Masters programs,45-49,Women,2024,82
953,8837783,Albertslund,Persons of Danish origin,H70 Masters programs,45-49,Men,2024,54
954,8837785,Albertslund,Persons of Danish origin,H70 Masters programs,50-54,Women,2024,54
955,8837786,Albertslund,Persons of Danish origin,H70 Masters programs,50-54,Men,2024,55
956,8837788,Albertslund,Persons of Danish origin,H70 Masters programs,55-59,Women,2024,53
957,8837789,Albertslund,Persons of Danish origin,H70 Masters programs,55-59,Men,2024,46
958,8837791,Albertslund,Persons of Danish origin,H70 Masters programs,60-64,Women,2024,36
959,8837792,Albertslund,Persons of Danish origin,H70 Masters programs,60-64,Men,2024,48
960,8837794,Albertslund,Persons of Danish origin,H70 Masters programs,65-69,Women,2024,24
961,8837795,Albertslund,Persons of Danish origin,H70 Masters programs,65-69,Men,2024,41
1032,8838044,Hvidovre,Persons of Danish origin,H1010 Primary school through to 6th grade,20-24,Men,2024,1
1033,8838046,Hvidovre,Persons of Danish origin,H1010 Primary school through to 6th grade,25-29,Men,2024,1
1034,8838048,Hvidovre,Persons of Danish origin,H1010 Primary school through to 6th grade,30-34,Men,2024,2
1035,8838050,Hvidovre,Persons of Danish origin,H1010 Primary school through to 6th grade,65-69,Women,2024,1
1036,8838055,Hvidovre,Persons of Danish origin,H1020 Primary school 7th-9th grade,15-19,Women,2024,827
1037,8838056,Hvidovre,Persons of Danish origin,H1020 Primary school 7th-9th grade,15-19,Men,2024,863
1038,8838058,Hvidovre,Persons of Danish origin,H1020 Primary school 7th-9th grade,20-24,Women,2024,70
1039,8838059,Hvidovre,Persons of Danish origin,H1020 Primary school 7th-9th grade,20-24,Men,2024,163
1040,8838061,Hvidovre,Persons of Danish origin,H1020 Primary school 7th-9th grade,25-29,Women,2024,69
1041,8838062,Hvidovre,Persons of Danish origin,H1020 Primary school 7th-9th grade,25-29,Men,2024,98
1042,8838064,Hvidovre,Persons of Danish origin,H1020 Primary school 7th-9th grade,30-34,Women,2024,61
1043,8838065,Hvidovre,Persons of Danish origin,H1020 Primary school 7th-9th grade,30-34,Men,2024,118
1044,8838067,Hvidovre,Persons of Danish origin,H1020 Primary school 7th-9th grade,35-39,Women,2024,48
1045,8838068,Hvidovre,Persons of Danish origin,H1020 Primary school 7th-9th grade,35-39,Men,2024,92
1046,8838070,Hvidovre,Persons of Danish origin,H1020 Primary school 7th-9th grade,40-44,Women,2024,38
1047,8838071,Hvidovre,Persons of Danish origin,H1020 Primary school 7th-9th grade,40-44,Men,2024,77
1048,8838073,Hvidovre,Persons of Danish origin,H1020 Primary school 7th-9th grade,45-49,Women,2024,39
1049,8838074,Hvidovre,Persons of Danish origin,H1020 Primary school 7th-9th grade,45-49,Men,2024,72
1050,8838076,Hvidovre,Persons of Danish origin,H1020 Primary school 7th-9th grade,50-54,Women,2024,50
1051,8838077,Hvidovre,Persons of Danish origin,H1020 Primary school 7th-9th grade,50-54,Men,2024,100
1052,8838079,Hvidovre,Persons of Danish origin,H1020 Primary school 7th-9th grade,55-59,Women,2024,67
1053,8838080,Hvidovre,Persons of Danish origin,H1020 Primary school 7th-9th grade,55-59,Men,2024,123
1054,8838082,Hvidovre,Persons of Danish origin,H1020 Primary school 7th-9th grade,60-64,Women,2024,94
1055,8838083,Hvidovre,Persons of Danish origin,H1020 Primary school 7th-9th grade,60-64,Men,2024,111
1056,8838085,Hvidovre,Persons of Danish origin,H1020 Primary school 7th-9th grade,65-69,Women,2024,129
1057,8838086,Hvidovre,Persons of Danish origin,H1020 Primary school 7th-9th grade,65-69,Men,2024,131
1058,8838091,Hvidovre,Persons of Danish origin,H1030 Primary school 10th grade,15-19,Women,2024,349
1059,8838092,Hvidovre,Persons of Danish origin,H1030 Primary school 10th grade,15-19,Men,2024,377
1060,8838094,Hvidovre,Persons of Danish origin,H1030 Primary school 10th grade,20-24,Women,2024,112
1061,8838095,Hvidovre,Persons of Danish origin,H1030 Primary school 10th grade,20-24,Men,2024,151
1062,8838097,Hvidovre,Persons of Danish origin,H1030 Primary school 10th grade,25-29,Women,2024,91
1063,8838098,Hvidovre,Persons of Danish origin,H1030 Primary school 10th grade,25-29,Men,2024,115
1064,8838100,Hvidovre,Persons of Danish origin,H1030 Primary school 10th grade,30-34,Women,2024,66
1065,8838101,Hvidovre,Persons of Danish origin,H1030 Primary school 10th grade,30-34,Men,2024,82
1066,8838103,Hvidovre,Persons of Danish origin,H1030 Primary school 10th grade,35-39,Women,2024,63
1067,8838104,Hvidovre,Persons of Danish origin,H1030 Primary school 10th grade,35-39,Men,2024,97
1068,8838106,Hvidovre,Persons of Danish origin,H1030 Primary school 10th grade,40-44,Women,2024,71
1069,8838107,Hvidovre,Persons of Danish origin,H1030 Primary school 10th grade,40-44,Men,2024,86
1070,8838109,Hvidovre,Persons of Danish origin,H1030 Primary school 10th grade,45-49,Women,2024,97
1071,8838110,Hvidovre,Persons of Danish origin,H1030 Primary school 10th grade,45-49,Men,2024,123
1072,8838112,Hvidovre,Persons of Danish origin,H1030 Primary school 10th grade,50-54,Women,2024,116
1073,8838113,Hvidovre,Persons of Danish origin,H1030 Primary school 10th grade,50-54,Men,2024,123
1074,8838115,Hvidovre,Persons of Danish origin,H1030 Primary school 10th grade,55-59,Women,2024,127
1075,8838116,Hvidovre,Persons of Danish origin,H1030 Primary school 10th grade,55-59,Men,2024,137
1076,8838118,Hvidovre,Persons of Danish origin,H1030 Primary school 10th grade,60-64,Women,2024,178
1077,8838119,Hvidovre,Persons of Danish origin,H1030 Primary school 10th grade,60-64,Men,2024,170
1078,8838121,Hvidovre,Persons of Danish origin,H1030 Primary school 10th grade,65-69,Women,2024,181
1079,8838122,Hvidovre,Persons of Danish origin,H1030 Primary school 10th grade,65-69,Men,2024,152
1102,8838163,Hvidovre,Persons of Danish origin,"H2010 Upper secondary education, General (stx, hf, student courses)",15-19,Women,2024,91
1103,8838164,Hvidovre,Persons of Danish origin,"H2010 Upper secondary education, General (stx, hf, student courses)",15-19,Men,2024,53
1104,8838166,Hvidovre,Persons of Danish origin,"H2010 Upper secondary education, General (stx, hf, student courses)",20-24,Women,2024,494
1105,8838167,Hvidovre,Persons of Danish origin,"H2010 Upper secondary education, General (stx, hf, student courses)",20-24,Men,2024,325
1106,8838169,Hvidovre,Persons of Danish origin,"H2010 Upper secondary education, General (stx, hf, student courses)",25-29,Women,2024,160
1107,8838170,Hvidovre,Persons of Danish origin,"H2010 Upper secondary education, General (stx, hf, student courses)",25-29,Men,2024,114
1108,8838172,Hvidovre,Persons of Danish origin,"H2010 Upper secondary education, General (stx, hf, student courses)",30-34,Women,2024,36
1109,8838173,Hvidovre,Persons of Danish origin,"H2010 Upper secondary education, General (stx, hf, student courses)",30-34,Men,2024,71
1110,8838175,Hvidovre,Persons of Danish origin,"H2010 Upper secondary education, General (stx, hf, student courses)",35-39,Women,2024,30
1111,8838176,Hvidovre,Persons of Danish origin,"H2010 Upper secondary education, General (stx, hf, student courses)",35-39,Men,2024,40
1112,8838178,Hvidovre,Persons of Danish origin,"H2010 Upper secondary education, General (stx, hf, student courses)",40-44,Women,2024,28
1113,8838179,Hvidovre,Persons of Danish origin,"H2010 Upper secondary education, General (stx, hf, student courses)",40-44,Men,2024,38
1114,8838181,Hvidovre,Persons of Danish origin,"H2010 Upper secondary education, General (stx, hf, student courses)",45-49,Women,2024,31
1115,8838182,Hvidovre,Persons of Danish origin,"H2010 Upper secondary education, General (stx, hf, student courses)",45-49,Men,2024,62
1116,8838184,Hvidovre,Persons of Danish origin,"H2010 Upper secondary education, General (stx, hf, student courses)",50-54,Women,2024,32
1117,8838185,Hvidovre,Persons of Danish origin,"H2010 Upper secondary education, General (stx, hf, student courses)",50-54,Men,2024,54
1118,8838187,Hvidovre,Persons of Danish origin,"H2010 Upper secondary education, General (stx, hf, student courses)",55-59,Women,2024,59
1119,8838188,Hvidovre,Persons of Danish origin,"H2010 Upper secondary education, General (stx, hf, student courses)",55-59,Men,2024,50
1120,8838190,Hvidovre,Persons of Danish origin,"H2010 Upper secondary education, General (stx, hf, student courses)",60-64,Women,2024,44
1121,8838191,Hvidovre,Persons of Danish origin,"H2010 Upper secondary education, General (stx, hf, student courses)",60-64,Men,2024,65
1122,8838193,Hvidovre,Persons of Danish origin,"H2010 Upper secondary education, General (stx, hf, student courses)",65-69,Women,2024,39
1123,8838194,Hvidovre,Persons of Danish origin,"H2010 Upper secondary education, General (stx, hf, student courses)",65-69,Men,2024,54
1124,8838199,Hvidovre,Persons of Danish origin,"H2020 Upper secondary education, General (hhx, htx)",15-19,Women,2024,24
1125,8838200,Hvidovre,Persons of Danish origin,"H2020 Upper secondary education, General (hhx, htx)",15-19,Men,2024,48
1126,8838202,Hvidovre,Persons of Danish origin,"H2020 Upper secondary education, General (hhx, htx)",20-24,Women,2024,119
1127,8838203,Hvidovre,Persons of Danish origin,"H2020 Upper secondary education, General (hhx, htx)",20-24,Men,2024,209
1128,8838205,Hvidovre,Persons of Danish origin,"H2020 Upper secondary education, General (hhx, htx)",25-29,Women,2024,13
1129,8838206,Hvidovre,Persons of Danish origin,"H2020 Upper secondary education, General (hhx, htx)",25-29,Men,2024,54
1130,8838208,Hvidovre,Persons of Danish origin,"H2020 Upper secondary education, General (hhx, htx)",30-34,Women,2024,3
1131,8838209,Hvidovre,Persons of Danish origin,"H2020 Upper secondary education, General (hhx, htx)",30-34,Men,2024,15
1132,8838211,Hvidovre,Persons of Danish origin,"H2020 Upper secondary education, General (hhx, htx)",35-39,Women,2024,9
