draw,predicted_vote_party,share
6,Did not vote,0.04349664056245457
6,Socialdemokratiet (A),0.2646796692778776
6,Venstre (V),0.11023187115107508
6,Other - Right,0.10777166496007738
6,Other - Left,0.13132379182896528
6,Moderaterne (M),0.08483513072814365
6,Danmarksdemokraterne (Æ),0.05953767693259348
6,Socialistisk Folkeparti (F),0.09560857256197232
6,Liberal Alliance (I),0.09661291254441627
6,Other,0.00590206945242439
7,Did not vote,0.043574384900207985
7,Socialdemokratiet (A),0.2646462003269295
7,Venstre (V),0.11027384673779786
7,Other - Right,0.10771570080090272
7,Other - Left,0.13126689716875617
7,Moderaterne (M),0.08481088987973849
7,Danmarksdemokraterne (Æ),0.0595382782964496
7,Socialistisk Folkeparti (F),0.09548343422939312
7,Liberal Alliance (I),0.09678335776618942
7,Other,0.005907009893635206
8,Did not vote,0.04348385411559333
8,Socialdemokratiet (A),0.26490101013610956
8,Venstre (V),0.11027554597581343
8,Other - Right,0.10778890697435092
8,Other - Left,0.1310820354442835
8,Moderaterne (M),0.08478464943036322
8,Danmarksdemokraterne (Æ),0.05953847534234858
8,Socialistisk Folkeparti (F),0.09546002953478004
8,Liberal Alliance (I),0.09677862046577765
8,Other,0.005906872580579793
9,Did not vote,0.043673414414278584
9,Socialdemokratiet (A),0.2646804709780788
9,Venstre (V),0.11024486690143748
9,Other - Right,0.10773326828472261
9,Other - Left,0.13105383370452198
9,Moderaterne (M),0.08500001458991781
9,Danmarksdemokraterne (Æ),0.05953906429527553
9,Socialistisk Folkeparti (F),0.09546048522206435
9,Liberal Alliance (I),0.09670970653438095
9,Other,0.005904875075321918
10,Did not vote,0.04363219890820765
10,Socialdemokratiet (A),0.2647048677476895
10,Venstre (V),0.11032091031818266
10,Other - Right,0.10769969832057927
10,Other - Left,0.13116739999182872
10,Moderaterne (M),0.08481158648763697
10,Danmarksdemokraterne (Æ),0.05953764261836587
10,Socialistisk Folkeparti (F),0.09546030146899723
10,Liberal Alliance (I),0.0967590877243506
10,Other,0.005906306414161618
11,Did not vote,0.04362351623630912
11,Socialdemokratiet (A),0.264777462411483
11,Venstre (V),0.11025561825759085
11,Other - Right,0.10777525927084852
11,Other - Left,0.1310558006977141
11,Moderaterne (M),0.08486312393906935
11,Danmarksdemokraterne (Æ),0.059539709130492266
11,Socialistisk Folkeparti (F),0.09546075736155793
11,Liberal Alliance (I),0.09674291505383183
11,Other,0.005905837641103103
12,Did not vote,0.04345092864544252
12,Socialdemokratiet (A),0.26497050677622275
12,Venstre (V),0.11024978628227154
12,Other - Right,0.1077448300036159
12,Other - Left,0.13107632516191026
12,Moderaterne (M),0.08481682932137088
12,Danmarksdemokraterne (Æ),0.059539081990883785
12,Socialistisk Folkeparti (F),0.09546072821240979
12,Liberal Alliance (I),0.0967839563616445
12,Other,0.005907027244228107
13,Did not vote,0.04370142138502997
13,Socialdemokratiet (A),0.26472709735691385
13,Venstre (V),0.11029299333035632
13,Other - Right,0.10758047962200994
13,Other - Left,0.13104889668707953
13,Moderaterne (M),0.08480734153250659
13,Danmarksdemokraterne (Æ),0.059538651254603565
13,Socialistisk Folkeparti (F),0.0954600683948043
13,Liberal Alliance (I),0.09693173961976857
13,Other,0.005911310816927356
14,Did not vote,0.04361084277748452
14,Socialdemokratiet (A),0.2645956868175244
14,Venstre (V),0.11035166747876383
14,Other - Right,0.10788321763103538
14,Other - Left,0.13108608255358228
14,Moderaterne (M),0.08488645946044832
14,Danmarksdemokraterne (Æ),0.05953883675494915
14,Socialistisk Folkeparti (F),0.0954612571384422
14,Liberal Alliance (I),0.09668188085391091
14,Other,0.005904068533859018
15,Did not vote,0.04368593746322535
15,Socialdemokratiet (A),0.26463101158603697
15,Venstre (V),0.11023341377766149
15,Other - Right,0.10779052823563884
15,Other - Left,0.13110726845945184
15,Moderaterne (M),0.08493195374380977
15,Danmarksdemokraterne (Æ),0.05953910629126851
15,Socialistisk Folkeparti (F),0.09546080342669788
15,Liberal Alliance (I),0.09671494995760564
15,Other,0.005905027058603792
16,Did not vote,0.04366978595174602
16,Socialdemokratiet (A),0.2645632188867117
16,Venstre (V),0.11045037742769973
16,Other - Right,0.10775911610817163
16,Other - Left,0.13111471899619084
16,Moderaterne (M),0.0848072466388202
16,Danmarksdemokraterne (Æ),0.05953833478565064
16,Socialistisk Folkeparti (F),0.09546351818546682
16,Liberal Alliance (I),0.09672826987633777
16,Other,0.005905413143204724
17,Did not vote,0.04368527209871647
17,Socialdemokratiet (A),0.2647095945146023
17,Venstre (V),0.1101967081963412
17,Other - Right,0.10779037651733815
17,Other - Left,0.13116383159786862
17,Moderaterne (M),0.08477884786184958
17,Danmarksdemokraterne (Æ),0.05953789337071981
17,Socialistisk Folkeparti (F),0.09545973820347872
17,Liberal Alliance (I),0.09677108352068206
17,Other,0.005906654118403109
18,Did not vote,0.04335376969140471
18,Socialdemokratiet (A),0.26496041640867324
18,Venstre (V),0.11028399323589527
18,Other - Right,0.10781284922957368
18,Other - Left,0.13112623261526388
18,Moderaterne (M),0.08483037128368102
18,Danmarksdemokraterne (Æ),0.059538891115600824
18,Socialistisk Folkeparti (F),0.09546097356035477
18,Liberal Alliance (I),0.0967271229602913
18,Other,0.005905379899261347
19,Did not vote,0.04388671574310289
19,Socialdemokratiet (A),0.2645365376212385
19,Venstre (V),0.11024881182078237
19,Other - Right,0.10764869911341639
19,Other - Left,0.1310561303041111
19,Moderaterne (M),0.08480379793219422
19,Danmarksdemokraterne (Æ),0.059538963806110776
19,Socialistisk Folkeparti (F),0.09545991373736998
19,Liberal Alliance (I),0.0969097563023527
19,Other,0.005910673619321099
20,Did not vote,0.04344850039192839
20,Socialdemokratiet (A),0.2648721258102743
20,Venstre (V),0.11031127424354036
20,Other - Right,0.1078885352946603
20,Other - Left,0.13115464498288915
20,Moderaterne (M),0.08482652895627588
20,Danmarksdemokraterne (Æ),0.05953946203945873
20,Socialistisk Folkeparti (F),0.09546159552262183
20,Liberal Alliance (I),0.09659576046757427
20,Other,0.005901572290776797
21,Did not vote,0.04354375209945524
21,Socialdemokratiet (A),0.26464705377432624
