Did not vote,Socialdemokratiet (A),Venstre (V),Other - Right,Other - Left,Moderaterne (M),Danmarksdemokraterne (Æ),Socialistisk Folkeparti (F),Liberal Alliance (I),Other
0.04336268516993284,0.2648270201790462,0.1103330825300677,0.10779398116824906,0.13110230556103517,0.08490849213786053,0.05953987094045325,0.09546121606596328,0.09676487216819153,0.005906474079200485
0.043649718259866854,0.2646327505633873,0.11022517936302563,0.10778750871182553,0.1311587827029383,0.08482760288371474,0.05953848123675316,0.09546139408765689,0.09681077752167505,0.00590780466915653
0.043373699233399815,0.26481655350843214,0.11033934125189071,0.10763000517562422,0.13115953813148845,0.08486303610590873,0.059538595595797016,0.09546071100908626,0.0969079001699896,0.005910619818383038
0.043508934220972344,0.26490480640588937,0.11030647333055468,0.10780286212748628,0.13107001158474338,0.0847974449974779,0.05953845790671012,0.0954597317796115,0.096706495640617,0.0059047820059374544
0.04313562750933012,0.26500716007690905,0.11039950112035633,0.10778197470514682,0.13122530793080095,0.08478456156037971,0.059538977327378166,0.09547216727020154,0.09674871669488544,0.005906005804611902
0.04375781815489155,0.26465931119731406,0.11024676832147802,0.10770722087060712,0.1310429314072851,0.08485370627808496,0.05953894946667522,0.09546043805990048,0.09682464948860893,0.0059082067551546125
0.04363170827288286,0.26461552443921793,0.1102733519402442,0.10770880133593119,0.13118854193521284,0.0848693040712576,0.05953912691738957,0.09546269132161449,0.09680336009496837,0.005907589671280973
0.043665762086029535,0.2646275220065688,0.11028427496211685,0.1077682397551441,0.13112549295168302,0.08483381576124964,0.05954132466033362,0.09546097282642414,0.09678552235510735,0.005907072635342973
0.043497265539244524,0.2648855909066593,0.11024414868709681,0.10767293651776334,0.13115795629683125,0.08479270407595128,0.0595393213383274,0.09545998983333245,0.0968413946817227,0.005908692123070954
0.04351430184967535,0.2648182442253055,0.11037465362475071,0.10775104427823558,0.13106064983786792,0.08478829804913862,0.059537930461238196,0.09547588666028811,0.09677230158877544,0.005906689424724657
0.04339572243456796,0.2644944781045748,0.11030974748173851,0.10766850883063175,0.13139374197444054,0.08499329927010357,0.05953891904288092,0.09556656180175568,0.09673345754878425,0.0059055635105220135
0.043473928806840555,0.2648335948793742,0.11029922622294444,0.10756360188785208,0.13104842854715706,0.08486416660404146,0.05953882261733565,0.09547021673784557,0.09699487292869818,0.0059131407679108225
0.04370291522566246,0.2646555336872988,0.11032976018880221,0.10779827308155948,0.13107900045755375,0.08478601917321628,0.05953772888616471,0.0954684383742717,0.09673667417928196,0.005905656746188613
