municipality,predicted_vote_party,point_estimate,lower_quartile,median,upper_quartile,sd_draws,n_distinct_draws
Assens,Other - Left,0.06972164710135685,0.0696681269910282,0.06968718035756763,0.06971733089111208,4.9438032420901647e-5,250
Assens,Socialistisk Folkeparti (F),0.06914788124336087,0.06914936770982788,0.06914996937071102,0.06915120086699215,4.935495224461347e-5,250
Assens,Did not vote,0.044899570085024404,0.04476314674088946,0.04484677784558316,0.04490071803183167,1.0924043714335234e-4,250
Assens,Other,0.00552708175404393,0.00552769552408802,0.005529372827356743,0.005530973124300691,2.9216097984054445e-6,250
Ballerup,Socialdemokratiet (A),0.2917394166057218,0.2918215037812589,0.2919311442008271,0.29205811256739733,1.8880305450060878e-4,250
Ballerup,Liberal Alliance (I),0.11394359383163813,0.1139474129783908,0.11401599710894042,0.11407256531937476,1.1557571985041523e-4,250
Ballerup,Other - Left,0.11034415569160444,0.11026068892442302,0.11029217480902952,0.11034948785290599,7.564731063892997e-5,250
Ballerup,Other - Right,0.10927153528163455,0.1091333364730922,0.10917727804124236,0.10921790040396422,7.838242595122419e-5,250
Ballerup,Socialistisk Folkeparti (F),0.09952838099264082,0.0995302112885226,0.09953101215663121,0.09953227789897236,5.118621222385588e-5,250
Ballerup,Venstre (V),0.0907375145055993,0.09070325586384849,0.09072956342951752,0.09077115955050417,5.877915296368934e-5,250
Ballerup,Moderaterne (M),0.07467251906274587,0.07469864979208345,0.0747248840203435,0.07477501626512599,6.561857739838602e-5,250
Ballerup,Danmarksdemokraterne (Æ),0.058390206125240554,0.058391147351585695,0.058391528983218935,0.05839189632483002,2.585444981648068e-5,250
Ballerup,Did not vote,0.045204710498844156,0.04486896293729119,0.044994600588840986,0.04508989051573527,1.9283530649022099e-4,250
Ballerup,Other,0.006167967404330453,0.006168078104236327,0.006170066050049361,0.006171705708322819,3.3500208652294247e-6,250
Billund,Socialdemokratiet (A),0.2741352905589147,0.27418233685760307,0.2742398642018691,0.2743000590036311,1.0272837083703599e-4,250
Billund,Venstre (V),0.16224199182201332,0.1622017138690101,0.1622201406850211,0.16224422554511309,3.731766426731333e-5,250
Billund,Liberal Alliance (I),0.11187737714260715,0.1118965970178463,0.11196044118984139,0.11202408954485187,1.0759122071174552e-4,250
Billund,Other - Right,0.11023779653314107,0.11008005252217265,0.11013410698472514,0.11017496529092735,7.297416249549535e-5,250
Billund,Danmarksdemokraterne (Æ),0.08436864597284933,0.08436999347746733,0.08437047198301928,0.08437104935852822,2.650889519511593e-5,250
Billund,Moderaterne (M),0.08247882695892401,0.08248888203262558,0.08250384003880093,0.0825279076930643,4.172456117795045e-5,250
Billund,Other - Left,0.06456559355659741,0.06452793652019227,0.06454459021405196,0.06457527180023967,4.562764284125078e-5,250
