MunicipalityCode,MunicipalityName,Age,Sex,Education,N
0117,Österåker,41-50,Female,Tertiary 2yr+,1314.4
0117,Österåker,41-50,Female,Tertiary <2yr,499.8
0117,Österåker,41-50,Female,Upper secondary,937.0
0117,Österåker,41-50,Male,Postgraduate,47.6
0117,Österåker,41-50,Male,Primary 9-10yr,221.2
0117,Österåker,41-50,Male,Primary <9yr,36.6
0117,Österåker,41-50,Male,Tertiary 2yr+,830.8
0117,Österåker,41-50,Male,Tertiary <2yr,541.3
0117,Österåker,41-50,Male,Upper secondary,1286.9
0117,Österåker,51-60,Female,Postgraduate,49.7
0117,Österåker,51-60,Female,Primary 9-10yr,154.5
0117,Österåker,51-60,Female,Primary <9yr,41.3
0117,Österåker,51-60,Female,Tertiary 2yr+,1130.3
0117,Österåker,51-60,Female,Tertiary <2yr,574.7
0117,Österåker,51-60,Female,Upper secondary,1399.9
0117,Österåker,51-60,Male,Postgraduate,54.7
0117,Österåker,51-60,Male,Primary 9-10yr,287.5
0117,Österåker,51-60,Male,Primary <9yr,33.8
0117,Österåker,51-60,Male,Tertiary 2yr+,763.4
0117,Österåker,51-60,Male,Tertiary <2yr,622.3
0117,Österåker,51-60,Male,Upper secondary,1585.6
0117,Österåker,61-70,Female,Postgraduate,21.7
0117,Österåker,61-70,Female,Primary 9-10yr,151.2
0117,Österåker,61-70,Female,Primary <9yr,24.6
0117,Österåker,61-70,Female,Tertiary 2yr+,541.3
0117,Österåker,61-70,Female,Tertiary <2yr,427.9
0117,Österåker,61-70,Female,Upper secondary,1061.2
0117,Österåker,61-70,Male,Postgraduate,40.0
0117,Österåker,61-70,Male,Primary 9-10yr,276.2
0117,Österåker,61-70,Male,Primary <9yr,24.2
0117,Österåker,61-70,Male,Tertiary 2yr+,438.7
0117,Österåker,61-70,Male,Tertiary <2yr,444.1
0117,Österåker,61-70,Male,Upper secondary,1086.9
0117,Österåker,71-104,Female,Postgraduate,32.1
0117,Österåker,71-104,Female,Primary 9-10yr,335.0
0117,Österåker,71-104,Female,Primary <9yr,282.1
0117,Österåker,71-104,Female,Tertiary 2yr+,658.5
0117,Österåker,71-104,Female,Tertiary <2yr,562.3
0117,Österåker,71-104,Female,Upper secondary,1576.7
0117,Österåker,71-104,Male,Postgraduate,73.9
0117,Österåker,71-104,Male,Primary 9-10yr,341.9
0117,Österåker,71-104,Male,Primary <9yr,272.6
0117,Österåker,71-104,Male,Tertiary 2yr+,556.1
0117,Österåker,71-104,Male,Tertiary <2yr,408.7
0117,Österåker,71-104,Male,Upper secondary,1355.8
0120,Värmdö,18-22,Female,Primary 9-10yr,1072.8
0120,Värmdö,18-22,Female,Primary <9yr,1.1
0120,Värmdö,18-22,Female,Tertiary 2yr+,56.8
0120,Värmdö,18-22,Female,Tertiary <2yr,179.8
0120,Värmdö,18-22,Female,Upper secondary,956.1
0120,Värmdö,18-22,Male,Primary 9-10yr,1233.0
0120,Värmdö,18-22,Male,Primary <9yr,5.2
0120,Värmdö,18-22,Male,Tertiary 2yr+,32.7
0120,Värmdö,18-22,Male,Tertiary <2yr,174.2
0120,Värmdö,18-22,Male,Upper secondary,1080.1
0120,Värmdö,23-30,Female,Postgraduate,1.7
0120,Värmdö,23-30,Female,Primary 9-10yr,39.0
0120,Värmdö,23-30,Female,Primary <9yr,5.6
0120,Värmdö,23-30,Female,Tertiary 2yr+,266.5
0120,Värmdö,23-30,Female,Tertiary <2yr,149.1
0120,Värmdö,23-30,Female,Upper secondary,297.5
0120,Värmdö,23-30,Male,Postgraduate,1.4
0120,Värmdö,23-30,Male,Primary 9-10yr,76.8
0120,Värmdö,23-30,Male,Primary <9yr,7.9
0120,Värmdö,23-30,Male,Tertiary 2yr+,122.4
0120,Värmdö,23-30,Male,Tertiary <2yr,141.8
0120,Värmdö,23-30,Male,Upper secondary,396.6
0120,Värmdö,31-40,Female,Postgraduate,19.8
0120,Värmdö,31-40,Female,Primary 9-10yr,116.8
0120,Värmdö,31-40,Female,Primary <9yr,22.4
0120,Värmdö,31-40,Female,Tertiary 2yr+,1133.4
0120,Värmdö,31-40,Female,Tertiary <2yr,537.7
0120,Värmdö,31-40,Female,Upper secondary,917.6
0120,Värmdö,31-40,Male,Postgraduate,16.3
0120,Värmdö,31-40,Male,Primary 9-10yr,247.9
0120,Värmdö,31-40,Male,Primary <9yr,25.3
