StartDate,EndDate,Status,RecordedDate,res_attempts,res_city,res_audio,lang,consent_en,consent_followup_en,vote_2025_en,vote_2025_party_en,vote_2025_party_en_17_TEXT,vote_likelihood_en,vote_today_party_en,vote_today_party_en_18_TEXT,news_time_en,gender_en,gender_en_3_TEXT,birth_year_en,municipality_en_1,education_en,consent_nl,consent_followup_nl,vote_2025_nl,vote_2025_party_nl,vote_2025_party_nl_17_TEXT,vote_likelihood_nl,vote_today_party_nl,vote_today_party_nl_18_TEXT,news_time_nl,gender_nl,gender_nl_3_TEXT,birth_year_nl,municipality_nl_1,education_nl,res_interview_lang
2026-04-20 09:25:03,2026-04-20 09:27:55,IP Address,2026-04-20 09:27:55,0,Groningen ,XM002APP20042026,English,I consent to participate,yes,No,,,10,CDA (Christian democrat party),,00:20,Female,,1989,Groningen,wo (university),,,,,,,,,,,,,,,English
2026-04-20 09:37:24,2026-04-20 09:39:10,IP Address,2026-04-20 09:39:11,0,Groningen ,AA002APP20042026,English,I consent to participate,yes,Yes,Partij voor de Dieren (animal welfare party),,10,Partij voor de Dieren (animal welfare party),,00:20,Female,,2005,Groningen,"mbo (intermediate vocational education, US: junior college)",,,,,,,,,,,,,,,English
2026-04-21 03:27:22,2026-04-21 03:37:47,IP Address,2026-04-21 03:37:47,0,Eindhoven,SA001POL21042026,Nederlands,,,,,,,,,,,,,,,Ik geef toestemming om deel te nemen,Nee,Ja,GroenLinks-PvdA,,8,GroenLinks-PvdA,,00:30,Man,,2002,Amsterdam,hbo,English
2026-04-21 02:03:42,2026-04-21 03:45:58,IP Address,2026-04-21 03:45:58,1,Eindhoven,SB001POL21042026,Nederlands,,,,,,,,,,,,,,,Ik geef toestemming om deel te nemen,Ja,Ja,VVD (Volkspartij voor Vrijheid en Democratie),,10,VVD (Volkspartij voor Vrijheid en Democratie),,02:30,Man,,1966,Eindhoven,havo/vwo,Dutch
2026-04-21 03:47:45,2026-04-21 03:58:08,IP Address,2026-04-21 03:58:08,0,Eindhoven,SA002POL21042026,English,I consent to participate,yes,Yes,CDA (Christian democrat party),,9,GroenLinks (green party)-PvdA (labor party),,00:10,Female,,1994,Eindhoven,wo (university),,,,,,,,,,,,,,,English
2026-04-21 04:17:46,2026-04-21 04:24:41,IP Address,2026-04-21 04:24:41,0,Eindhoven ,SA003POL21042026,Nederlands,,,,,,,,,,,,,,,Ik geef toestemming om deel te nemen,Ja,Ja,GroenLinks-PvdA,,10,GroenLinks-PvdA,,00:40,Man,,1966,Eindhoven,wo,English
2026-04-15 05:41:54,2026-04-21 04:36:49,IP Address,2026-04-21 04:36:50,3,EINHOVEN,AA001POL21042026,English,I consent to participate,yes,Yes,D66 (social-liberal party),,8,GroenLinks (green party)-PvdA (labor party),,10:00,Female,,2002,Eindhoven,"hbo (higher vocational education, US: college)",,,,,,,,,,,,,,,English
2026-04-21 04:32:45,2026-04-21 04:37:58,IP Address,2026-04-21 04:37:58,11,Eindhoven,SB002POL21042026,Nederlands,,,,,,,,,,,,,,,Ik geef toestemming om deel te nemen,Nee,Ja,D66 (Democraten 66),,10,D66 (Democraten 66),,00:00,Vrouw,,2001,Eindhoven,wo,Dutch
2026-04-21 04:34:44,2026-04-21 04:41:29,IP Address,2026-04-21 04:41:29,0,Eindhoven ,SA004POL21042026 ,English,I consent to participate,no,Yes,SP (socialist party),,8,SP (socialist party),,00:10,Female,,1997,Roosendaal,"mbo (intermediate vocational education, US: junior college)",,,,,,,,,,,,,,,English
2026-04-21 04:49:46,2026-04-21 04:57:02,IP Address,2026-04-21 04:57:03,0,EINHOVEN,NT002POL21042026,Nederlands,,,,,,,,,,,,,,,Ik geef toestemming om deel te nemen,Nee,Ja,VVD (Volkspartij voor Vrijheid en Democratie),,10,VVD (Volkspartij voor Vrijheid en Democratie),,00:15,Man,,2000,Echt-Susteren,hbo,English
2026-04-21 04:52:50,2026-04-21 04:57:12,IP Address,2026-04-21 04:57:13,0,Eindhoven,SB003POL21042026,Nederlands,,,,,,,,,,,,,,,Ik geef toestemming om deel te nemen,Nee,Ja,JA21 (Juiste Antwoord21),,10,JA21 (Juiste Antwoord21),,01:00,Man,,2001,Breda,hbo,Dutch
2026-04-21 05:13:18,2026-04-21 05:17:22,IP Address,2026-04-21 05:17:22,0,Einhoven,NT003POL21042026,Nederlands,,,,,,,,,,,,,,,Ik geef toestemming om deel te nemen,Nee,Nee,,,8,Volt,,00:30,Man,,2000,Eindhoven,hbo,Dutch
2026-04-21 05:13:15,2026-04-21 05:17:29,IP Address,2026-04-21 05:17:30,0,Eindhoven ,SB004POL21042026,Nederlands,,,,,,,,,,,,,,,Ik geef toestemming om deel te nemen,Nee,Nee,,,10,Partij voor de Dieren,,00:30,Man,,1998,Amsterdam,hbo,Dutch
2026-04-21 07:30:09,2026-04-21 07:34:53,IP Address,2026-04-21 07:34:54,2,Eindhoven ,SA005POL21042026,Nederlands,,,,,,,,,,,,,,,Ik geef toestemming om deel te nemen,Ja,Ja,GroenLinks-PvdA,,10,GroenLinks-PvdA,,02:30,Man,,1998,Eindhoven,wo,English
2026-04-21 07:44:46,2026-04-21 07:50:49,IP Address,2026-04-21 07:50:50,7,Eindhoven ,SB005POL21042026,Nederlands,,,,,,,,,,,,,,,Ik geef toestemming om deel te nemen,Nee,Ja,SP (Socialistische Partij),,10,SP (Socialistische Partij),,00:30,Man,,1967,Eindhoven,wo,Dutch
2026-04-21 07:52:33,2026-04-21 07:59:22,IP Address,2026-04-21 07:59:22,0,Eindhoven ,SA006POL21042026,Nederlands,,,,,,,,,,,,,,,Ik geef toestemming om deel te nemen,Ja,Ja,GroenLinks-PvdA,,10,GroenLinks-PvdA,,01:00,Man,,1988,Eindhoven,hbo,English
2026-04-21 08:02:21,2026-04-21 08:07:07,IP Address,2026-04-21 08:07:07,0,Eindhoven,SB006POL21042026,Nederlands,,,,,,,,,,,,,,,Ik geef toestemming om deel te nemen,Ja,Ja,D66 (Democraten 66),,10,D66 (Democraten 66),,01:30,Man,,1992,Eindhoven,wo,Dutch
