draw,party,share
52,Æ: Danmarksdemokraterne,0.05796718195040934
52,Other,0.028118550024422675
53,Did not vote,0.04555402494902805
53,A: Socialdemokratiet,0.2440616254004708
53,Other - Left,0.14108932927383547
53,V: Venstre,0.12282892216772304
53,F: SF - Socialistisk Folkeparti,0.09431614871202346
53,Other - Right,0.10166013301167376
53,M: Moderaterne,0.0888067675999767
53,I: Liberal Alliance,0.07406795844979841
53,Æ: Danmarksdemokraterne,0.06020645584507751
53,Other,0.027408634590397527
54,Did not vote,0.04286414507041366
54,A: Socialdemokratiet,0.24955097406970025
54,Other - Left,0.1466936903849739
54,V: Venstre,0.10276483517349995
54,F: SF - Socialistisk Folkeparti,0.09545331640940455
54,Other - Right,0.09580988902871727
54,M: Moderaterne,0.09900995100455266
54,I: Liberal Alliance,0.07886027270977362
54,Æ: Danmarksdemokraterne,0.0642555126482652
54,Other,0.024737413500701275
55,Did not vote,0.04210918855042675
55,A: Socialdemokratiet,0.25137490316057653
55,Other - Left,0.1407881140361948
55,V: Venstre,0.11642097613122954
55,F: SF - Socialistisk Folkeparti,0.0966757603677595
55,Other - Right,0.08747419342280358
55,M: Moderaterne,0.10097868546206437
55,I: Liberal Alliance,0.07440983507611623
55,Æ: Danmarksdemokraterne,0.06402298973589819
55,Other,0.02574535405693406
56,Did not vote,0.04539845292679825
56,A: Socialdemokratiet,0.22436081129936608
56,Other - Left,0.1409996270559485
56,V: Venstre,0.11750552265107143
56,F: SF - Socialistisk Folkeparti,0.10016376966314647
56,Other - Right,0.09403670413648467
56,M: Moderaterne,0.10962665605516793
56,I: Liberal Alliance,0.0671802772774074
56,Æ: Danmarksdemokraterne,0.07759124712545099
56,Other,0.023136931809162493
57,Did not vote,0.04103326625051802
57,A: Socialdemokratiet,0.2438583821411392
57,Other - Left,0.12492663463110266
57,V: Venstre,0.11543364053469052
57,F: SF - Socialistisk Folkeparti,0.11054060925103727
57,Other - Right,0.09075918280588495
57,M: Moderaterne,0.10078581475227746
57,I: Liberal Alliance,0.07141841345433007
57,Æ: Danmarksdemokraterne,0.07159482500050292
57,Other,0.02964923117852095
58,Did not vote,0.04199009921515098
58,A: Socialdemokratiet,0.2383050953210934
58,Other - Left,0.15546292819534893
58,V: Venstre,0.11837380776297436
58,F: SF - Socialistisk Folkeparti,0.10323307931715296
58,Other - Right,0.10400993280997746
58,M: Moderaterne,0.0880477163624085
58,I: Liberal Alliance,0.06009099652602703
58,Æ: Danmarksdemokraterne,0.06613425633309195
58,Other,0.024352088156778414
59,Did not vote,0.04430279091861058
59,A: Socialdemokratiet,0.2438826560407985
59,Other - Left,0.14515376644898317
59,V: Venstre,0.13718806317105925
59,F: SF - Socialistisk Folkeparti,0.09408897941592748
59,Other - Right,0.08242880202711755
59,M: Moderaterne,0.10447205171799769
59,I: Liberal Alliance,0.06730510609956317
59,Æ: Danmarksdemokraterne,0.05990135846459049
59,Other,0.02127642569535718
60,Did not vote,0.04782942110842
60,A: Socialdemokratiet,0.2188244033904642
60,Other - Left,0.140693374183531
60,V: Venstre,0.13273726446455944
60,F: SF - Socialistisk Folkeparti,0.08693410730837164
60,Other - Right,0.12091838740434618
