municipality,party,point_estimate,lower_quartile,median,upper_quartile,sd_draws,n_distinct_draws
Jammerbugt,Æ: Danmarksdemokraterne,0.1007540667217747,0.09135320064176287,0.10140158534825047,0.11174023562309733,0.01438745622165932,250
Jammerbugt,I: Liberal Alliance,0.09669658016552479,0.06801183819620209,0.07632978672579693,0.08429833908810008,0.012354199852903156,250
Jammerbugt,Other - Left,0.07444307075202307,0.06286397091547219,0.06736805758966088,0.07276904180287196,0.007618730213738523,250
Jammerbugt,F: SF - Socialistisk Folkeparti,0.07300627653628104,0.06733697475264155,0.07417448343576856,0.08101031407383529,0.010256309437494946,250
Jammerbugt,M: Moderaterne,0.06603825660882104,0.06301319150131945,0.07144812386766752,0.08097204377417241,0.014458796470616866,250
Jammerbugt,Did not vote,0.045679739235267275,0.04062007953535478,0.04270755857732822,0.04565678392153738,0.003920031677623255,250
Jammerbugt,Other,0.016828114565262276,0.015736055580682317,0.017890262175707154,0.020846223699314416,0.004083379394952103,250
Kalundborg,A: Socialdemokratiet,0.28845448132669954,0.26142903814450014,0.2765332254543228,0.2888828324157576,0.021017799698156096,250
Kalundborg,V: Venstre,0.11538470298550085,0.10707471336711405,0.11958800333970876,0.13061415596856774,0.016522352778289368,250
Kalundborg,Other - Right,0.1051898163058931,0.10753617347958055,0.1182705838094601,0.13091504790543493,0.016359719304431097,250
Kalundborg,M: Moderaterne,0.10256911797202788,0.08764362107676181,0.09745058772878329,0.11082697311909034,0.01696942174253472,250
Kalundborg,Other - Left,0.09094666410148115,0.06987348370546537,0.0744811141570329,0.08107835022023448,0.008129880111866017,250
Kalundborg,F: SF - Socialistisk Folkeparti,0.0856632284633466,0.07371464496114083,0.07974663000262924,0.08749713194716312,0.009796060043607793,250
Kalundborg,Æ: Danmarksdemokraterne,0.07590638495086215,0.07482441470885846,0.08554000164247284,0.09591864461168055,0.013615443009469696,250
Kalundborg,I: Liberal Alliance,0.06158749389759335,0.059074690419195455,0.06500359087040972,0.07182681865598751,0.010738486571870735,250
Kalundborg,Did not vote,0.05519455340179831,0.048882420719086966,0.052528841517025485,0.057093260162534645,0.006491714648834671,250
Kalundborg,Other,0.019103556594797226,0.021468859893946035,0.024035252767355963,0.02760295013339941,0.004515238438962178,250
Kerteminde,A: Socialdemokratiet,0.30660107461445846,0.3029360131758504,0.31851651033343187,0.34271141494025065,0.031298458914995345,250
Kerteminde,Other - Right,0.1143517318679548,0.10116456867248214,0.1145405099848707,0.12591758887321158,0.01648984579611376,250
Kerteminde,V: Venstre,0.10367075647186379,0.09437103064578392,0.1026989920097609,0.11508576717657094,0.01643708918462716,250
Kerteminde,M: Moderaterne,0.09558992997625063,0.08680029534913,0.10069957455816517,0.11298404048394381,0.017932962883544144,250
Kerteminde,Other - Left,0.0923002140461937,0.07065688140517709,0.07639817784383719,0.08147036430708762,0.008899672144660186,250
Kerteminde,F: SF - Socialistisk Folkeparti,0.08798865405273759,0.0704087892645815,0.07673062957454213,0.0847706398764661,0.010548692934500127,250
Kerteminde,Æ: Danmarksdemokraterne,0.07214876756287375,0.06833624407225587,0.07647444573510473,0.0845900567244186,0.011739218029489238,250
Kerteminde,I: Liberal Alliance,0.06676741995943687,0.05554951071280897,0.0615463226408204,0.06772159428406632,0.009462272548422978,250
Kerteminde,Did not vote,0.042885805271984295,0.03873645325188807,0.04110172428898867,0.043329311465583414,0.0035493524119990117,250
Kerteminde,Other,0.017695646176246558,0.02196577537642085,0.02417653117099893,0.027011751399364244,0.0038632086140111483,250
Kolding,A: Socialdemokratiet,0.24359128778718295,0.21844156510772803,0.23019816670879034,0.2430025441303691,0.01712273841493362,250
Kolding,V: Venstre,0.1262526211296754,0.12474014589161692,0.1346025756818551,0.14331335796549916,0.016522055458753907,250
Kolding,Other - Right,0.11812876754145775,0.10206543356462654,0.11301380474297695,0.12557634479078775,0.016114753137013924,250
Kolding,Other - Left,0.10413149988222008,0.08986353725160157,0.0958592008748527,0.10353012062572042,0.010059098382064195,250
