municipality,party,pct
Gnesta,The Liberals (L),0.029636047206020415
Gnosjö,Centre Party (C),0.07292140133514587
Gnosjö,Christian Democrats (KD),0.12841596455824955
Gnosjö,Green Party (MP),0.021555784587150108
Gnosjö,Left Party (V),0.026726106279672406
Gnosjö,Moderate Party (M),0.20335228083081236
Gnosjö,Other party,0.009188834517428936
Gnosjö,Social Democrats (S),0.24540710973544572
Gnosjö,Sweden Democrats (SD),0.26079988872658544
Gnosjö,The Liberals (L),0.031632629429509555
Gotland,Centre Party (C),0.1172198493249771
Gotland,Christian Democrats (KD),0.0401341890223861
Gotland,Green Party (MP),0.06675484195616518
Gotland,Left Party (V),0.062043233135382965
Gotland,Moderate Party (M),0.16602094930782005
Gotland,Other party,0.01562783166724069
Gotland,Social Democrats (S),0.34817208617821066
Gotland,Sweden Democrats (SD),0.15595745612999412
Gotland,The Liberals (L),0.028069563277823208
Grums,Centre Party (C),0.05128919837165178
Grums,Christian Democrats (KD),0.04400117578242733
Grums,Green Party (MP),0.021763515906777813
Grums,Left Party (V),0.04451435456826817
Grums,Moderate Party (M),0.1403091272401627
Grums,Other party,0.010747575270125364
Grums,Social Democrats (S),0.3793483135318548
Grums,Sweden Democrats (SD),0.2896012734865318
Grums,The Liberals (L),0.018425465842200395
Gullspång,Centre Party (C),0.05720579935309213
Gullspång,Christian Democrats (KD),0.051147789511558905
Gullspång,Green Party (MP),0.028389023826841577
Gullspång,Left Party (V),0.0453994652300199
Gullspång,Moderate Party (M),0.14096196358556462
Gullspång,Other party,0.01878417892258598
Gullspång,Social Democrats (S),0.34171936803772224
Gullspång,Sweden Democrats (SD),0.2928892596860557
Gullspång,The Liberals (L),0.023503151846558903
Gällivare,Centre Party (C),0.03610204198810532
Gällivare,Christian Democrats (KD),0.0808191262950408
Gällivare,Green Party (MP),0.026160248447166853
Gällivare,Left Party (V),0.15044223387490294
Gällivare,Moderate Party (M),0.09130308423422041
Gällivare,Other party,0.01291375836088663
Gällivare,Social Democrats (S),0.359815675218438
Gällivare,Sweden Democrats (SD),0.22660726442855375
Gällivare,The Liberals (L),0.015836567152685256
Gävle,Centre Party (C),0.05031903805355428
Gävle,Christian Democrats (KD),0.04321045658469524
Gävle,Green Party (MP),0.0443598614932815
Gävle,Left Party (V),0.06401027519612308
Gävle,Moderate Party (M),0.18907018803578565
Gävle,Other party,0.014351883279023179
Gävle,Social Democrats (S),0.33275918177161945
Gävle,Sweden Democrats (SD),0.22353937954518532
Gävle,The Liberals (L),0.03837973604073224
Göteborg,Centre Party (C),0.05765908906261169
Göteborg,Christian Democrats (KD),0.04391821958527912
Göteborg,Green Party (MP),0.0855684228907101
Göteborg,Left Party (V),0.12555100621167276
Göteborg,Moderate Party (M),0.17938244360497044
Göteborg,Other party,0.024277297788263867
Göteborg,Social Democrats (S),0.28029354041332954
Göteborg,Sweden Democrats (SD),0.14551466404958957
Göteborg,The Liberals (L),0.0578353163935729
Götene,Centre Party (C),0.09381675241791372
Götene,Christian Democrats (KD),0.09699077512655851
Götene,Green Party (MP),0.030925936030557138
Götene,Left Party (V),0.045774979650811065
Götene,Moderate Party (M),0.15963712874347352
Götene,Other party,0.016977839821211045
Götene,Social Democrats (S),0.2579549413856673
Götene,Sweden Democrats (SD),0.26062722227593954
Götene,The Liberals (L),0.03729442454786808
Habo,Centre Party (C),0.069441735841275
Habo,Christian Democrats (KD),0.11188309019664275
Habo,Green Party (MP),0.03456812163900251
Habo,Left Party (V),0.027168835985145547
Habo,Moderate Party (M),0.1993995746270579
Habo,Other party,0.013256540439287728
Habo,Social Democrats (S),0.2660053572757953
Habo,Sweden Democrats (SD),0.23985813077360552
Habo,The Liberals (L),0.03841861322218773
Hagfors,Centre Party (C),0.0431808028651386
Hagfors,Christian Democrats (KD),0.04973671686945561
Hagfors,Green Party (MP),0.02088310727687729
Hagfors,Left Party (V),0.054560069106814865
Hagfors,Moderate Party (M),0.09310090752281673
Hagfors,Other party,0.012298589462566064
Hagfors,Social Democrats (S),0.43069910688077045
Hagfors,Sweden Democrats (SD),0.27368466728962404
Hagfors,The Liberals (L),0.021856032725936465
Hallsberg,Centre Party (C),0.06120109843574623
Hallsberg,Christian Democrats (KD),0.04732877177821591
Hallsberg,Green Party (MP),0.03273019360100012
Hallsberg,Left Party (V),0.04649545467803966
Hallsberg,Moderate Party (M),0.14556000566018668
Hallsberg,Other party,0.013835542370636215
Hallsberg,Social Democrats (S),0.35368802489673185
Hallsberg,Sweden Democrats (SD),0.2694926213271338
Hallsberg,The Liberals (L),0.029668287252309435
Hallstahammar,Centre Party (C),0.04339090884682765
Hallstahammar,Christian Democrats (KD),0.049132810658537425
Hallstahammar,Green Party (MP),0.02959775700701037
Hallstahammar,Left Party (V),0.05857047486953848
Hallstahammar,Moderate Party (M),0.1473933082616944
Hallstahammar,Other party,0.016229628082668934
