"Population per month by sex, month, region and age"

"sex","month","region","total, all ages"
"total, all men and women","2025M12","1490 Borås",115238
"total, all men and women","2025M12","1491 Ulricehamn",24954
"total, all men and women","2025M12","1492 Åmål",11679
"total, all men and women","2025M12","1493 Mariestad",24421
"total, all men and women","2025M12","1494 Lidköping",40359
"total, all men and women","2025M12","1495 Skara",18753
"total, all men and women","2025M12","1496 Skövde",58272
"total, all men and women","2025M12","1497 Hjo",9322
"total, all men and women","2025M12","1498 Tidaholm",12736
"total, all men and women","2025M12","1499 Falköping",32794
"total, all men and women","2025M12","1715 Kil",12024
"total, all men and women","2025M12","1730 Eda",8289
"total, all men and women","2025M12","1737 Torsby",11278
"total, all men and women","2025M12","1760 Storfors",3777
"total, all men and women","2025M12","1761 Hammarö",16932
"total, all men and women","2025M12","1762 Munkfors",3637
"total, all men and women","2025M12","1763 Forshaga",11439
"total, all men and women","2025M12","1764 Grums",8854
"total, all men and women","2025M12","1765 Årjäng",9734
"total, all men and women","2025M12","1766 Sunne",13354
"total, all men and women","2025M12","1780 Karlstad",99007
"total, all men and women","2025M12","1781 Kristinehamn",23590
"total, all men and women","2025M12","1782 Filipstad",9625
"total, all men and women","2025M12","1783 Hagfors",11324
"total, all men and women","2025M12","1784 Arvika",25408
"total, all men and women","2025M12","1785 Säffle",14756
"total, all men and women","2025M12","1814 Lekeberg",8608
"total, all men and women","2025M12","1860 Laxå",5397
"total, all men and women","2025M12","1861 Hallsberg",16082
"total, all men and women","2025M12","1862 Degerfors",9237
"total, all men and women","2025M12","1863 Hällefors",6269
"total, all men and women","2025M12","1864 Ljusnarsberg",4290
"total, all men and women","2025M12","1880 Örebro",160687
"total, all men and women","2025M12","1881 Kumla",22665
"total, all men and women","2025M12","1882 Askersund",11382
"total, all men and women","2025M12","1883 Karlskoga",30128
"total, all men and women","2025M12","1884 Nora",10603
"total, all men and women","2025M12","1885 Lindesberg",23014
"total, all men and women","2025M12","1904 Skinnskatteberg",4234
"total, all men and women","2025M12","1907 Surahammar",9733
"total, all men and women","2025M12","1960 Kungsör",8550
"total, all men and women","2025M12","1961 Hallstahammar",16600
"total, all men and women","2025M12","1962 Norberg",5351
"total, all men and women","2025M12","1980 Västerås",161240
"total, all men and women","2025M12","1981 Sala",22600
"total, all men and women","2025M12","1982 Fagersta",12915
"total, all men and women","2025M12","1983 Köping",25610
"total, all men and women","2025M12","1984 Arboga",13929
"total, all men and women","2025M12","2021 Vansbro",6741
"total, all men and women","2025M12","2023 Malung-Sälen",10192
