municipality_code,municipality,age_group,gender,education_level,N
1407,Öckerö,23-30,Women,"Tertiary education, shorter than 2 years",30.7
1407,Öckerö,23-30,Women,Upper secondary school,62.9
1407,Öckerö,31-40,Men,Postgraduate education,2.0
1407,Öckerö,31-40,Men,"Primary school, 9/10 years",52.5
1407,Öckerö,31-40,Men,"Primary school, shorter than 9 years",4.1
1407,Öckerö,31-40,Men,"Tertiary education, 2 years or longer",97.8
1407,Öckerö,31-40,Men,"Tertiary education, shorter than 2 years",96.4
1407,Öckerö,31-40,Men,Upper secondary school,314.2
1407,Öckerö,31-40,Women,Postgraduate education,2.1
1407,Öckerö,31-40,Women,"Primary school, 9/10 years",22.7
1407,Öckerö,31-40,Women,"Primary school, shorter than 9 years",5.0
1407,Öckerö,31-40,Women,"Tertiary education, 2 years or longer",233.4
1407,Öckerö,31-40,Women,"Tertiary education, shorter than 2 years",114.9
1407,Öckerö,31-40,Women,Upper secondary school,194.3
1407,Öckerö,41-50,Men,Postgraduate education,7.6
1407,Öckerö,41-50,Men,"Primary school, 9/10 years",51.8
1407,Öckerö,41-50,Men,"Primary school, shorter than 9 years",6.4
1407,Öckerö,41-50,Men,"Tertiary education, 2 years or longer",135.0
1407,Öckerö,41-50,Men,"Tertiary education, shorter than 2 years",105.9
1407,Öckerö,41-50,Men,Upper secondary school,316.3
1407,Öckerö,41-50,Women,Postgraduate education,7.2
1407,Öckerö,41-50,Women,"Primary school, 9/10 years",21.8
1407,Öckerö,41-50,Women,"Primary school, shorter than 9 years",7.1
1407,Öckerö,41-50,Women,"Tertiary education, 2 years or longer",284.0
1407,Öckerö,41-50,Women,"Tertiary education, shorter than 2 years",137.5
1407,Öckerö,41-50,Women,Upper secondary school,237.0
1407,Öckerö,51-60,Men,Postgraduate education,15.5
1407,Öckerö,51-60,Men,"Primary school, 9/10 years",103.9
1407,Öckerö,51-60,Men,"Primary school, shorter than 9 years",8.8
1407,Öckerö,51-60,Men,"Tertiary education, 2 years or longer",154.1
1407,Öckerö,51-60,Men,"Tertiary education, shorter than 2 years",175.3
1407,Öckerö,51-60,Men,Upper secondary school,456.6
1407,Öckerö,51-60,Women,Postgraduate education,18.0
1407,Öckerö,51-60,Women,"Primary school, 9/10 years",44.3
1407,Öckerö,51-60,Women,"Primary school, shorter than 9 years",7.3
1407,Öckerö,51-60,Women,"Tertiary education, 2 years or longer",297.7
1407,Öckerö,51-60,Women,"Tertiary education, shorter than 2 years",170.9
1407,Öckerö,51-60,Women,Upper secondary school,380.6
1407,Öckerö,61-70,Men,Postgraduate education,20.3
1407,Öckerö,61-70,Men,"Primary school, 9/10 years",139.0
1407,Öckerö,61-70,Men,"Primary school, shorter than 9 years",26.3
1407,Öckerö,61-70,Men,"Tertiary education, 2 years or longer",129.0
1407,Öckerö,61-70,Men,"Tertiary education, shorter than 2 years",159.0
1407,Öckerö,61-70,Men,Upper secondary school,392.7
1407,Öckerö,61-70,Women,Postgraduate education,16.6
1407,Öckerö,61-70,Women,"Primary school, 9/10 years",79.5
1407,Öckerö,61-70,Women,"Primary school, shorter than 9 years",19.7
1407,Öckerö,61-70,Women,"Tertiary education, 2 years or longer",215.6
1407,Öckerö,61-70,Women,"Tertiary education, shorter than 2 years",173.7
1407,Öckerö,61-70,Women,Upper secondary school,395.2
1407,Öckerö,71-104,Men,Postgraduate education,29.3
1407,Öckerö,71-104,Men,"Primary school, 9/10 years",126.4
1407,Öckerö,71-104,Men,"Primary school, shorter than 9 years",257.6
1407,Öckerö,71-104,Men,"Tertiary education, 2 years or longer",187.7
1407,Öckerö,71-104,Men,"Tertiary education, shorter than 2 years",145.8
1407,Öckerö,71-104,Men,Upper secondary school,509.6
1407,Öckerö,71-104,Women,Postgraduate education,11.0
1407,Öckerö,71-104,Women,"Primary school, 9/10 years",149.2
1407,Öckerö,71-104,Women,"Primary school, shorter than 9 years",262.1
1407,Öckerö,71-104,Women,"Tertiary education, 2 years or longer",235.1
1407,Öckerö,71-104,Women,"Tertiary education, shorter than 2 years",170.3
1407,Öckerö,71-104,Women,Upper secondary school,579.2
1415,Stenungsund,18-22,Men,"Primary school, 9/10 years",785.1
1415,Stenungsund,18-22,Men,"Primary school, shorter than 9 years",8.5
1415,Stenungsund,18-22,Men,"Tertiary education, 2 years or longer",12.8
1415,Stenungsund,18-22,Men,"Tertiary education, shorter than 2 years",113.8
1415,Stenungsund,18-22,Men,Upper secondary school,712.8
1415,Stenungsund,18-22,Women,"Primary school, 9/10 years",697.4
1415,Stenungsund,18-22,Women,"Primary school, shorter than 9 years",1.1
1415,Stenungsund,18-22,Women,"Tertiary education, 2 years or longer",38.5
1415,Stenungsund,18-22,Women,"Tertiary education, shorter than 2 years",105.6
1415,Stenungsund,18-22,Women,Upper secondary school,576.5
1415,Stenungsund,23-30,Men,Postgraduate education,0.4
1415,Stenungsund,23-30,Men,"Primary school, 9/10 years",43.4
1415,Stenungsund,23-30,Men,"Primary school, shorter than 9 years",7.6
1415,Stenungsund,23-30,Men,"Tertiary education, 2 years or longer",82.7
1415,Stenungsund,23-30,Men,"Tertiary education, shorter than 2 years",114.9
1415,Stenungsund,23-30,Men,Upper secondary school,324.9
1415,Stenungsund,23-30,Women,Postgraduate education,1.2
1415,Stenungsund,23-30,Women,"Primary school, 9/10 years",28.9
1415,Stenungsund,23-30,Women,"Primary school, shorter than 9 years",5.0
1415,Stenungsund,23-30,Women,"Tertiary education, 2 years or longer",171.2
1415,Stenungsund,23-30,Women,"Tertiary education, shorter than 2 years",118.0
1415,Stenungsund,23-30,Women,Upper secondary school,199.3
1415,Stenungsund,31-40,Men,Postgraduate education,10.6
1415,Stenungsund,31-40,Men,"Primary school, 9/10 years",126.7
1415,Stenungsund,31-40,Men,"Primary school, shorter than 9 years",23.0
1415,Stenungsund,31-40,Men,"Tertiary education, 2 years or longer",301.3
1415,Stenungsund,31-40,Men,"Tertiary education, shorter than 2 years",313.4
1415,Stenungsund,31-40,Men,Upper secondary school,871.5
1415,Stenungsund,31-40,Women,Postgraduate education,7.5
1415,Stenungsund,31-40,Women,"Primary school, 9/10 years",67.5
1415,Stenungsund,31-40,Women,"Primary school, shorter than 9 years",24.5
1415,Stenungsund,31-40,Women,"Tertiary education, 2 years or longer",608.8
1415,Stenungsund,31-40,Women,"Tertiary education, shorter than 2 years",346.7
1415,Stenungsund,31-40,Women,Upper secondary school,555.8
1415,Stenungsund,41-50,Men,Postgraduate education,18.8
1415,Stenungsund,41-50,Men,"Primary school, 9/10 years",127.8
1415,Stenungsund,41-50,Men,"Primary school, shorter than 9 years",22.0
1415,Stenungsund,41-50,Men,"Tertiary education, 2 years or longer",363.4
1415,Stenungsund,41-50,Men,"Tertiary education, shorter than 2 years",288.9
1415,Stenungsund,41-50,Men,Upper secondary school,783.6
1415,Stenungsund,41-50,Women,Postgraduate education,15.5
1415,Stenungsund,41-50,Women,"Primary school, 9/10 years",49.4
1415,Stenungsund,41-50,Women,"Primary school, shorter than 9 years",34.9
1415,Stenungsund,41-50,Women,"Tertiary education, 2 years or longer",692.5
1415,Stenungsund,41-50,Women,"Tertiary education, shorter than 2 years",321.6
1415,Stenungsund,41-50,Women,Upper secondary school,563.8
1415,Stenungsund,51-60,Men,Postgraduate education,23.4
1415,Stenungsund,51-60,Men,"Primary school, 9/10 years",161.6
1415,Stenungsund,51-60,Men,"Primary school, shorter than 9 years",24.9
1415,Stenungsund,51-60,Men,"Tertiary education, 2 years or longer",341.2
1415,Stenungsund,51-60,Men,"Tertiary education, shorter than 2 years",335.1
1415,Stenungsund,51-60,Men,Upper secondary school,980.8
1415,Stenungsund,51-60,Women,Postgraduate education,17.7
1415,Stenungsund,51-60,Women,"Primary school, 9/10 years",77.3
1415,Stenungsund,51-60,Women,"Primary school, shorter than 9 years",31.4
1415,Stenungsund,51-60,Women,"Tertiary education, 2 years or longer",603.0
1415,Stenungsund,51-60,Women,"Tertiary education, shorter than 2 years",324.1
1415,Stenungsund,51-60,Women,Upper secondary school,793.8
1415,Stenungsund,61-70,Men,Postgraduate education,20.7
1415,Stenungsund,61-70,Men,"Primary school, 9/10 years",211.2
1415,Stenungsund,61-70,Men,"Primary school, shorter than 9 years",32.5
1415,Stenungsund,61-70,Men,"Tertiary education, 2 years or longer",192.5
1415,Stenungsund,61-70,Men,"Tertiary education, shorter than 2 years",246.6
1415,Stenungsund,61-70,Men,Upper secondary school,746.4
1415,Stenungsund,61-70,Women,Postgraduate education,10.7
1415,Stenungsund,61-70,Women,"Primary school, 9/10 years",129.2
1415,Stenungsund,61-70,Women,"Primary school, shorter than 9 years",30.7
1415,Stenungsund,61-70,Women,"Tertiary education, 2 years or longer",316.0
1415,Stenungsund,61-70,Women,"Tertiary education, shorter than 2 years",265.5
1415,Stenungsund,61-70,Women,Upper secondary school,717.5
1415,Stenungsund,71-104,Men,Postgraduate education,24.9
1415,Stenungsund,71-104,Men,"Primary school, 9/10 years",247.9
1415,Stenungsund,71-104,Men,"Primary school, shorter than 9 years",303.2
1415,Stenungsund,71-104,Men,"Tertiary education, 2 years or longer",235.2
1415,Stenungsund,71-104,Men,"Tertiary education, shorter than 2 years",238.2
1415,Stenungsund,71-104,Men,Upper secondary school,851.5
1415,Stenungsund,71-104,Women,Postgraduate education,12.7
1415,Stenungsund,71-104,Women,"Primary school, 9/10 years",241.1
1415,Stenungsund,71-104,Women,"Primary school, shorter than 9 years",352.7
1415,Stenungsund,71-104,Women,"Tertiary education, 2 years or longer",348.6
1415,Stenungsund,71-104,Women,"Tertiary education, shorter than 2 years",281.1
1415,Stenungsund,71-104,Women,Upper secondary school,1054.4
1419,Tjörn,18-22,Men,"Primary school, 9/10 years",377.3
1419,Tjörn,18-22,Men,"Primary school, shorter than 9 years",2.2
1419,Tjörn,18-22,Men,"Tertiary education, 2 years or longer",7.4
1419,Tjörn,18-22,Men,"Tertiary education, shorter than 2 years",54.5
1419,Tjörn,18-22,Men,Upper secondary school,281.1
1419,Tjörn,18-22,Women,"Primary school, 9/10 years",359.1
1419,Tjörn,18-22,Women,"Tertiary education, 2 years or longer",18.7
1419,Tjörn,18-22,Women,"Tertiary education, shorter than 2 years",37.4
1419,Tjörn,18-22,Women,Upper secondary school,235.1
1419,Tjörn,23-30,Men,"Primary school, 9/10 years",21.4
1419,Tjörn,23-30,Men,"Primary school, shorter than 9 years",4.0
1419,Tjörn,23-30,Men,"Tertiary education, 2 years or longer",34.5
1419,Tjörn,23-30,Men,"Tertiary education, shorter than 2 years",32.9
1419,Tjörn,23-30,Men,Upper secondary school,161.3
1419,Tjörn,23-30,Women,"Primary school, 9/10 years",11.9
1419,Tjörn,23-30,Women,"Primary school, shorter than 9 years",2.8
1419,Tjörn,23-30,Women,"Tertiary education, 2 years or longer",69.2
1419,Tjörn,23-30,Women,"Tertiary education, shorter than 2 years",51.3
1419,Tjörn,23-30,Women,Upper secondary school,84.6
1419,Tjörn,31-40,Men,Postgraduate education,1.0
1419,Tjörn,31-40,Men,"Primary school, 9/10 years",53.9
1419,Tjörn,31-40,Men,"Primary school, shorter than 9 years",13.7
1419,Tjörn,31-40,Men,"Tertiary education, 2 years or longer",127.1
1419,Tjörn,31-40,Men,"Tertiary education, shorter than 2 years",114.3
1419,Tjörn,31-40,Men,Upper secondary school,472.2
1419,Tjörn,31-40,Women,Postgraduate education,1.0
1419,Tjörn,31-40,Women,"Primary school, 9/10 years",38.1
1419,Tjörn,31-40,Women,"Primary school, shorter than 9 years",11.6
1419,Tjörn,31-40,Women,"Tertiary education, 2 years or longer",304.9
1419,Tjörn,31-40,Women,"Tertiary education, shorter than 2 years",170.8
1419,Tjörn,31-40,Women,Upper secondary school,291.1
1419,Tjörn,41-50,Men,Postgraduate education,5.6
1419,Tjörn,41-50,Men,"Primary school, 9/10 years",60.0
1419,Tjörn,41-50,Men,"Primary school, shorter than 9 years",9.9
1419,Tjörn,41-50,Men,"Tertiary education, 2 years or longer",156.1
1419,Tjörn,41-50,Men,"Tertiary education, shorter than 2 years",116.4
1419,Tjörn,41-50,Men,Upper secondary school,447.5
1419,Tjörn,41-50,Women,Postgraduate education,2.3
1419,Tjörn,41-50,Women,"Primary school, 9/10 years",30.2
1419,Tjörn,41-50,Women,"Primary school, shorter than 9 years",15.6
1419,Tjörn,41-50,Women,"Tertiary education, 2 years or longer",331.6
1419,Tjörn,41-50,Women,"Tertiary education, shorter than 2 years",142.8
1419,Tjörn,41-50,Women,Upper secondary school,290.2
1419,Tjörn,51-60,Men,Postgraduate education,11.5
1419,Tjörn,51-60,Men,"Primary school, 9/10 years",105.9
1419,Tjörn,51-60,Men,"Primary school, shorter than 9 years",6.7
1419,Tjörn,51-60,Men,"Tertiary education, 2 years or longer",171.0
1419,Tjörn,51-60,Men,"Tertiary education, shorter than 2 years",162.3
1419,Tjörn,51-60,Men,Upper secondary school,541.9
1419,Tjörn,51-60,Women,Postgraduate education,8.8
1419,Tjörn,51-60,Women,"Primary school, 9/10 years",38.7
1419,Tjörn,51-60,Women,"Primary school, shorter than 9 years",14.6
1419,Tjörn,51-60,Women,"Tertiary education, 2 years or longer",303.9
1419,Tjörn,51-60,Women,"Tertiary education, shorter than 2 years",176.2
1419,Tjörn,51-60,Women,Upper secondary school,440.2
1419,Tjörn,61-70,Men,Postgraduate education,16.2
1419,Tjörn,61-70,Men,"Primary school, 9/10 years",178.1
1419,Tjörn,61-70,Men,"Primary school, shorter than 9 years",14.2
1419,Tjörn,61-70,Men,"Tertiary education, 2 years or longer",181.0
1419,Tjörn,61-70,Men,"Tertiary education, shorter than 2 years",184.4
1419,Tjörn,61-70,Men,Upper secondary school,520.1
1419,Tjörn,61-70,Women,Postgraduate education,11.5
1419,Tjörn,61-70,Women,"Primary school, 9/10 years",87.9
1419,Tjörn,61-70,Women,"Primary school, shorter than 9 years",11.8
1419,Tjörn,61-70,Women,"Tertiary education, 2 years or longer",278.7
1419,Tjörn,61-70,Women,"Tertiary education, shorter than 2 years",225.0
1419,Tjörn,61-70,Women,Upper secondary school,561.2
1419,Tjörn,71-104,Men,Postgraduate education,22.9
1419,Tjörn,71-104,Men,"Primary school, 9/10 years",197.4
1419,Tjörn,71-104,Men,"Primary school, shorter than 9 years",317.1
1419,Tjörn,71-104,Men,"Tertiary education, 2 years or longer",290.3
1419,Tjörn,71-104,Men,"Tertiary education, shorter than 2 years",212.0
1419,Tjörn,71-104,Men,Upper secondary school,707.7
1419,Tjörn,71-104,Women,Postgraduate education,13.0
1419,Tjörn,71-104,Women,"Primary school, 9/10 years",183.8
1419,Tjörn,71-104,Women,"Primary school, shorter than 9 years",292.7
1419,Tjörn,71-104,Women,"Tertiary education, 2 years or longer",302.3
1419,Tjörn,71-104,Women,"Tertiary education, shorter than 2 years",248.3
1419,Tjörn,71-104,Women,Upper secondary school,724.9
1421,Orust,18-22,Men,"Primary school, 9/10 years",328.2
1421,Orust,18-22,Men,"Primary school, shorter than 9 years",2.2
1421,Orust,18-22,Men,"Tertiary education, 2 years or longer",2.2
1421,Orust,18-22,Men,"Tertiary education, shorter than 2 years",36.7
1421,Orust,18-22,Men,Upper secondary school,313.1
1421,Orust,18-22,Women,"Primary school, 9/10 years",276.7
1421,Orust,18-22,Women,"Primary school, shorter than 9 years",1.1
1421,Orust,18-22,Women,"Tertiary education, 2 years or longer",12.1
1421,Orust,18-22,Women,"Tertiary education, shorter than 2 years",49.7
1421,Orust,18-22,Women,Upper secondary school,249.0
1421,Orust,23-30,Men,Postgraduate education,0.9
1421,Orust,23-30,Men,"Primary school, 9/10 years",31.9
1421,Orust,23-30,Men,"Primary school, shorter than 9 years",2.6
1421,Orust,23-30,Men,"Tertiary education, 2 years or longer",24.6
1421,Orust,23-30,Men,"Tertiary education, shorter than 2 years",30.2
1421,Orust,23-30,Men,Upper secondary school,188.6
1421,Orust,23-30,Women,"Primary school, 9/10 years",19.0
1421,Orust,23-30,Women,"Primary school, shorter than 9 years",4.2
1421,Orust,23-30,Women,"Tertiary education, 2 years or longer",67.7
1421,Orust,23-30,Women,"Tertiary education, shorter than 2 years",52.1
1421,Orust,23-30,Women,Upper secondary school,119.3
1421,Orust,31-40,Men,Postgraduate education,3.5
1421,Orust,31-40,Men,"Primary school, 9/10 years",83.2
1421,Orust,31-40,Men,"Primary school, shorter than 9 years",8.1
1421,Orust,31-40,Men,"Tertiary education, 2 years or longer",89.4
1421,Orust,31-40,Men,"Tertiary education, shorter than 2 years",74.6
1421,Orust,31-40,Men,Upper secondary school,450.8
1421,Orust,31-40,Women,Postgraduate education,4.5
1421,Orust,31-40,Women,"Primary school, 9/10 years",36.6
1421,Orust,31-40,Women,"Primary school, shorter than 9 years",10.9
1421,Orust,31-40,Women,"Tertiary education, 2 years or longer",213.3
1421,Orust,31-40,Women,"Tertiary education, shorter than 2 years",139.2
1421,Orust,31-40,Women,Upper secondary school,292.3
1421,Orust,41-50,Men,Postgraduate education,4.0
1421,Orust,41-50,Men,"Primary school, 9/10 years",80.9
1421,Orust,41-50,Men,"Primary school, shorter than 9 years",9.1
1421,Orust,41-50,Men,"Tertiary education, 2 years or longer",111.8
1421,Orust,41-50,Men,"Tertiary education, shorter than 2 years",84.9
1421,Orust,41-50,Men,Upper secondary school,417.8
1421,Orust,41-50,Women,Postgraduate education,6.4
1421,Orust,41-50,Women,"Primary school, 9/10 years",31.7
1421,Orust,41-50,Women,"Primary school, shorter than 9 years",9.1
1421,Orust,41-50,Women,"Tertiary education, 2 years or longer",255.2
1421,Orust,41-50,Women,"Tertiary education, shorter than 2 years",132.1
1421,Orust,41-50,Women,Upper secondary school,297.7
1421,Orust,51-60,Men,Postgraduate education,4.9
1421,Orust,51-60,Men,"Primary school, 9/10 years",127.5
1421,Orust,51-60,Men,"Primary school, shorter than 9 years",10.0
1421,Orust,51-60,Men,"Tertiary education, 2 years or longer",136.4
1421,Orust,51-60,Men,"Tertiary education, shorter than 2 years",143.1
1421,Orust,51-60,Men,Upper secondary school,571.4
1421,Orust,51-60,Women,Postgraduate education,8.1
1421,Orust,51-60,Women,"Primary school, 9/10 years",55.7
1421,Orust,51-60,Women,"Primary school, shorter than 9 years",10.1
1421,Orust,51-60,Women,"Tertiary education, 2 years or longer",263.3
1421,Orust,51-60,Women,"Tertiary education, shorter than 2 years",172.7
1421,Orust,51-60,Women,Upper secondary school,453.0
1421,Orust,61-70,Men,Postgraduate education,8.9
1421,Orust,61-70,Men,"Primary school, 9/10 years",194.9
1421,Orust,61-70,Men,"Primary school, shorter than 9 years",54.3
1421,Orust,61-70,Men,"Tertiary education, 2 years or longer",139.5
1421,Orust,61-70,Men,"Tertiary education, shorter than 2 years",165.3
1421,Orust,61-70,Men,Upper secondary school,563.6
1421,Orust,61-70,Women,Postgraduate education,6.5
1421,Orust,61-70,Women,"Primary school, 9/10 years",88.9
1421,Orust,61-70,Women,"Primary school, shorter than 9 years",18.8
1421,Orust,61-70,Women,"Tertiary education, 2 years or longer",236.1
1421,Orust,61-70,Women,"Tertiary education, shorter than 2 years",211.5
1421,Orust,61-70,Women,Upper secondary school,550.1
1421,Orust,71-104,Men,Postgraduate education,19.9
1421,Orust,71-104,Men,"Primary school, 9/10 years",178.0
1421,Orust,71-104,Men,"Primary school, shorter than 9 years",423.7
1421,Orust,71-104,Men,"Tertiary education, 2 years or longer",221.4
1421,Orust,71-104,Men,"Tertiary education, shorter than 2 years",187.8
1421,Orust,71-104,Men,Upper secondary school,760.1
1421,Orust,71-104,Women,Postgraduate education,7.3
1421,Orust,71-104,Women,"Primary school, 9/10 years",165.8
1421,Orust,71-104,Women,"Primary school, shorter than 9 years",302.3
1421,Orust,71-104,Women,"Tertiary education, 2 years or longer",301.9
1421,Orust,71-104,Women,"Tertiary education, shorter than 2 years",256.1
1421,Orust,71-104,Women,Upper secondary school,752.9
1427,Sotenäs,18-22,Men,"Primary school, 9/10 years",145.4
1427,Sotenäs,18-22,Men,"Primary school, shorter than 9 years",4.2
1427,Sotenäs,18-22,Men,"Tertiary education, 2 years or longer",2.1
1427,Sotenäs,18-22,Men,"Tertiary education, shorter than 2 years",3.2
1427,Sotenäs,18-22,Men,Upper secondary school,177.0
1427,Sotenäs,18-22,Women,"Primary school, 9/10 years",126.4
1427,Sotenäs,18-22,Women,"Primary school, shorter than 9 years",3.3
1427,Sotenäs,18-22,Women,"Tertiary education, 2 years or longer",7.6
1427,Sotenäs,18-22,Women,"Tertiary education, shorter than 2 years",15.4
1427,Sotenäs,18-22,Women,Upper secondary school,144.0
1427,Sotenäs,23-30,Men,"Primary school, 9/10 years",24.5
1427,Sotenäs,23-30,Men,"Primary school, shorter than 9 years",5.1
1427,Sotenäs,23-30,Men,"Tertiary education, 2 years or longer",13.9
1427,Sotenäs,23-30,Men,"Tertiary education, shorter than 2 years",18.0
1427,Sotenäs,23-30,Men,Upper secondary school,126.7
1427,Sotenäs,23-30,Women,"Primary school, 9/10 years",6.1
1427,Sotenäs,23-30,Women,"Primary school, shorter than 9 years",1.6
1427,Sotenäs,23-30,Women,"Tertiary education, 2 years or longer",32.2
1427,Sotenäs,23-30,Women,"Tertiary education, shorter than 2 years",22.0
1427,Sotenäs,23-30,Women,Upper secondary school,63.2
1427,Sotenäs,31-40,Men,"Primary school, 9/10 years",49.8
1427,Sotenäs,31-40,Men,"Primary school, shorter than 9 years",9.1
1427,Sotenäs,31-40,Men,"Tertiary education, 2 years or longer",53.9
1427,Sotenäs,31-40,Men,"Tertiary education, shorter than 2 years",47.1
1427,Sotenäs,31-40,Men,Upper secondary school,243.7
1427,Sotenäs,31-40,Women,Postgraduate education,1.5
1427,Sotenäs,31-40,Women,"Primary school, 9/10 years",16.0
1427,Sotenäs,31-40,Women,"Primary school, shorter than 9 years",6.6
1427,Sotenäs,31-40,Women,"Tertiary education, 2 years or longer",122.4
1427,Sotenäs,31-40,Women,"Tertiary education, shorter than 2 years",62.7
1427,Sotenäs,31-40,Women,Upper secondary school,145.4
1427,Sotenäs,41-50,Men,Postgraduate education,0.4
1427,Sotenäs,41-50,Men,"Primary school, 9/10 years",51.5
1427,Sotenäs,41-50,Men,"Primary school, shorter than 9 years",5.3
1427,Sotenäs,41-50,Men,"Tertiary education, 2 years or longer",74.1
1427,Sotenäs,41-50,Men,"Tertiary education, shorter than 2 years",59.4
1427,Sotenäs,41-50,Men,Upper secondary school,243.4
1427,Sotenäs,41-50,Women,Postgraduate education,4.8
1427,Sotenäs,41-50,Women,"Primary school, 9/10 years",23.6
1427,Sotenäs,41-50,Women,"Primary school, shorter than 9 years",8.0
1427,Sotenäs,41-50,Women,"Tertiary education, 2 years or longer",138.9
1427,Sotenäs,41-50,Women,"Tertiary education, shorter than 2 years",64.1
1427,Sotenäs,41-50,Women,Upper secondary school,165.3
1427,Sotenäs,51-60,Men,Postgraduate education,2.5
1427,Sotenäs,51-60,Men,"Primary school, 9/10 years",94.9
1427,Sotenäs,51-60,Men,"Primary school, shorter than 9 years",5.4
1427,Sotenäs,51-60,Men,"Tertiary education, 2 years or longer",79.0
1427,Sotenäs,51-60,Men,"Tertiary education, shorter than 2 years",80.4
1427,Sotenäs,51-60,Men,Upper secondary school,352.3
1427,Sotenäs,51-60,Women,Postgraduate education,7.0
1427,Sotenäs,51-60,Women,"Primary school, 9/10 years",46.3
1427,Sotenäs,51-60,Women,"Primary school, shorter than 9 years",9.0
1427,Sotenäs,51-60,Women,"Tertiary education, 2 years or longer",151.5
1427,Sotenäs,51-60,Women,"Tertiary education, shorter than 2 years",90.7
1427,Sotenäs,51-60,Women,Upper secondary school,300.6
1427,Sotenäs,61-70,Men,Postgraduate education,6.7
1427,Sotenäs,61-70,Men,"Primary school, 9/10 years",108.2
1427,Sotenäs,61-70,Men,"Primary school, shorter than 9 years",29.8
1427,Sotenäs,61-70,Men,"Tertiary education, 2 years or longer",98.4
1427,Sotenäs,61-70,Men,"Tertiary education, shorter than 2 years",84.1
1427,Sotenäs,61-70,Men,Upper secondary school,351.6
1427,Sotenäs,61-70,Women,Postgraduate education,5.1
1427,Sotenäs,61-70,Women,"Primary school, 9/10 years",59.0
1427,Sotenäs,61-70,Women,"Primary school, shorter than 9 years",18.7
1427,Sotenäs,61-70,Women,"Tertiary education, 2 years or longer",141.6
1427,Sotenäs,61-70,Women,"Tertiary education, shorter than 2 years",110.0
1427,Sotenäs,61-70,Women,Upper secondary school,335.8
1427,Sotenäs,71-104,Men,Postgraduate education,16.6
1427,Sotenäs,71-104,Men,"Primary school, 9/10 years",103.2
1427,Sotenäs,71-104,Men,"Primary school, shorter than 9 years",211.3
1427,Sotenäs,71-104,Men,"Tertiary education, 2 years or longer",183.8
1427,Sotenäs,71-104,Men,"Tertiary education, shorter than 2 years",122.6
1427,Sotenäs,71-104,Men,Upper secondary school,471.9
1427,Sotenäs,71-104,Women,Postgraduate education,6.4
1427,Sotenäs,71-104,Women,"Primary school, 9/10 years",102.5
1427,Sotenäs,71-104,Women,"Primary school, shorter than 9 years",218.2
1427,Sotenäs,71-104,Women,"Tertiary education, 2 years or longer",226.2
1427,Sotenäs,71-104,Women,"Tertiary education, shorter than 2 years",152.7
1427,Sotenäs,71-104,Women,Upper secondary school,529.9
1430,Munkedal,18-22,Men,"Primary school, 9/10 years",251.4
1430,Munkedal,18-22,Men,"Primary school, shorter than 9 years",5.4
1430,Munkedal,18-22,Men,"Tertiary education, 2 years or longer",6.4
1430,Munkedal,18-22,Men,"Tertiary education, shorter than 2 years",10.8
1430,Munkedal,18-22,Men,Upper secondary school,228.8
1430,Munkedal,18-22,Women,"Primary school, 9/10 years",207.0
1430,Munkedal,18-22,Women,"Tertiary education, 2 years or longer",8.6
1430,Munkedal,18-22,Women,"Tertiary education, shorter than 2 years",19.3
1430,Munkedal,18-22,Women,Upper secondary school,201.6
1430,Munkedal,23-30,Men,"Primary school, 9/10 years",27.1
1430,Munkedal,23-30,Men,"Primary school, shorter than 9 years",3.7
1430,Munkedal,23-30,Men,"Tertiary education, 2 years or longer",13.1
1430,Munkedal,23-30,Men,"Tertiary education, shorter than 2 years",21.7
1430,Munkedal,23-30,Men,Upper secondary school,162.8
1430,Munkedal,23-30,Women,"Primary school, 9/10 years",12.7
1430,Munkedal,23-30,Women,"Primary school, shorter than 9 years",2.2
1430,Munkedal,23-30,Women,"Tertiary education, 2 years or longer",44.4
1430,Munkedal,23-30,Women,"Tertiary education, shorter than 2 years",31.0
1430,Munkedal,23-30,Women,Upper secondary school,105.3
1430,Munkedal,31-40,Men,"Primary school, 9/10 years",72.6
1430,Munkedal,31-40,Men,"Primary school, shorter than 9 years",10.3
1430,Munkedal,31-40,Men,"Tertiary education, 2 years or longer",44.9
1430,Munkedal,31-40,Men,"Tertiary education, shorter than 2 years",75.6
1430,Munkedal,31-40,Men,Upper secondary school,411.5
1430,Munkedal,31-40,Women,Postgraduate education,1.0
1430,Munkedal,31-40,Women,"Primary school, 9/10 years",38.1
1430,Munkedal,31-40,Women,"Primary school, shorter than 9 years",8.6
1430,Munkedal,31-40,Women,"Tertiary education, 2 years or longer",165.5
1430,Munkedal,31-40,Women,"Tertiary education, shorter than 2 years",95.5
1430,Munkedal,31-40,Women,Upper secondary school,303.7
1430,Munkedal,41-50,Men,"Primary school, 9/10 years",63.5
1430,Munkedal,41-50,Men,"Primary school, shorter than 9 years",9.7
1430,Munkedal,41-50,Men,"Tertiary education, 2 years or longer",46.7
1430,Munkedal,41-50,Men,"Tertiary education, shorter than 2 years",69.9
1430,Munkedal,41-50,Men,Upper secondary school,357.5
1430,Munkedal,41-50,Women,Postgraduate education,2.2
1430,Munkedal,41-50,Women,"Primary school, 9/10 years",32.7
1430,Munkedal,41-50,Women,"Primary school, shorter than 9 years",12.8
1430,Munkedal,41-50,Women,"Tertiary education, 2 years or longer",161.2
