municipality_code,municipality,age_group,gender,education_level,N
0115,Vallentuna,41-50,Men,"Primary school, shorter than 9 years",23.6
0115,Vallentuna,41-50,Men,"Tertiary education, 2 years or longer",659.9
0115,Vallentuna,41-50,Men,"Tertiary education, shorter than 2 years",385.8
0115,Vallentuna,41-50,Men,Upper secondary school,917.1
0115,Vallentuna,41-50,Women,Postgraduate education,51.9
0115,Vallentuna,41-50,Women,"Primary school, 9/10 years",84.1
0115,Vallentuna,41-50,Women,"Primary school, shorter than 9 years",23.4
0115,Vallentuna,41-50,Women,"Tertiary education, 2 years or longer",1099.0
0115,Vallentuna,41-50,Women,"Tertiary education, shorter than 2 years",386.6
0115,Vallentuna,41-50,Women,Upper secondary school,725.7
0115,Vallentuna,51-60,Men,Postgraduate education,66.2
0115,Vallentuna,51-60,Men,"Primary school, 9/10 years",189.6
0115,Vallentuna,51-60,Men,"Primary school, shorter than 9 years",19.8
0115,Vallentuna,51-60,Men,"Tertiary education, 2 years or longer",598.1
0115,Vallentuna,51-60,Men,"Tertiary education, shorter than 2 years",415.6
0115,Vallentuna,51-60,Men,Upper secondary school,1089.8
0115,Vallentuna,51-60,Women,Postgraduate education,50.7
0115,Vallentuna,51-60,Women,"Primary school, 9/10 years",114.5
0115,Vallentuna,51-60,Women,"Primary school, shorter than 9 years",38.7
0115,Vallentuna,51-60,Women,"Tertiary education, 2 years or longer",820.7
0115,Vallentuna,51-60,Women,"Tertiary education, shorter than 2 years",399.6
0115,Vallentuna,51-60,Women,Upper secondary school,919.9
0115,Vallentuna,61-70,Men,Postgraduate education,44.6
0115,Vallentuna,61-70,Men,"Primary school, 9/10 years",213.1
0115,Vallentuna,61-70,Men,"Primary school, shorter than 9 years",25.4
0115,Vallentuna,61-70,Men,"Tertiary education, 2 years or longer",286.6
0115,Vallentuna,61-70,Men,"Tertiary education, shorter than 2 years",293.8
0115,Vallentuna,61-70,Men,Upper secondary school,755.2
0115,Vallentuna,61-70,Women,Postgraduate education,18.7
0115,Vallentuna,61-70,Women,"Primary school, 9/10 years",121.8
0115,Vallentuna,61-70,Women,"Primary school, shorter than 9 years",33.8
0115,Vallentuna,61-70,Women,"Tertiary education, 2 years or longer",347.3
0115,Vallentuna,61-70,Women,"Tertiary education, shorter than 2 years",284.2
0115,Vallentuna,61-70,Women,Upper secondary school,714.6
0115,Vallentuna,71-104,Men,Postgraduate education,50.5
0115,Vallentuna,71-104,Men,"Primary school, 9/10 years",185.8
0115,Vallentuna,71-104,Men,"Primary school, shorter than 9 years",206.6
0115,Vallentuna,71-104,Men,"Tertiary education, 2 years or longer",285.8
0115,Vallentuna,71-104,Men,"Tertiary education, shorter than 2 years",256.3
0115,Vallentuna,71-104,Men,Upper secondary school,807.8
0115,Vallentuna,71-104,Women,Postgraduate education,12.0
0115,Vallentuna,71-104,Women,"Primary school, 9/10 years",203.4
0115,Vallentuna,71-104,Women,"Primary school, shorter than 9 years",229.8
0115,Vallentuna,71-104,Women,"Tertiary education, 2 years or longer",433.5
0115,Vallentuna,71-104,Women,"Tertiary education, shorter than 2 years",363.1
0115,Vallentuna,71-104,Women,Upper secondary school,983.2
0117,Österåker,18-22,Men,"Primary school, 9/10 years",1195.3
0117,Österåker,18-22,Men,"Primary school, shorter than 9 years",9.3
0117,Österåker,18-22,Men,"Tertiary education, 2 years or longer",44.2
0117,Österåker,18-22,Men,"Tertiary education, shorter than 2 years",212.4
0117,Österåker,18-22,Men,Upper secondary school,1218.9
0117,Österåker,18-22,Women,"Primary school, 9/10 years",1129.5
0117,Österåker,18-22,Women,"Primary school, shorter than 9 years",6.2
0117,Österåker,18-22,Women,"Tertiary education, 2 years or longer",54.1
0117,Österåker,18-22,Women,"Tertiary education, shorter than 2 years",239.2
0117,Österåker,18-22,Women,Upper secondary school,978.8
0117,Österåker,23-30,Men,Postgraduate education,2.1
0117,Österåker,23-30,Men,"Primary school, 9/10 years",70.4
0117,Österåker,23-30,Men,"Primary school, shorter than 9 years",8.9
